feature,spearman_max_ret20,spearman_hit20
s_liquidity,0.20464126552267875,0.20569875082238237
rs_liquidity_combo,0.18638201840541233,0.18386034164755422
s_breakout,0.10747568866720364,0.12861761906046285
bs_score_v2,0.11792009463285023,0.11924331917167609
opt_score,0.130997753144589,0.11200167467461528
market_hs300_ret_5,0.12970865597000422,0.11060733584987435
score_dispersion,0.12766205959205448,0.10722415945992086
s_rs,0.10264670819542725,0.10062449979700916
bs_score,0.1083142388517167,0.08909309465608876
claude_score,0.06660123508071697,0.06564224324206196
market_avg_research_score,0.003937723923523183,0.0030604135032145686
market_hs300_pct_chg,0.026624705703288273,-0.005921234821436883
breakout_volume_combo,-0.03879093575385927,-0.013471360083505138
score,-0.039596545829180825,-0.02407142190322348
s_volume,-0.05223225832885956,-0.033193556081549114
market_limit_up_rate,-0.05531959048986167,-0.06910867113470383
market_avg_price_change,-0.16076814892944002,-0.13971452949457816
market_bs_ratio,-0.1787199794269449,-0.14879620001212812
market_hs300_ret_20,-0.13366071867748108,-0.15075863039748288
price_change_ratio,,
