score_col,top_n,days,avg_hit,avg_max_ret,avg_mdd
opt_score,3,55,0.32727272727272727,0.08954580606060605,-0.1138827303030303
bs_score_v2,3,55,0.32121212121212117,0.09387610303030303,-0.10811177272727274
rs_liquidity_combo,3,55,0.3151515151515151,0.09096876363636362,-0.1169061
breakout_volume_combo,3,55,0.28484848484848485,0.0805436787878788,-0.11026160909090908
bs_score,3,55,0.28484848484848485,0.08601335151515152,-0.11252345151515153
score,3,55,0.27878787878787875,0.07712226666666666,-0.10747040909090909
claude_score,3,55,0.26060606060606056,0.07647874545454544,-0.10532071212121212
bs_score_v2,5,55,0.33454545454545453,0.09531450636363636,-0.10314458
rs_liquidity_combo,5,55,0.3163636363636364,0.0908898409090909,-0.10989300545454544
bs_score,5,55,0.2909090909090909,0.08584370272727272,-0.10629245636363636
claude_score,5,55,0.2872727272727273,0.08181926999999999,-0.10376831818181818
opt_score,5,55,0.2872727272727273,0.08110190636363637,-0.1091181
score,5,55,0.28,0.08340407363636362,-0.10653494727272726
breakout_volume_combo,5,55,0.2727272727272727,0.07926963363636363,-0.10732795818181817
bs_score_v2,10,55,0.3080952380952381,0.08748158510822511,-0.10255245334776335
rs_liquidity_combo,10,55,0.3080952380952381,0.08871310147186147,-0.1022616988023088
opt_score,10,55,0.29354978354978356,0.08152695601731601,-0.1047539278932179
bs_score,10,55,0.28445887445887447,0.07993403965367965,-0.10354469152958153
claude_score,10,55,0.28445887445887447,0.07895070874458873,-0.10189818425685426
breakout_volume_combo,10,55,0.27354978354978354,0.07872158692640693,-0.1034278188023088
score,10,55,0.2662770562770563,0.08015895238095239,-0.1020722878932179
