feature,bin,n,hit20,max_ret20,mdd20,avg
rs_liquidity_combo,"(18.208, 25.944]",164,0.24390243902439024,0.07008459146341464,-0.08365561585365854,22.056192846613808
rs_liquidity_combo,"(25.944, 32.913]",164,0.3170731707317073,0.08892564024390244,-0.09021482926829269,29.40886334117981
rs_liquidity_combo,"(32.913, 41.336]",164,0.3719512195121951,0.11286345731707316,-0.09452440243902438,36.99729997749033
rs_liquidity_combo,"(4.141, 18.208]",165,0.19393939393939394,0.05939188484848485,-0.09495122424242425,13.475608928434927
rs_liquidity_combo,"(41.336, 54.036]",164,0.43902439024390244,0.1251399695121951,-0.11125095731707317,46.8134822228783
s_rs,"(1.689, 35.23]",165,0.3151515151515151,0.08960311515151514,-0.08656278181818182,20.891151515151513
s_rs,"(35.23, 52.15]",164,0.21951219512195122,0.06835482926829267,-0.09822048170731708,43.98091463414634
s_rs,"(52.15, 67.45]",164,0.25609756097560976,0.08594491463414634,-0.08841870121951219,59.5755487804878
s_rs,"(67.45, 79.2]",164,0.38414634146341464,0.10366144512195122,-0.08926315853658537,73.00835365853659
s_rs,"(79.2, 98.82]",164,0.3902439024390244,0.10865702439024391,-0.11218305487804878,87.62091463414635
s_liquidity,"(0.299, 9.18]",165,0.18787878787878787,0.055453939393939396,-0.08710121212121212,4.836666666666666
s_liquidity,"(16.39, 21.52]",164,0.23170731707317074,0.07341892073170732,-0.09391291463414635,18.7990243902439
s_liquidity,"(21.52, 26.2]",165,0.40606060606060607,0.11646701212121212,-0.10087351515151516,23.939818181818183
s_liquidity,"(26.2, 29.98]",163,0.4601226993865031,0.12609358282208588,-0.10199679754601228,28.27245398773006
s_liquidity,"(9.18, 16.39]",164,0.2804878048780488,0.08505479878048781,-0.09076730487804878,13.109634146341463
s_breakout,"(44.349000000000004, 47.27]",181,0.19337016574585636,0.06639726519337016,-0.11914586740331491,46.32740331491713
s_breakout,"(47.27, 47.97]",175,0.3028571428571429,0.08548273714285715,-0.10418638857142856,47.786114285714284
s_breakout,"(47.97, 48.33]",138,0.43478260869565216,0.12877429710144928,-0.06471482608695651,48.207536231884056
s_breakout,"(48.33, 49.09]",186,0.34408602150537637,0.09267722580645162,-0.08594960215053762,48.839408602150534
s_breakout,"(49.09, 99.69]",141,0.3191489361702128,0.09165744680851064,-0.09371327659574467,62.898226950354605
bs_score_v2,"(27.249, 42.01]",165,0.26666666666666666,0.07741335151515152,-0.09484034545454545,37.90030303030303
bs_score_v2,"(42.01, 46.34]",164,0.25,0.0736850243902439,-0.09047621341463415,44.19359756097561
bs_score_v2,"(46.34, 50.24]",164,0.2682926829268293,0.08148630487804878,-0.09243493292682926,48.13969512195122
bs_score_v2,"(50.24, 55.35]",164,0.39634146341463417,0.11432690853658536,-0.07940079878048781,52.77731707317073
bs_score_v2,"(55.35, 71.87]",164,0.38414634146341464,0.10938406707317073,-0.11744541463414633,59.77969512195122
price_change_ratio,"(-5, 0]",821,0.31303288672350793,0.09124226674786846,-0.09491944457978076,0.0
market_hs300_ret_20,"(-0.00277, 0.00953]",164,0.1951219512195122,0.06334277439024391,-0.1235801463414634,0.004164468444904348
market_hs300_ret_20,"(-0.0148, -0.00277]",143,0.3006993006993007,0.08821004195804197,-0.09522480419580419,-0.007133566244599297
market_hs300_ret_20,"(-0.0219, -0.0148]",192,0.359375,0.10319853125,-0.08133396354166667,-0.01641897889157275
market_hs300_ret_20,"(-0.0537, -0.0219]",166,0.4578313253012048,0.12279158433734941,-0.07394086746987952,-0.03871133933050462
market_hs300_ret_20,"(0.00953, 0.081]",156,0.23717948717948717,0.0750649294871795,-0.10355299999999999,0.03916221851422082
market_bs_ratio,"(0.00412, 0.0203]",165,0.3575757575757576,0.10282113333333333,-0.07104924242424242,0.014130981498867637
market_bs_ratio,"(0.0203, 0.0375]",180,0.42777777777777776,0.12801464444444446,-0.06851195555555556,0.031700946347548456
market_bs_ratio,"(0.0375, 0.0483]",153,0.23529411764705882,0.06639230065359478,-0.11527009803921569,0.04644137136974607
market_bs_ratio,"(0.0483, 0.0534]",166,0.3674698795180723,0.0975824156626506,-0.09673140963855423,0.050972667329514144
market_bs_ratio,"(0.0534, 0.063]",157,0.15286624203821655,0.05442722929936306,-0.1285340636942675,0.05892951463988759
market_limit_up_rate,"(0.0047, 0.0101]",174,0.41379310344827586,0.11077152298850575,-0.08931257471264367,0.008309770114942529
market_limit_up_rate,"(0.0101, 0.0117]",173,0.2658959537572254,0.08256854335260115,-0.08580387861271677,0.011267630057803468
market_limit_up_rate,"(0.0117, 0.0149]",149,0.37583892617449666,0.10246575838926175,-0.08786275167785235,0.013008724832214765
market_limit_up_rate,"(0.0149, 0.02]",200,0.23,0.075882395,-0.11433851499999999,0.0177795
market_limit_up_rate,"(0.02, 0.0286]",125,0.296,0.08725936799999999,-0.09268121600000001,0.0241224
market_avg_research_score,"(30.796999999999997, 33.565]",167,0.31736526946107785,0.09199654491017964,-0.10372334131736527,32.601787077844314
market_avg_research_score,"(33.565, 34.204]",177,0.22033898305084745,0.06590262711864406,-0.10550413559322033,33.90947164971752
market_avg_research_score,"(34.204, 34.416]",154,0.4090909090909091,0.1109324935064935,-0.07289374025974026,34.31991824025974
market_avg_research_score,"(34.416, 34.683]",189,0.3544973544973545,0.10385903174603174,-0.09607405291005292,34.625054994709
market_avg_research_score,"(34.683, 35.627]",134,0.26119402985074625,0.08334889552238806,-0.09365076119402985,35.11974095522388
