rule,n,coverage,hit20,lift,max_ret20,mdd20,avg_v2
v2>=50 & rs_liq>=45 & gain<=5,94,0.11449451887941535,0.46808510638297873,1.4953224604685817,0.13119902127659575,-0.1071959255319149,59.875851063829785
v2>=50 & rs_liq>=45 & gain<=8,94,0.11449451887941535,0.46808510638297873,1.4953224604685817,0.13119902127659575,-0.1071959255319149,59.875851063829785
v2>=50 & rs_liq>=45 & gain<=12,94,0.11449451887941535,0.46808510638297873,1.4953224604685817,0.13119902127659575,-0.1071959255319149,59.875851063829785
v2>=50 & rs_liq>=45,94,0.11449451887941535,0.46808510638297873,1.4953224604685817,0.13119902127659575,-0.1071959255319149,59.875851063829785
v2>=52 & rs_liq>=45 & gain<=5,86,0.10475030450669914,0.45348837209302323,1.448692426024794,0.13219917441860463,-0.10634852325581395,60.68337209302326
v2>=52 & rs_liq>=45 & gain<=8,86,0.10475030450669914,0.45348837209302323,1.448692426024794,0.13219917441860463,-0.10634852325581395,60.68337209302326
v2>=52 & rs_liq>=45 & gain<=12,86,0.10475030450669914,0.45348837209302323,1.448692426024794,0.13219917441860463,-0.10634852325581395,60.68337209302326
v2>=52 & rs_liq>=45,86,0.10475030450669914,0.45348837209302323,1.448692426024794,0.13219917441860463,-0.10634852325581395,60.68337209302326
v2>=50 & rs_liq>=40 & gain<=5,165,0.20097442143727162,0.4484848484848485,1.4327084070274732,0.12842855757575755,-0.11235009090909091,58.60969696969696
v2>=50 & rs_liq>=40 & gain<=8,165,0.20097442143727162,0.4484848484848485,1.4327084070274732,0.12842855757575755,-0.11235009090909091,58.60969696969696
v2>=50 & rs_liq>=40 & gain<=12,165,0.20097442143727162,0.4484848484848485,1.4327084070274732,0.12842855757575755,-0.11235009090909091,58.60969696969696
v2>=50 & rs_liq>=40,165,0.20097442143727162,0.4484848484848485,1.4327084070274732,0.12842855757575755,-0.11235009090909091,58.60969696969696
rs_liquidity_combo>=45,103,0.12545676004872108,0.44660194174757284,1.4266933625476936,0.12843271844660195,-0.10869910679611652,58.611262135922324
v2>=58 & rs_liq>=40 & gain<=5,81,0.09866017052375152,0.4444444444444444,1.4198011240812796,0.13475523456790126,-0.11283569135802468,62.39864197530864
v2>=58 & rs_liq>=40 & gain<=8,81,0.09866017052375152,0.4444444444444444,1.4198011240812796,0.13475523456790126,-0.11283569135802468,62.39864197530864
v2>=58 & rs_liq>=40 & gain<=12,81,0.09866017052375152,0.4444444444444444,1.4198011240812796,0.13475523456790126,-0.11283569135802468,62.39864197530864
v2>=58 & rs_liq>=40,81,0.09866017052375152,0.4444444444444444,1.4198011240812796,0.13475523456790126,-0.11283569135802468,62.39864197530864
v2>=52 & rs_liq>=40 & gain<=5,154,0.18757612667478685,0.44155844155844154,1.41058163626257,0.12923456493506497,-0.11181645454545457,59.135324675324675
v2>=52 & rs_liq>=40 & gain<=8,154,0.18757612667478685,0.44155844155844154,1.41058163626257,0.12923456493506497,-0.11181645454545457,59.135324675324675
v2>=52 & rs_liq>=40 & gain<=12,154,0.18757612667478685,0.44155844155844154,1.41058163626257,0.12923456493506497,-0.11181645454545457,59.135324675324675
v2>=52 & rs_liq>=40,154,0.18757612667478685,0.44155844155844154,1.41058163626257,0.12923456493506497,-0.11181645454545457,59.135324675324675
rs_liquidity_combo>=40,185,0.22533495736906212,0.43243243243243246,1.3814281207277317,0.12420901621621622,-0.11467695675675675,57.287783783783794
bs_score_v2>=58,92,0.1120584652862363,0.42391304347826086,1.35421248519709,0.12514799999999998,-0.11459582608695652,62.23891304347828
v2>=55 & rs_liq>=45 & gain<=5,76,0.0925700365408039,0.42105263157894735,1.3450747491296333,0.12582238157894737,-0.11454009210526317,61.56223684210527
v2>=55 & rs_liq>=45 & gain<=8,76,0.0925700365408039,0.42105263157894735,1.3450747491296333,0.12582238157894737,-0.11454009210526317,61.56223684210527
v2>=55 & rs_liq>=45 & gain<=12,76,0.0925700365408039,0.42105263157894735,1.3450747491296333,0.12582238157894737,-0.11454009210526317,61.56223684210527
v2>=55 & rs_liq>=45,76,0.0925700365408039,0.42105263157894735,1.3450747491296333,0.12582238157894737,-0.11454009210526317,61.56223684210527
v2>=55 & rs_liq>=40 & gain<=5,127,0.15468940316686966,0.41732283464566927,1.3331597169030913,0.12426300787401574,-0.12013189763779529,60.29118110236221
v2>=55 & rs_liq>=40 & gain<=8,127,0.15468940316686966,0.41732283464566927,1.3331597169030913,0.12426300787401574,-0.12013189763779529,60.29118110236221
v2>=55 & rs_liq>=40 & gain<=12,127,0.15468940316686966,0.41732283464566927,1.3331597169030913,0.12426300787401574,-0.12013189763779529,60.29118110236221
