event_uid,event_date,symbol,ts_code,rel_ret_d0,rel_ret_d1,rel_ret_d2,rel_ret_d3,rel_ret_d4,rel_ret_d5,rel_ret_d6,rel_ret_d7,rel_ret_d8,rel_ret_d9,rel_ret_d10,rel_ret_d11,rel_ret_d12,rel_ret_d13,rel_ret_d14,rel_ret_d15,rel_ret_d16,rel_ret_d17,rel_ret_d18,rel_ret_d19,rel_ret_d20,rel_ret_d21,rel_ret_d22,rel_ret_d23,rel_ret_d24,rel_ret_d25,rel_ret_d26,rel_ret_d27,rel_ret_d28,rel_ret_d29,rel_ret_d30,rel_ret_d31,rel_ret_d32,rel_ret_d33,rel_ret_d34,rel_ret_d35,rel_ret_d36,rel_ret_d37,rel_ret_d38,rel_ret_d39,rel_ret_d40,rel_ret_d41,rel_ret_d42,rel_ret_d43,rel_ret_d44,rel_ret_d45,rel_ret_d46,rel_ret_d47,rel_ret_d48,rel_ret_d49,rel_ret_d50,rel_ret_d51,rel_ret_d52,rel_ret_d53,rel_ret_d54,rel_ret_d55,rel_ret_d56,rel_ret_d57,rel_ret_d58,rel_ret_d59,rel_ret_d60
20260122_688316_01,2026-01-22,688316,688316.SH,0.0,-0.010277,0.060101,0.066346,0.078314,0.009236,-0.01431,-0.059191,0.02862,-0.059711,-0.051125,-0.019123,0.033043,0.035775,0.085599,0.18863,0.186158,0.122935,0.04332,0.021855,0.081306,0.01496,-0.089892,-0.084168,-0.077013,-0.02953,0.164564,0.165214,0.110706,0.078444,-0.005854,0.013399,-0.031872,0.081436,0.109275,0.010667,-0.050345,-0.056069,0.00039,-0.060232,-0.057239,-0.064004,-0.098738,-0.064394,-0.123715,-0.142969,-0.161441,-0.049824,-0.085469,-0.091583,-0.061532,-0.012098,-0.036295,0.013529,-0.001951,-0.005334,-0.047743,-0.004683,-0.00026,-0.006504,-0.050995
20260123_000039_03,2026-01-23,000039,000039.SZ,0.0,-0.011089,-0.028226,-0.039315,-0.03125,-0.02621,-0.049395,0.045363,0.150202,0.138105,0.106855,0.122984,0.113911,0.134073,0.160282,0.122984,0.215726,0.242944,0.362903,0.360887,0.38004,0.290323,0.282258,0.356855,0.350806,0.311492,0.341734,0.3125,0.314516,0.237903,0.208669,0.18246,0.171371,0.108871,0.082661,0.063508,0.149194,0.149194,0.149194,0.131048,0.132056,0.091734,0.09879,0.068548,0.082661,0.123992,0.175403,0.166331,0.200605,0.191532,0.181452,0.197581,0.219758,0.173387,0.154234,0.144153,0.169355,0.143145,0.11996,0.125,0.139113
20260123_000723_03,2026-01-23,000723,000723.SZ,0.0,-0.006024,-0.028112,0.008032,0.008032,0.016064,-0.064257,-0.056225,0.038153,0.008032,-0.01004,0.006024,-0.01004,-0.01004,-0.024096,-0.048193,0.002008,0.018072,0.008032,0.052209,0.062249,0.106426,0.052209,0.072289,0.064257,0.086345,0.060241,0.086345,0.100402,0.098394,0.084337,0.11245,0.068273,0.058233,0.012048,-0.01004,0.024096,0.02008,0.0,-0.004016,-0.014056,-0.054217,-0.044177,-0.070281,-0.11245,-0.088353,-0.078313,-0.098394,-0.092369,-0.084337,-0.090361,-0.074297,-0.080321,-0.096386,-0.096386,-0.098394,-0.108434,-0.094378,-0.116466,-0.124498,-0.11245
20260123_000868_02,2026-01-23,000868,000868.SZ,0.0,-0.011834,-0.021696,-0.033531,-0.039448,-0.04142,-0.051282,-0.053254,-0.043393,-0.043393,-0.031558,-0.029586,-0.025641,-0.023669,-0.033531,-0.037475,-0.019724,-0.025641,-0.037475,-0.031558,-0.061144,-0.08284,-0.09073,-0.084813,-0.074951,-0.078895,-0.069034,-0.072978,-0.078895,-0.08284,-0.08284,-0.078895,-0.092702,-0.116371,-0.13215,-0.167653,-0.128205,-0.102564,-0.108481,-0.084813,-0.09073,-0.09073,-0.09073,-0.108481,-0.134122,-0.120316,-0.102564,-0.128205,-0.118343,-0.114398,-0.122288,-0.142012,-0.128205,-0.143984,-0.140039,-0.147929,-0.143984,-0.151874,-0.140039,-0.120316,-0.118343
20260123_002006_02,2026-01-23,002006,002006.SZ,0.0,-0.041561,-0.04665,-0.080153,-0.116624,-0.126802,-0.152672,-0.126378,-0.127651,-0.143342,-0.139949,-0.127651,-0.131043,-0.13274,-0.133164,-0.140373,-0.123834,-0.115776,-0.117897,-0.117048,-0.14419,-0.192536,-0.197201,-0.184478,-0.179813,-0.19296,-0.170908,-0.164546,-0.147583,-0.169635,-0.170059,-0.151399,-0.170059,-0.201866,-0.23961,-0.264631,-0.251484,-0.240458,-0.261662,-0.254453,-0.262511,-0.268024,-0.254877,-0.276081,-0.289652,-0.285411,-0.245547,-0.258694,-0.246395,-0.240882,-0.228159,-0.234945,-0.23028,-0.226039,-0.237065,-0.24173,-0.236217,-0.251484,-0.266327,-0.259542,-0.276081
20260123_002007_02,2026-01-23,002007,002007.SZ,0.0,0.069827,0.037156,0.012172,0.01089,0.001281,-0.0205,-0.01025,0.000641,-0.003844,-0.008328,0.000641,-0.003203,-0.008328,-0.012172,-0.019218,-0.012812,-0.007687,-0.008328,-0.008969,-0.019218,-0.027546,-0.040359,-0.037156,-0.02114,-0.019859,-0.016015,-0.0205,-0.023062,-0.022422,-0.019218,-0.024343,-0.028187,-0.04164,-0.051249,-0.090327,-0.078155,-0.076233,-0.081358,-0.068546,-0.059577,-0.061499,-0.040999,-0.048046,-0.064061,-0.054452,-0.042281,-0.057655,-0.044843,-0.053171,-0.042921,-0.037796,-0.034593,-0.036515,-0.042921,-0.043562,-0.046124,-0.056374,-0.064061,-0.073671,-0.07303
20260123_002074_01,2026-01-23,002074,002074.SZ,0.0,-0.027704,-0.060467,-0.073476,-0.092267,-0.08504,-0.09564,-0.085522,-0.085762,-0.105276,-0.115876,-0.104794,-0.112503,-0.099253,-0.104312,-0.110817,-0.092026,-0.07444,-0.082872,-0.086967,-0.10383,-0.126957,-0.134907,-0.121176,-0.125512,-0.091062,-0.083113,-0.061431,-0.060949,-0.066972,-0.064322,-0.091062,-0.108408,-0.10913,-0.091785,-0.107685,-0.105276,-0.10383,-0.110576,-0.094194,-0.108649,-0.139966,-0.134666,-0.161648,-0.193929,-0.185738,-0.152734,-0.150084,-0.065045,-0.048422,-0.038304,-0.067213,-0.041677,-0.030836,-0.037822,-0.022886,-0.024331,-0.042159,-0.039268,-0.049386,-0.059504
20260123_002195_01,2026-01-23,002195,002195.SZ,0.0,-0.050428,-0.03901,-0.069458,-0.034253,-0.065652,-0.063749,-0.019029,-0.039962,-0.055186,-0.077069,-0.035205,-0.044719,-0.050428,-0.031399,-0.055186,-0.034253,0.005709,0.037108,0.053283,0.023787,-0.078021,-0.075167,0.017127,0.023787,0.013321,0.000951,0.019029,-0.019981,-0.005709,-0.010466,-0.046622,-0.042816,-0.067555,-0.110371,-0.16746,-0.126546,-0.123692,-0.14843,-0.137964,-0.136061,-0.14177,-0.135109,-0.157945,-0.188392,-0.16746,-0.11608,-0.135109,-0.135109,-0.133206,-0.129401,-0.140818,-0.126546,-0.129401,-0.112274,-0.131304,-0.107517,-0.134158,-0.146527,-0.151284,-0.164605
20260123_002677_02,2026-01-23,002677,002677.SZ,0.0,-0.043659,-0.051975,-0.08316,-0.079002,-0.065489,-0.073805,-0.013514,-0.013514,-0.009356,-0.007277,-0.043659,-0.059252,-0.066528,-0.071726,-0.065489,-0.065489,-0.019751,0.004158,0.003119,-0.054054,-0.091476,-0.102911,-0.087318,-0.081081,-0.073805,-0.049896,-0.068607,-0.101871,-0.114345,-0.107069,-0.12474,-0.115385,-0.139293,-0.154886,-0.205821,-0.16736,-0.171518,-0.189189,-0.178794,-0.16736,-0.16736,-0.159044,-0.171518,-0.202703,-0.18815,-0.172557,-0.199584,-0.192308,-0.213098,-0.203742,-0.203742,-0.182952,-0.199584,-0.2079,-0.212058,-0.222453,-0.238046,-0.204782,-0.200624,-0.175676
20260123_300149_01,2026-01-23,300149,300149.SZ,0.0,-0.006195,-0.023894,-0.051327,-0.053982,-0.076106,-0.073451,-0.040708,-0.025664,-0.035398,-0.039823,-0.024779,-0.00177,-0.012389,-0.017699,-0.027434,-0.033628,-0.043363,-0.055752,-0.043363,-0.084071,-0.118584,-0.129204,-0.097345,-0.078761,-0.10177,-0.072566,-0.086726,-0.10531,-0.102655,-0.097345,-0.10708,-0.09469,-0.122124,-0.148673,-0.19469,-0.138938,-0.134513,-0.143363,-0.09115,-0.083186,-0.084071,0.099115,0.127434,0.063717,0.031858,0.032743,-0.00177,-0.00885,-0.023009,-0.004425,0.025664,0.010619,-0.018584,-0.010619,-0.043363,-0.030088,-0.056637,-0.064602,-0.070796,-0.061947
