horizon,available_rows,positive_rate,avg_max_ret,avg_mdd
1,1027,0.011684518013631937,0.012606983446932814,-0.010477634858812075
3,1011,0.06923837784371908,0.027702691394658755,-0.025421616221562807
5,1003,0.11166500498504486,0.03839073579262214,-0.03851613559322034
10,961,0.19042663891779396,0.05701080957336108,-0.0607687627471384
20,821,0.31303288672350793,0.09124226674786846,-0.09491944457978076
60,351,0.43304843304843305,0.16499667806267806,-0.17248655840455837
