trade_date,symbol,action,s60_shares,entry_price,in_risk,epc_shares,exit_price,fwd_5d,fwd_10d,fwd_20d
2024-07-03,600050,SKIPPED_BUY,19900.0,4.77,False,,,-0.008386,-0.006289,-0.014675
2024-07-08,601288,SKIPPED_BUY,12800.0,4.5,False,,,0.048889,0.031111,0.028889
2024-07-16,601398,SKIPPED_BUY,9700.0,5.89,False,,,0.020374,0.016978,0.018676
2024-07-16,688036,SKIPPED_BUY,400.0,78.92,False,,,-0.025342,-0.028003,-0.024455
2024-07-17,600418,SKIPPED_BUY,3500.0,21.28,False,,,-0.095395,-0.052632,-0.106203
2024-07-17,600733,SKIPPED_BUY,3000.0,10.43,False,,,-0.184084,-0.080537,-0.272291
2024-07-22,300576,SKIPPED_BUY,1300.0,39.04,False,,,-0.106814,-0.137039,-0.134734
2024-07-30,600926,SKIPPED_BUY,2400.0,13.49,False,,,-0.036323,-0.044477,-0.008895
2024-07-30,601668,SKIPPED_BUY,11800.0,5.64,False,,,-0.037234,-0.02305,-0.014184
2024-07-31,300760,SKIPPED_BUY,200.0,257.11,False,,,0.023297,-0.019719,-0.118976
2024-08-05,002085,SKIPPED_BUY,4100.0,14.88,False,,,-0.145161,-0.192204,-0.132392
2024-08-13,600101,SKIPPED_BUY,7400.0,8.81,False,,,-0.128263,-0.180477,-0.195233
2024-08-13,600611,SKIPPED_BUY,4300.0,9.28,False,,,-0.007543,0.020474,-0.001078
2024-08-14,300139,SKIPPED_BUY,4000.0,14.17,False,,,-0.042343,-0.122795,-0.135498
2024-08-19,002142,SKIPPED_BUY,2600.0,20.27,False,,,0.03404,-0.015294,-0.081894
2024-08-27,000333,SKIPPED_BUY,700.0,65.99,False,,,-0.000303,-0.079406,0.114714
2024-08-27,300760,SKIPPED_BUY,100.0,235.66,False,,,0.050199,0.02266,0.011457
2024-08-28,601398,SKIPPED_BUY,10600.0,6.49,False,,,-0.120185,-0.146379,-0.07396
2024-09-02,601939,SKIPPED_BUY,7300.0,7.48,False,,,-0.048128,-0.033422,0.048128
2024-09-10,601857,SKIPPED_BUY,3600.0,7.9,False,,,-0.006329,0.062025,0.056962
