degraded_trade_date,symbol,strategy,production_strategy,candidate_rank,is_recovery_event,is_shadow_incremental_day,is_common_execution_risk,is_shadow_incremental_symbol,position_diff,theory_gap,monitor_execution_feasibility,candidate_degraded_reasons,candidate_hard_block_reasons,candidate_warning_reasons,execution_hard_block,execution_slippage_warning,execution_v22_severity,large_slippage_proxy,limit_up_buy_ratio,unfilled_ratio_proxy,limit_down_sell_ratio,open_gap_proxy,estimated_turnover_impact
2025-12-30,600362,production_governed_vol_position_v1_2b_gate_tuned,production_governed_vol_position,1,True,True,False,False,0.1,-0.0111216187330482,degraded_large_slippage_proxy,large_slippage_proxy,,large_slippage_proxy,False,True,warning,0.0436823841600326,0.0,0.0,0.0,-0.0436823841600326,0.0
2025-12-30,002759,production_governed_vol_position_v1_2b_gate_tuned,production_governed_vol_position,2,True,True,False,False,0.1,-0.0111216187330482,degraded_large_slippage_proxy,large_slippage_proxy|open_gap_proxy,open_gap_proxy,,True,False,hard_block,0.0543259557344064,0.0,0.0,0.0,-0.0543259557344064,0.0
2025-12-30,000559,production_governed_vol_position_v1_2b_gate_tuned,production_governed_vol_position,3,True,True,False,False,0.1,-0.0111216187330482,degraded_large_slippage_proxy,,,,False,False,pass,0.0266479663394109,0.0,0.0,0.0,-0.0266479663394109,0.0
2025-12-30,600118,production_governed_vol_position_v1_2b_gate_tuned,production_governed_vol_position,4,True,True,False,False,0.1,-0.0111216187330482,degraded_large_slippage_proxy,,,,False,False,pass,0.0295454545454544,0.0,0.0,0.0,-0.0295454545454544,0.0
2025-12-30,002151,production_governed_vol_position_v1_2b_gate_tuned,production_governed_vol_position,5,True,True,False,False,0.1,-0.0111216187330482,degraded_large_slippage_proxy,large_slippage_proxy,,large_slippage_proxy,False,True,warning,0.0328379674017257,0.0,0.0,0.0,-0.0328379674017257,0.0
2026-01-06,002465,production_governed_vol_position_v1_2b_gate_tuned,production_governed_vol_position,1,True,True,False,False,0.1,0.0026316856271857,degraded_large_slippage_proxy,large_slippage_proxy|open_gap_proxy,open_gap_proxy,,True,False,hard_block,0.0571263704558571,0.0,0.0,0.0,0.0571263704558571,0.0
2026-01-06,300058,production_governed_vol_position_v1_2b_gate_tuned,production_governed_vol_position,2,True,True,False,False,0.1,0.0026316856271857,degraded_large_slippage_proxy,,,,False,False,pass,0.0159189580318379,0.0,0.0,0.0,-0.0159189580318379,3.774579609605313e-06
2026-01-06,600118,production_governed_vol_position_v1_2b_gate_tuned,production_governed_vol_position,3,True,True,False,False,0.1,0.0026316856271857,degraded_large_slippage_proxy,,,,False,False,pass,0.0257415786827551,0.0,0.0,0.0,-0.0257415786827551,0.0
2026-01-06,600362,production_governed_vol_position_v1_2b_gate_tuned,production_governed_vol_position,4,True,True,False,False,0.1,0.0026316856271857,degraded_large_slippage_proxy,large_slippage_proxy,,large_slippage_proxy,False,True,warning,0.0313075506445672,0.0,0.0,0.0,0.0313075506445672,0.0
2026-01-06,300136,production_governed_vol_position_v1_2b_gate_tuned,production_governed_vol_position,5,True,True,False,False,0.1,0.0026316856271857,degraded_large_slippage_proxy,large_slippage_proxy,,large_slippage_proxy,False,True,warning,0.032159731748209,0.0,0.0,0.0,-0.032159731748209,0.0
