rule,n,coverage,hit20,lift,max_ret20,mdd20,avg_v2
v2>=58 & rs_liq>=50,73,0.03098471986417657,0.4931506849315068,1.7111384590554197,0.18017957534246573,-0.12160071232876711,64.34068493150684
v2>=50 & rs_liq>=50,96,0.04074702886247878,0.4791666666666667,1.662616593028964,0.17131046875,-0.12937805208333333,61.89531249999999
v2>=55 & rs_liq>=50,82,0.03480475382003396,0.47560975609756095,1.6502747943532452,0.16865190243902436,-0.12849168292682928,63.50195121951221
rs_liquidity_combo>=50,101,0.042869269949066216,0.4752475247524752,1.6490179209378961,0.16644244554455442,-0.12997665346534656,61.14118811881189
v2>=52 & rs_liq>=50,91,0.03862478777589134,0.4725274725274725,1.6395798604929679,0.16765446153846153,-0.12686305494505495,62.52054945054945
v2>=58 & rs_liq>=50 & gain<=12,70,0.029711375212224108,0.4714285714285714,1.6357668840732167,0.1801126714285714,-0.1213028285714286,64.49142857142859
v2>=52 & rs_liq>=45,255,0.10823429541595925,0.47058823529411764,1.63285107857576,0.16128112549019608,-0.12858701960784313,61.231686274509805
v2>=50 & rs_liq>=45,270,0.11460101867572156,0.4703703703703704,1.6320951290023453,0.16032253333333332,-0.12975043703703704,60.66137037037037
v2>=58 & rs_liq>=50 & gain<=5,64,0.027164685908319185,0.46875,1.6264727540500734,0.177838359375,-0.1192846875,64.59734375
rs_liquidity_combo>=45,294,0.12478777589134125,0.46598639455782315,1.6168835722801638,0.15851051700680271,-0.1302637891156463,59.49561224489797
v2>=50 & rs_liq>=50 & gain<=12,86,0.0365025466893039,0.46511627906976744,1.6138644381272047,0.1662083255813953,-0.12828109302325585,62.69639534883722
v2>=52 & rs_liq>=50 & gain<=12,84,0.035653650254668934,0.4642857142857143,1.6109825373448348,0.16367049999999997,-0.12864161904761906,62.98595238095238
v2>=52 & rs_liq>=45 & gain<=12,244,0.1035653650254669,0.46311475409836067,1.6069195296844443,0.15528600000000004,-0.13031534836065575,61.43651639344263
v2>=50 & rs_liq>=45 & gain<=12,255,0.10823429541595925,0.4627450980392157,1.6056368939328307,0.1545228039215686,-0.1299214392156863,60.988588235294124
v2>=58 & rs_liq>=50 & gain<=8,67,0.028438030560271648,0.4626865671641791,1.6054338030026596,0.1798771343283582,-0.12155583582089553,64.60940298507462
v2>=50 & rs_liq>=45 & gain<=5,238,0.10101867572156197,0.46218487394957986,1.603693023601193,0.1534360630252101,-0.12778736134453783,61.09865546218488
v2>=50 & rs_liq>=50 & gain<=5,78,0.03310696095076401,0.46153846153846156,1.601450096295457,0.16552003846153843,-0.12587994871794875,62.89205128205129
v2>=52 & rs_liq>=45 & gain<=5,228,0.0967741935483871,0.4605263157894737,1.5979381443298968,0.15376650877192985,-0.12835838596491228,61.53561403508772
v2>=55 & rs_liq>=45,222,0.09422750424448217,0.4594594594594595,1.594236357122955,0.1624664684684685,-0.1295253918918919,62.33297297297298
v2>=52 & rs_liq>=45 & gain<=8,238,0.10101867572156197,0.4579831932773109,1.5891139961139094,0.1527076848739496,-0.13104489075630252,61.489117647058826
v2>=50 & rs_liq>=50 & gain<=8,83,0.03522920203735144,0.4578313253012048,1.5885870433131641,0.16551562650602408,-0.1287375542168675,62.72674698795181
v2>=50 & rs_liq>=45 & gain<=8,249,0.10568760611205433,0.4578313253012048,1.5885870433131641,0.15203999999999998,-0.13060926104417672,61.02807228915663
v2>=52 & rs_liq>=50 & gain<=8,81,0.03438030560271647,0.4567901234567901,1.5849742722594955,0.1628667037037037,-0.12912270370370368,63.02777777777778
v2>=55 & rs_liq>=50 & gain<=12,79,0.03353140916808149,0.45569620253164556,1.5811785760891852,0.16815486075949365,-0.12848941772151903,63.60367088607595
v2>=52 & rs_liq>=50 & gain<=5,77,0.03268251273344652,0.45454545454545453,1.577185700897041,0.161291961038961,-0.1269831168831169,63.04844155844157
v2>=55 & rs_liq>=50 & gain<=8,76,0.03225806451612903,0.4473684210526316,1.552282768777614,0.16747519736842104,-0.12899614473684212,63.67263157894738
v2>=52 & rs_liq>=40,425,0.1803904923599321,0.4447058823529412,1.5430442692540933,0.14496941882352943,-0.13099710352941177,60.11847058823529
v2>=55 & rs_liq>=50 & gain<=5,72,0.030560271646859084,0.4444444444444444,1.5421371297659956,0.16604712500000002,-0.12670094444444446,63.73055555555556
v2>=55 & rs_liq>=45 & gain<=12,216,0.09168081494057725,0.4444444444444444,1.5421371297659956,0.1568644861111111,-0.1309443935185185,62.42629629629631
v2>=55 & rs_liq>=45 & gain<=5,201,0.08531409168081494,0.4427860696517413,1.5363828867444806,0.15537239800995026,-0.12940728358208956,62.57761194029851
v2>=52 & rs_liq>=40 & gain<=12,414,0.17572156196943972,0.4396135265700483,1.5253747696598434,0.14100265700483092,-0.13207976811594202,60.209613526570045
rs_liquidity_combo>=40,496,0.21052631578947367,0.43951612903225806,1.5250368188512518,0.1407612802419355,-0.13213060685483868,58.35173387096774
v2>=50 & rs_liq>=40,446,0.18930390492359933,0.43946188340807174,1.5248485969210852,0.1431914058295964,-0.13263520403587442,59.68771300448431
v2>=58 & rs_liq>=45,178,0.07555178268251274,0.43820224719101125,1.5204779004153497,0.15785294382022474,-0.13305861797752808,63.735955056179776
v2>=55 & rs_liq>=45 & gain<=8,210,0.08913412563667232,0.4380952380952381,1.520106599340767,0.1539874952380952,-0.13178918095238096,62.51419047619047
v2>=52 & rs_liq>=40 & gain<=5,393,0.1668081494057725,0.43765903307888043,1.5185930514489576,0.13978945292620865,-0.1312116921119593,60.264122137404584
v2>=52 & rs_liq>=40 & gain<=8,406,0.17232597623089982,0.43596059113300495,1.5126997830771127,0.13969510591133005,-0.13276737438423644,60.25564039408867
v2>=50 & rs_liq>=40 & gain<=12,431,0.18293718166383702,0.43387470997679817,1.5054621748237649,0.13916380046403712,-0.13283677494199536,59.84742459396751
v2>=50 & rs_liq>=40 & gain<=5,409,0.1735993208828523,0.43276283618581907,1.5016041856462292,0.13811061369193153,-0.13191315158924205,59.90474327628362
v2>=58 & rs_liq>=45 & gain<=5,165,0.0700339558573854,0.4303030303030303,1.493069130182532,0.1576464606060606,-0.13175553333333337,63.857454545454544
v2>=50 & rs_liq>=40 & gain<=8,423,0.17954159592529711,0.4302600472813239,1.4929199873266554,0.13787402127659576,-0.13351106382978722,59.88475177304964
v2>=58 & rs_liq>=45 & gain<=12,175,0.07427843803056026,0.42857142857142855,1.4870608037029243,0.15744344,-0.13313588571428572,63.785885714285726
v2>=58 & rs_liq>=45 & gain<=8,171,0.07258064516129033,0.4269005847953216,1.4812632956962852,0.1578741695906433,-0.13291347953216376,63.85140350877193
v2>=55 & rs_liq>=40,361,0.1532258064516129,0.4265927977839335,1.4801953336950622,0.14424963157894738,-0.13491381717451523,61.26285318559557
s_rs>=80,467,0.19821731748726656,0.41755888650963596,1.448849391188074,0.13267312847965737,-0.14063085653104926,57.980064239828685
v2>=55 & rs_liq>=40 & gain<=12,355,0.15067911714770799,0.4169014084507042,1.4465680682030324,0.14053321126760565,-0.13586828169014084,61.30154929577465
v2>=55 & rs_liq>=40 & gain<=5,338,0.1434634974533107,0.41420118343195267,1.4371988043677177,0.13829325443786983,-0.13559951479289942,61.346272189349115
