horizon,available_rows,positive_rate,avg_max_ret,avg_mdd
1,4344,0.02509208103130755,0.015371055248618783,-0.015426209023941066
3,4330,0.10646651270207852,0.035782325173210165,-0.035692253117782916
5,4211,0.16504393255758726,0.0510227088577535,-0.05199253550225599
10,3677,0.2575469132444928,0.07760647919499591,-0.07624484090290998
20,2356,0.2882003395585739,0.08853036162988116,-0.11168174660441428
60,1167,0.4130248500428449,0.16088937532133674,-0.19335518337617827
