bs_score_v2_label,n,hit10,max_ret,mdd,avg_v2
强买,11,0.45454545454545453,0.2172421818181818,-0.1395611818181818,73.21454545454546
观察,323,0.38699690402476783,0.12503508049535603,-0.14507275541795667,62.36467492260062
剔除,2022,0.271513353115727,0.0819987818991098,-0.10619610385756677,44.29727992087043
