event_date,event_date_key,symbol,buy_signal_description,sell_signal_description,total_b_points,total_s_points,buy_points_count,sell_points_count,process_time,name,score,base_score,penalty,s_trend,s_breakout,s_volume,s_rs,s_contraction,s_liquidity,opt_score,opt_momentum,opt_value,opt_quality,opt_technical,opt_capital,opt_chip,opt_size,claude_score,industry,fund_pe_ttm,fund_pb,fund_roe,fund_netprofit_yoy,score_momentum,score_value,score_quality,score_technical,score_capital,score_chip,bs_score,bs_entry_score,bs_score_label,bs_score_v2,bs_score_v2_label,bs_research_score,bs_research_label,bs_research_reason,bs_gate_score,bs_gate_pass,bs_gate_label,bs_gate_reason,bs_model_prob,bs_model_expected_mdd,bs_model_risk_score,bs_model_rank_score,bs_model_version,bs_consensus_score,bs_consensus_label,bs_consensus_reason,dynamic_trade_threshold,dynamic_watch_threshold,bs_threshold_version,bs_threshold_reason,close_price,buy_point_close,price_change_ratio,is_limit_up,pool_type,pool_type_shadow,pool_type_shadow_reason,is_self_selected,event_seq_for_symbol,event_uid,ts_code,score_opt_gap,score_claude_gap,opt_claude_gap,score_dispersion,rs_liquidity_combo,breakout_volume_combo,overextended_flag,pullback_flag,ret_1,max_ret_1,mdd_1,hit_1_5pct,hit_1_10pct,days_to_10pct_within_1,ret_3,max_ret_3,mdd_3,hit_3_5pct,hit_3_10pct,days_to_10pct_within_3,ret_5,max_ret_5,mdd_5,hit_5_5pct,hit_5_10pct,days_to_10pct_within_5,ret_10,max_ret_10,mdd_10,hit_10_5pct,hit_10_10pct,days_to_10pct_within_10,ret_20,max_ret_20,mdd_20,hit_20_5pct,hit_20_10pct,days_to_10pct_within_20,ret_60,max_ret_60,mdd_60,hit_60_5pct,hit_60_10pct,days_to_10pct_within_60,market_hs300_pct_chg,market_hs300_ret_5,market_hs300_ret_20,market_scored_count,market_bs_count,market_limit_up_rate,market_avg_score,market_avg_v2,market_avg_research_score,market_avg_price_change,market_bs_ratio,market_regime,sample_split,split_hit_1_10pct,split_hit_3_10pct,split_hit_5_10pct,split_hit_10_10pct,split_hit_20_10pct,split_hit_60_10pct
2026-01-22,20260122,688316,当天出现买点,当天无卖点,3,3,1,0,2026-01-23 00:38:16,青云科技-U,61.28,61.28,0.0,100.0,93.86,99.82,93.62,8.83,15.35,9.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,53.3608,软件服务,,,,,23.18,0.58,3.99,13.0,8.62,4.0,60.38,81.0,观察,56.47,剔除,43.71,回避,V2评分较好；相对强弱靠前；流动性偏弱,45.7,0,过滤,涨停可买性不足；流动性低于门槛,,,,,,32.18,回避,交易门禁过滤,72.0,58.0,dynamic_v1,neutral_no_adjustment,76.87,76.87,0.0,1,,,,1,1,20260122_688316_01,688316.SH,-28.72,7.919200000000004,36.6392,19.27858529249488,37.90866655528786,95.946,0,0,-0.010277,0.0,-0.010277,0,0,,0.066346,0.066346,-0.010277,1.0,0.0,,0.009236,0.078314,-0.010277,1.0,0.0,,-0.051125,0.078314,-0.059711,1.0,0.0,,0.081306,0.18863,-0.059711,1.0,1.0,15.0,-0.050995,0.18863,-0.161441,1.0,1.0,15.0,0.0135,-0.005834076074750727,0.022285419972553733,5176.0,294.0,0.0158,47.77342,46.302324,35.509699,0.863887,0.05680061823802164,neutral,train,train,train,train,train,train,train
2026-01-23,20260123,000039,当天出现买点,当天无卖点,4,4,1,0,2026-01-24 15:33:45,中集集团,27.86,27.86,0.0,0.0,44.41,24.11,20.51,24.55,23.43,5.475,4.0,4.0,4.0,4.0,4.0,4.0,4.0,57.4506,运输设备,,,,,10.24,18.49,6.05,13.0,7.17,2.5,45.16,81.0,等待,39.47,剔除,33.82,回避,优势未形成共振,100.0,1,可买,满足流动性、涨幅、风险门禁,,,,,,31.8,回避,共振不足,72.0,58.0,dynamic_v1,neutral_no_adjustment,9.92,9.92,0.0,0,,,,1,3,20260123_000039_03,000039.SZ,-26.89,-29.590600000000002,-2.7006000000000014,16.360363426688703,21.92143471582095,37.305,0,0,-0.011089,0.0,-0.011089,0,0,,-0.039315,0.0,-0.039315,0.0,0.0,,-0.02621,0.0,-0.039315,0.0,0.0,,0.106855,0.150202,-0.049395,1.0,1.0,8.0,0.38004,0.38004,-0.049395,1.0,1.0,8.0,0.139113,0.38004,-0.049395,1.0,1.0,8.0,-0.4491,-0.006208155045925978,0.014768479621729558,5177.0,310.0,0.0216,48.681389,46.511621,35.626855,1.01729,0.059880239520958084,neutral,train,train,train,train,train,train,train
2026-01-23,20260123,000528,MACD金叉B点(quality=86),当天无卖点,86,0,86,0,2026-06-24 11:40:08,柳工,43.09,43.09,0.0,0.0,44.41,72.53,7.48,92.2,22.14,6.725,4.0,4.0,4.0,4.0,4.0,4.0,4.0,56.0095,工程机械,,,,,10.53,18.27,10.29,8.0,5.2,3.73,45.9,36.1,等待,42.74,剔除,32.45,回避,优势未形成共振,98.6,0,观察,买点后涨幅偏高,,,,,,28.05,回避,交易门禁观察,72.0,58.0,dynamic_v1,neutral_no_adjustment,11.9,11.25,5.78,0,,,,1,3,20260123_000528_03,000528.SZ,-24.159999999999997,-12.9195,11.240499999999997,12.089719603172494,12.868846102118091,54.251999999999995,0,0,-0.013446,0.0,-0.013446,0,0,,-0.022689,0.0,-0.032773,0.0,0.0,,-0.042858,0.0,-0.042858,0.0,0.0,,-0.035292,0.0,-0.083197,0.0,0.0,,-0.020169,0.003362,-0.083197,0.0,0.0,,-0.17059,0.003362,-0.24286,0.0,0.0,,-0.4491,-0.006208155045925978,0.014768479621729558,5177.0,310.0,0.0216,48.681389,46.511621,35.626855,1.01729,0.059880239520958084,neutral,train,train,train,train,train,train,train
2026-01-23,20260123,000723,当天出现买点,当天无卖点,3,3,1,0,2026-01-24 15:31:26,美锦能源,54.11,54.11,0.0,100.0,44.41,87.58,41.22,58.82,21.16,6.975,4.0,4.0,4.0,4.0,4.0,4.0,4.0,44.6803,焦炭加工,,,,,12.18,11.13,2.15,11.0,5.73,2.5,52.93,81.0,等待,51.06,剔除,42.86,回避,优势未形成共振,100.0,1,可买,满足流动性、涨幅、风险门禁,,,,,,41.73,回避,共振不足,72.0,58.0,dynamic_v1,neutral_no_adjustment,4.98,4.98,0.0,0,,,,1,3,20260123_000723_03,000723.SZ,-15.64,9.429699999999997,25.069699999999997,12.662403011671994,29.53328969146512,59.519499999999994,0,0,-0.006024,0.0,-0.006024,0,0,,0.008032,0.008032,-0.028112,0.0,0.0,,0.016064,0.016064,-0.028112,0.0,0.0,,-0.01004,0.038153,-0.064257,0.0,0.0,,0.062249,0.062249,-0.064257,1.0,0.0,,-0.11245,0.11245,-0.124498,1.0,1.0,21.0,-0.4491,-0.006208155045925978,0.014768479621729558,5177.0,310.0,0.0216,48.681389,46.511621,35.626855,1.01729,0.059880239520958084,neutral,train,train,train,train,train,train,train
2026-01-23,20260123,000868,当天出现买点,当天无卖点,2,1,1,0,2026-01-24 15:32:31,安凯客车,39.31,39.31,0.0,100.0,44.41,24.11,18.97,32.1,3.82,6.275,8.0,8.0,8.0,8.0,8.0,8.0,8.0,28.007,汽车整车,,,,,5.5,6.97,2.58,8.0,3.4,1.56,40.36,81.0,等待,30.6,剔除,16.25,回避,流动性偏弱,67.64,0,过滤,流动性低于门槛,,,,,,5.27,回避,交易门禁过滤,72.0,58.0,dynamic_v1,neutral_no_adjustment,5.07,5.07,0.0,0,,,,1,2,20260123_000868_02,000868.SZ,-23.439999999999998,11.303,34.742999999999995,17.721302896043884,8.512661158533211,37.305,0,0,-0.011834,0.0,-0.011834,0,0,,-0.033531,0.0,-0.033531,0.0,0.0,,-0.04142,0.0,-0.04142,0.0,0.0,,-0.031558,0.0,-0.053254,0.0,0.0,,-0.061144,0.0,-0.061144,0.0,0.0,,-0.118343,0.0,-0.167653,0.0,0.0,,-0.4491,-0.006208155045925978,0.014768479621729558,5177.0,310.0,0.0216,48.681389,46.511621,35.626855,1.01729,0.059880239520958084,neutral,train,train,train,train,train,train,train
2026-01-23,20260123,001299,MACD金叉B点(quality=73),当天无卖点,73,0,73,0,2026-06-24 11:40:08,美能能源,62.7,62.7,0.0,100.0,44.41,66.25,51.48,88.55,12.12,7.65,10.0,10.0,10.0,10.0,10.0,10.0,10.0,57.812,供气供热,,,,,16.38,11.96,11.72,12.0,1.76,4.0,59.9,81.0,观察,53.03,剔除,34.35,回避,流动性偏弱,84.24,0,过滤,流动性低于门槛,,,,,,24.89,回避,交易门禁过滤,72.0,58.0,dynamic_v1,neutral_no_adjustment,17.79,,0.0,0,,,,1,1,20260123_001299_01,001299.SZ,-13.799999999999997,4.888000000000005,18.688000000000002,9.691696514714714,24.97874296276736,52.054,0,0,0.003007,0.003007,0.0,0,0,,0.012029,0.012029,-0.018043,0.0,0.0,,-0.009775,0.012029,-0.018043,0.0,0.0,,0.0,0.012029,-0.02105,0.0,0.0,,0.057142,0.057142,-0.02105,1.0,0.0,,0.173686,0.393987,-0.048874,1.0,1.0,21.0,-0.4491,-0.006208155045925978,0.014768479621729558,5177.0,310.0,0.0216,48.681389,46.511621,35.626855,1.01729,0.059880239520958084,neutral,train,train,train,train,train,train,train
2026-01-23,20260123,002006,当天出现买点,当天无卖点,2,3,1,0,2026-01-24 15:34:24,精工科技,47.86,47.86,0.0,0.0,44.41,79.6,64.28,89.9,24.47,5.375,6.0,6.0,6.0,6.0,6.0,6.0,6.0,54.2993,专用机械,,,,,16.81,7.22,12.06,10.0,7.22,1.0,53.02,81.0,等待,56.76,剔除,52.54,回避,V2评分较好,100.0,1,可买,满足流动性、涨幅、风险门禁,,,,,,54.02,谨慎观察,共振不足,72.0,58.0,dynamic_v1,neutral_no_adjustment,23.58,23.58,0.0,0,,,,1,2,20260123_002006_02,002006.SZ,-5.890000000000001,-6.439300000000003,-0.5493000000000023,3.569743571089293,39.66020171406091,56.726499999999994,0,0,-0.041561,0.0,-0.041561,0,0,,-0.080153,0.0,-0.080153,0.0,0.0,,-0.126802,0.0,-0.126802,0.0,0.0,,-0.139949,0.0,-0.152672,0.0,0.0,,-0.14419,0.0,-0.152672,0.0,0.0,,-0.276081,0.0,-0.289652,0.0,0.0,,-0.4491,-0.006208155045925978,0.014768479621729558,5177.0,310.0,0.0216,48.681389,46.511621,35.626855,1.01729,0.059880239520958084,neutral,train,train,train,train,train,train,train
2026-01-23,20260123,002007,当天出现买点,当天无卖点,1,2,1,0,2026-01-24 15:34:48,华兰生物,52.38,52.38,0.0,100.0,44.41,89.11,20.13,41.16,14.54,7.175,4.0,4.0,4.0,4.0,4.0,4.0,4.0,55.1025,生物制药,,,,,8.59,11.22,16.31,11.0,5.89,2.1,52.96,81.0,等待,44.77,剔除,27.05,回避,流动性偏弱,89.08,0,过滤,流动性低于门槛,,,,,,17.25,回避,交易门禁过滤,72.0,58.0,dynamic_v1,neutral_no_adjustment,15.61,15.61,0.0,0,,,,1,2,20260123_002007_02,002007.SZ,-19.369999999999997,-2.7224999999999966,16.6475,10.486087310495432,17.108191020677783,60.05499999999999,0,0,0.069828,0.069828,0.0,1,0,,0.012175,0.069828,0.0,1.0,0.0,,0.001283,0.069828,0.0,1.0,0.0,,-0.008326,0.069828,-0.020501,1.0,0.0,,-0.019218,0.069828,-0.020501,1.0,0.0,,-0.073029,0.069828,-0.090329,1.0,0.0,,-0.4491,-0.006208155045925978,0.014768479621729558,5177.0,310.0,0.0216,48.681389,46.511621,35.626855,1.01729,0.059880239520958084,neutral,train,train,train,train,train,train,train
2026-01-23,20260123,002074,当天出现买点,当天无卖点,4,2,1,0,2026-01-24 15:30:55,国轩高科,58.15,58.15,0.0,100.0,44.41,90.19,34.75,7.71,28.6,7.675,2.0,2.0,2.0,2.0,2.0,2.0,2.0,56.7042,电气设备,,,,,9.62,14.73,9.2,15.0,7.15,1.0,58.32,81.0,观察,50.66,剔除,43.34,回避,优势未形成共振,100.0,1,可买,满足流动性、涨幅、风险门禁,,,,,,41.9,回避,共振不足,72.0,58.0,dynamic_v1,neutral_no_adjustment,41.51,41.51,0.0,0,,,,1,1,20260123_002074_01,002074.SZ,-18.6,1.4457999999999984,20.0458,11.179478485749385,31.525386595567706,60.43299999999999,0,0,-0.027704,0.0,-0.027704,0,0,,-0.073476,0.0,-0.073476,0.0,0.0,,-0.08504,0.0,-0.092267,0.0,0.0,,-0.115876,0.0,-0.115876,0.0,0.0,,-0.10383,0.0,-0.115876,0.0,0.0,,-0.059504,0.0,-0.193929,0.0,0.0,,-0.4491,-0.006208155045925978,0.014768479621729558,5177.0,310.0,0.0216,48.681389,46.511621,35.626855,1.01729,0.059880239520958084,neutral,train,train,train,train,train,train,train
2026-01-23,20260123,002195,当天出现买点,当天无卖点,3,2,1,0,2026-01-24 15:32:40,岩山科技,48.53,48.53,0.0,100.0,44.41,24.11,97.72,49.86,29.88,6.075,2.0,2.0,2.0,2.0,2.0,2.0,2.0,46.7163,软件服务,,,,,17.92,1.99,12.43,5.0,6.88,2.5,56.58,81.0,等待,58.52,观察,66.54,普通观察,V2与强势流动性共振；相对强弱靠前,100.0,1,可买,满足流动性、涨幅、风险门禁,,,,,,63.73,谨慎观察,研究建议通过；V2观察以上,72.0,58.0,dynamic_v1,neutral_no_adjustment,10.51,10.51,0.0,0,WATCH,,,1,1,20260123_002195_01,002195.SZ,-12.219999999999999,1.8137000000000043,14.033700000000003,7.6328527146364715,54.03585476329582,37.305,0,0,-0.050428,0.0,-0.050428,0,0,,-0.069458,0.0,-0.069458,0.0,0.0,,-0.065652,0.0,-0.069458,0.0,0.0,,-0.077069,0.0,-0.077069,0.0,0.0,,0.023787,0.053283,-0.077069,1.0,0.0,,-0.164605,0.053283,-0.188392,1.0,0.0,,-0.4491,-0.006208155045925978,0.014768479621729558,5177.0,310.0,0.0216,48.681389,46.511621,35.626855,1.01729,0.059880239520958084,neutral,train,train,train,train,train,train,train
