feature,bin,n,hit20,max_ret20,mdd20,avg
rs_liquidity_combo,"(0.997, 16.201]",472,0.20127118644067796,0.06278022457627119,-0.10267428389830509,11.549081763952868
rs_liquidity_combo,"(16.201, 24.451]",471,0.19957537154989385,0.06118109978768577,-0.10437314861995754,20.356540579664046
rs_liquidity_combo,"(24.451, 31.229]",471,0.2653927813163482,0.07691309341825903,-0.10682766029723992,27.878894532918988
rs_liquidity_combo,"(31.229, 40.648]",471,0.33970276008492567,0.10103917409766454,-0.11114726539278132,35.73585546251615
rs_liquidity_combo,"(40.648, 54.063]",471,0.43524416135881105,0.14079288747346072,-0.13340549893842887,46.54404308560819
s_rs,"(0.079, 28.04]",472,0.2754237288135593,0.07940660169491526,-0.09965893220338984,15.556631355932202
s_rs,"(28.04, 47.05]",471,0.19745222929936307,0.06433850530785563,-0.10391624840764331,38.044840764331205
s_rs,"(47.05, 64.62]",472,0.211864406779661,0.07271436016949154,-0.1022401970338983,55.87639830508475
s_rs,"(64.62, 79.89]",470,0.3425531914893617,0.09438158085106384,-0.11120699574468085,72.07378723404256
s_rs,"(79.89, 99.67]",471,0.4140127388535032,0.13187613375796178,-0.14143092356687897,88.56583864118896
s_liquidity,"(0.129, 8.72]",472,0.15889830508474576,0.05322589406779661,-0.11021408262711865,4.803771186440678
s_liquidity,"(15.68, 20.98]",471,0.21231422505307856,0.07080659660297241,-0.11315975796178343,18.399108280254776
s_liquidity,"(20.98, 25.76]",472,0.3389830508474576,0.10041180932203389,-0.11946777330508475,23.44237288135593
s_liquidity,"(25.76, 29.98]",470,0.4553191489361702,0.14054967021276596,-0.11087169361702127,27.9341914893617
s_liquidity,"(8.72, 15.68]",471,0.2760084925690021,0.07781801273885351,-0.10468029087048833,12.636263269639066
s_breakout,"(42.409, 46.95]",478,0.21338912133891214,0.06822242259414225,-0.1368507928870293,45.31633891213389
s_breakout,"(46.95, 48.02]",488,0.2540983606557377,0.07716557786885246,-0.11234563729508197,47.68348360655738
s_breakout,"(48.02, 48.69]",509,0.3654223968565815,0.1081859115913556,-0.07246926326129666,48.46681728880157
s_breakout,"(48.69, 49.09]",456,0.26973684210526316,0.07946517324561404,-0.12332205263157894,48.97214912280702
s_breakout,"(49.09, 99.84]",425,0.3388235294117647,0.11060626823529411,-0.11708502117647059,72.97409411764706
bs_score_v2,"(10.119, 38.82]",472,0.24152542372881355,0.07364088983050847,-0.09289831567796611,30.9758686440678
bs_score_v2,"(38.82, 44.85]",471,0.22717622080679406,0.06342466878980892,-0.10674364118895965,42.078683651804674
bs_score_v2,"(44.85, 50.02]",472,0.24152542372881355,0.07867774788135594,-0.10683399576271187,47.48555084745763
bs_score_v2,"(50.02, 55.86]",470,0.3425531914893617,0.10380357659574468,-0.11066909787234043,53.03563829787234
bs_score_v2,"(55.86, 74.31]",471,0.3885350318471338,0.12318988322717622,-0.14131170488322717,61.01624203821656
price_change_ratio,"(-10, -5]",109,0.1743119266055046,0.055907504587155966,-0.08164919266055047,-7.389082568807339
price_change_ratio,"(-5, 0]",1693,0.2864737152982871,0.0891952516243355,-0.11937055050206734,-0.1854695806261075
price_change_ratio,"(-999, -10]",283,0.28975265017667845,0.08145426501766784,-0.07621940989399294,-18.005547703180213
price_change_ratio,"(0, 5]",150,0.3,0.07982638666666667,-0.1128022,2.1382666666666665
price_change_ratio,"(10, 15]",17,0.4117647058823529,0.10971311764705882,-0.09351717647058824,12.764117647058825
price_change_ratio,"(15, 20]",10,0.4,0.0992985,-0.14478839999999998,17.249000000000002
price_change_ratio,"(20, 999]",49,0.42857142857142855,0.16132832653061224,-0.09819124489795919,42.41408163265306
price_change_ratio,"(5, 10]",45,0.35555555555555557,0.12638537777777778,-0.12863602222222223,7.225777777777778
market_hs300_ret_20,"(-0.00568, 0.00636]",429,0.20745920745920746,0.06897524009324009,-0.11707777855477856,0.0013536836931763961
market_hs300_ret_20,"(-0.0169, -0.00568]",451,0.3170731707317073,0.09082112195121951,-0.08304459645232816,-0.01205031809104994
market_hs300_ret_20,"(-0.0537, -0.0169]",542,0.3948339483394834,0.11408747970479705,-0.07024528044280443,-0.031001168633978934
market_hs300_ret_20,"(0.00636, 0.0223]",480,0.24583333333333332,0.08153546458333333,-0.1515293625,0.014364082325766232
market_hs300_ret_20,"(0.0223, 0.104]",454,0.2533039647577093,0.08161760132158591,-0.14236933700440527,0.06848900392990129
market_bs_ratio,"(0.00412, 0.0152]",510,0.29411764705882354,0.09408915490196079,-0.13144596862745098,0.012719142262518123
market_bs_ratio,"(0.0152, 0.0283]",451,0.37915742793791574,0.11395242793791574,-0.07724992682926829,0.021013791945770115
market_bs_ratio,"(0.0283, 0.0444]",484,0.30578512396694213,0.09674542768595042,-0.10711478719008263,0.037271315442613584
market_bs_ratio,"(0.0444, 0.0522]",498,0.2429718875502008,0.06884970682730925,-0.12098710843373493,0.04880629168786689
market_bs_ratio,"(0.0522, 0.063]",413,0.21549636803874092,0.06800866101694915,-0.11900701452784504,0.05781819514283723
market_limit_up_rate,"(0.0047, 0.0112]",535,0.30093457943925234,0.09309030841121495,-0.08727579439252336,0.009266168224299065
market_limit_up_rate,"(0.0112, 0.0129]",463,0.2786177105831533,0.08576841468682506,-0.08689125917926566,0.012247948164146868
market_limit_up_rate,"(0.0129, 0.0174]",436,0.35091743119266056,0.11281880963302751,-0.11209879816513761,0.01518669724770642
market_limit_up_rate,"(0.0174, 0.0216]",454,0.2092511013215859,0.06776188546255506,-0.1391013986784141,0.019554845814977975
market_limit_up_rate,"(0.0216, 0.0286]",468,0.30128205128205127,0.08356953846153846,-0.13711940384615384,0.025043589743589743
market_avg_research_score,"(30.796999999999997, 33.476]",474,0.26582278481012656,0.08125785443037974,-0.13438329324894516,31.79247640295359
market_avg_research_score,"(33.476, 34.104]",475,0.2631578947368421,0.08128066315789473,-0.09824693684210527,33.80137575789473
market_avg_research_score,"(34.104, 34.495]",527,0.40037950664136623,0.11114325047438331,-0.07551647817836812,34.35019467362429
market_avg_research_score,"(34.495, 34.74]",418,0.21052631578947367,0.06825274401913876,-0.1156416076555024,34.64850584210526
market_avg_research_score,"(34.74, 35.722]",462,0.2792207792207792,0.09599751948051947,-0.13987411904761904,35.40369282900433
