strategy,strategy_display_name,trade_date,ts_code,stock_name,side,price,current_shares,target_shares,delta_shares,allocated_shares,current_weight,target_weight,delta_weight,note,base_strategy,hold_days,position_ratio
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2026-07-01,300503,昊志机电,BUY,101.48,0,100,100,100,0.0,0.027609875699743873,0.027609875699743873,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5,tiered_liquidity_then_bs_v2,10,0.13999999999999999
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2026-07-01,600366,宁波韵升,BUY,15.99,0,800,800,800,0.0,0.028002381241890036,0.028002381241890036,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5,tiered_liquidity_then_bs_v2,10,0.13999999999999999
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2026-07-01,600378,昊华科技,BUY,81.0,0,100,100,100,0.0,0.02822655245168429,0.02822655245168429,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5,tiered_liquidity_then_bs_v2,10,0.13999999999999999
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2026-07-01,600999,招商证券,BUY,22.94,0,600,600,600,0.0,0.028951283670521414,0.028951283670521414,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5,tiered_liquidity_then_bs_v2,10,0.13999999999999999
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2026-07-01,603067,振华股份,BUY,49.5,0,200,200,200,0.0,0.027209906936160398,0.027209906936160398,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5,tiered_liquidity_then_bs_v2,10,0.13999999999999999
baseline_full_liquidity_detail,流动性质量防守策略,2026-07-01,000021,深科技,BUY,62.26,0,1200,1200,1200,0.0,0.14963663884885897,0.14963663884885897,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail,流动性质量防守策略,2026-07-01,300223,北京君正,BUY,259.05,0,200,200,200,0.0,0.13970570838620866,0.13970570838620866,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail,流动性质量防守策略,2026-07-01,688019,安集科技,BUY,322.6,0,100,100,100,0.0,0.12677849353666143,0.12677849353666143,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail,流动性质量防守策略,2026-07-01,688120,华海清科,BUY,330.0,0,200,200,200,0.0,0.13447777084722431,0.13447777084722431,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2026-07-01,000021,深科技,BUY,62.26,0,1200,1200,1200,0.0,0.14963663884885897,0.14963663884885897,trusted_strategy:baseline_full_liquidity_detail_hold12_shadow; hold_gate=12d; max_positions=5,baseline_full_liquidity_detail,12,0.7
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2026-07-01,300223,北京君正,BUY,259.05,0,200,200,200,0.0,0.13970570838620866,0.13970570838620866,trusted_strategy:baseline_full_liquidity_detail_hold12_shadow; hold_gate=12d; max_positions=5,baseline_full_liquidity_detail,12,0.7
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2026-07-01,688019,安集科技,BUY,322.6,0,100,100,100,0.0,0.12677849353666143,0.12677849353666143,trusted_strategy:baseline_full_liquidity_detail_hold12_shadow; hold_gate=12d; max_positions=5,baseline_full_liquidity_detail,12,0.7
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2026-07-01,688120,华海清科,BUY,330.0,0,200,200,200,0.0,0.13447777084722431,0.13447777084722431,trusted_strategy:baseline_full_liquidity_detail_hold12_shadow; hold_gate=12d; max_positions=5,baseline_full_liquidity_detail,12,0.7
