trade_date,ts_code,stock_name,side,price,current_shares,target_shares,delta_shares,allocated_shares,current_weight,target_weight,delta_weight,order_status,submitted_at,filled_shares,filled_price,status_reason,note
2026-07-01,000021,深科技,BUY,62.26,0,900,900,900,0.0,0.115120234044018,0.115120234044018,planned,,,,,trusted_strategy:production_governed_vol_position; hold_gate=10d; max_positions=5
2026-07-01,002371,北方华创,BUY,935.36,0,100,100,100,0.0,0.2146019206920307,0.2146019206920307,planned,,,,,trusted_strategy:production_governed_vol_position; hold_gate=10d; max_positions=5
2026-07-01,300223,北京君正,BUY,259.05,0,100,100,100,0.0,0.08509487958386738,0.08509487958386738,planned,,,,,trusted_strategy:production_governed_vol_position; hold_gate=10d; max_positions=5
