strategy,signal_date,entry_date,exit_date,selected,gross_ret,avg_score,avg_liquidity,bs_count,max_industry_count,max_industry_weight,cost_rate,net_ret
baseline_b_consensus,2026-01-05,2026-01-06,2026-01-19,4,0.2128290339474635,60.46,27.915,4,3,0.75,0.0,0.2128290339474635
baseline_b_consensus,2026-01-19,2026-01-20,2026-02-02,5,-0.039099239514676865,62.552,27.560000000000002,5,3,0.6,0.0,-0.039099239514676865
baseline_b_consensus,2026-02-02,2026-02-03,2026-02-24,5,0.07758052564399032,62.081999999999994,27.162,5,4,0.8,0.0,0.07758052564399032
baseline_b_score_v2,2026-01-05,2026-01-06,2026-01-19,4,0.14670103275752788,72.495,22.8825,4,2,0.5,0.0,0.14670103275752788
baseline_b_score_v2,2026-01-19,2026-01-20,2026-02-02,5,-0.003329495018432116,69.192,23.548,5,2,0.4,0.0,-0.003329495018432116
baseline_b_score_v2,2026-02-02,2026-02-03,2026-02-24,5,0.037422133701813465,63.391999999999996,27.29,5,3,0.6,0.0,0.037422133701813465
baseline_b_score_v2,2026-02-24,2026-02-25,2026-03-10,5,0.051317217346952625,75.816,27.534,5,1,0.2,0.0,0.051317217346952625
baseline_b_score_v2,2026-03-10,2026-03-11,2026-03-24,5,-0.1086859105415022,72.79400000000001,24.652,5,3,0.6,0.0,-0.1086859105415022
baseline_b_score_v2,2026-03-25,2026-03-26,2026-04-09,5,-0.11912439800346467,67.91799999999999,27.577999999999996,5,1,0.2,0.0,-0.11912439800346467
baseline_b_score_v2,2026-04-13,2026-04-14,2026-04-27,5,0.08154557320024032,75.45,25.236,5,2,0.4,0.0,0.08154557320024032
baseline_full_dynamic_factor,2026-01-05,2026-01-06,2026-01-19,4,0.14458314397119704,74.0425,29.2075,0,1,0.25,0.0,0.14458314397119704
baseline_full_dynamic_factor,2026-01-19,2026-01-20,2026-02-02,5,-0.023171116591245246,74.28999999999999,28.692,0,2,0.4,0.0,-0.023171116591245246
baseline_full_dynamic_factor,2026-02-02,2026-02-03,2026-02-24,5,0.12906513679592607,76.422,25.692,0,1,0.2,0.0,0.12906513679592607
baseline_full_dynamic_factor,2026-02-24,2026-02-25,2026-03-10,5,-0.014161275791285077,77.7,26.303999999999995,2,2,0.4,0.0,-0.014161275791285077
baseline_full_dynamic_factor,2026-03-10,2026-03-11,2026-03-24,5,-0.023750652310859887,75.596,29.016,0,1,0.2,0.0,-0.023750652310859887
baseline_full_dynamic_factor,2026-03-25,2026-03-26,2026-04-09,5,-0.021810739086983343,75.95,29.169999999999998,1,2,0.4,0.0,-0.021810739086983343
baseline_full_dynamic_factor,2026-04-13,2026-04-14,2026-04-27,5,0.015041933609532876,51.75599999999999,29.988,0,3,0.6,0.0,0.015041933609532876
baseline_full_dynamic_factor_industry_cap2,2026-01-05,2026-01-06,2026-01-19,4,0.14458314397119704,74.0425,29.2075,0,1,0.25,0.0,0.14458314397119704
baseline_full_dynamic_factor_industry_cap2,2026-01-19,2026-01-20,2026-02-02,5,-0.023171116591245246,74.28999999999999,28.692,0,2,0.4,0.0,-0.023171116591245246
baseline_full_dynamic_factor_industry_cap2,2026-02-02,2026-02-03,2026-02-24,5,0.12906513679592607,76.422,25.692,0,1,0.2,0.0,0.12906513679592607
baseline_full_dynamic_factor_industry_cap2,2026-02-24,2026-02-25,2026-03-10,5,-0.014161275791285077,77.7,26.303999999999995,2,2,0.4,0.0,-0.014161275791285077
baseline_full_dynamic_factor_industry_cap2,2026-03-10,2026-03-11,2026-03-24,5,-0.023750652310859887,75.596,29.016,0,1,0.2,0.0,-0.023750652310859887
baseline_full_dynamic_factor_industry_cap2,2026-03-25,2026-03-26,2026-04-09,5,-0.021810739086983343,75.95,29.169999999999998,1,2,0.4,0.0,-0.021810739086983343
baseline_full_dynamic_factor_industry_cap2,2026-04-13,2026-04-14,2026-04-27,5,0.030084591382264447,49.602,29.986,0,2,0.4,0.0,0.030084591382264447
baseline_full_liq_breakout_adj,2026-01-05,2026-01-06,2026-01-19,5,0.2359511756783606,80.238,22.53,2,2,0.4,0.0,0.2359511756783606
baseline_full_liq_breakout_adj,2026-01-19,2026-01-20,2026-02-02,5,0.05214894056210493,79.388,26.778,0,2,0.4,0.0,0.05214894056210493
baseline_full_liq_breakout_adj,2026-02-02,2026-02-03,2026-02-24,5,0.12538438349790682,77.056,24.722,0,2,0.4,0.0,0.12538438349790682
baseline_full_liq_breakout_adj,2026-02-24,2026-02-25,2026-03-10,5,0.07775675026084712,77.946,26.076,2,2,0.4,0.0,0.07775675026084712
baseline_full_liq_breakout_adj,2026-03-10,2026-03-11,2026-03-24,5,-0.1322448186483337,81.90599999999999,24.806,1,2,0.4,0.0,-0.1322448186483337
baseline_full_liq_breakout_adj,2026-03-25,2026-03-26,2026-04-09,5,-0.12695826231112597,81.39,27.381999999999998,1,2,0.4,0.0,-0.12695826231112597
baseline_full_liq_breakout_adj,2026-04-13,2026-04-14,2026-04-27,5,0.03766239903649695,81.60799999999999,21.814,0,2,0.4,0.0,0.03766239903649695
baseline_full_liquidity,2026-01-05,2026-01-06,2026-01-19,5,-0.05608535173805369,57.612,29.988,0,4,0.8,0.0,-0.05608535173805369
baseline_full_liquidity,2026-01-19,2026-01-20,2026-02-02,5,-0.038208007209752884,44.754,29.988,0,3,0.6,0.0,-0.038208007209752884
baseline_full_liquidity,2026-02-02,2026-02-03,2026-02-24,5,-0.09552991041889132,46.2,29.988,0,2,0.4,0.0,-0.09552991041889132
baseline_full_liquidity,2026-02-24,2026-02-25,2026-03-10,5,-0.006710162659806418,40.628,29.988,0,2,0.4,0.0,-0.006710162659806418
baseline_full_liquidity,2026-03-10,2026-03-11,2026-03-24,5,0.005818524293975646,41.244,29.988,0,3,0.6,0.0,0.005818524293975646
baseline_full_liquidity,2026-03-25,2026-03-26,2026-04-09,5,-0.005430370536043694,59.864,29.988,0,2,0.4,0.0,-0.005430370536043694
baseline_full_liquidity,2026-04-13,2026-04-14,2026-04-27,5,0.015041933609532876,51.75599999999999,29.988,0,3,0.6,0.0,0.015041933609532876
baseline_full_liquidity_detail,2026-01-05,2026-01-06,2026-01-19,5,0.13950855717821325,68.066,29.662,0,1,0.2,0.0,0.13950855717821325
