trade_date,history_dates,history_start,history_end,weight_s_liquidity,weight_liquidity_detail_score,weight_score,weight_bs_score_v2,weight_s_breakout,weight_s_relative_amount,weight_s_low_impact_cost,raw_s_liquidity,raw_liquidity_detail_score,raw_score,raw_bs_score_v2,raw_s_breakout,raw_s_relative_amount,raw_s_low_impact_cost
2026-01-05,0,,,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-06,0,,,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-07,0,,,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-08,0,,,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-09,0,,,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-12,0,,,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-13,0,,,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-14,0,,,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-15,0,,,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-16,0,,,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-19,0,,,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-20,1,2026-01-05,2026-01-05,0.0,0.1500676906224778,0.25380986478469447,0.19199251968884515,0.11014807211165359,0.19103817825728345,0.10294367453504545,0.0,0.13950855717821325,0.2359511756783606,0.17848345169902,0.1023977816445248,0.17759626008821885,0.09570030327938313
2026-01-21,2,2026-01-05,2026-01-06,0.0,0.18760939141888108,0.27611409066668413,0.18607150372568884,0.08121114028214549,0.0861281973362694,0.1828656765703311,0.0,0.12106997010656284,0.17818470839968786,0.12007752502887309,0.05240798582586157,0.055581110295019324,0.11800870856435303
2026-01-22,3,2026-01-05,2026-01-07,0.0,0.23516869208065264,0.31746239290272504,0.26303949659727377,0.03287442829261112,0.005659121853415578,0.1457958682733218,0.0,0.10735410065562405,0.14492103255975142,0.12007707464913688,0.015007119581677589,0.0025833793252788145,0.06655556136877443
2026-01-23,4,2026-01-05,2026-01-08,0.0,0.31498644868401965,0.2741634625625349,0.33606917431465155,0.0,0.0,0.07478091443879387,0.0,0.0918742861121648,0.07996716209921831,0.09802363118623184,0.0,0.0,0.021811868915577334
2026-01-26,5,2026-01-05,2026-01-09,0.0,0.2660841711468521,0.24214731480598853,0.26431865203662425,0.05823275756186202,0.0,0.1692171044486731,0.0,0.0785294317719033,0.07146494642972087,0.07800837404828503,0.017186236002442228,0.0,0.049941050612541546
2026-01-27,6,2026-01-05,2026-01-12,0.0,0.3261507816687099,0.27835310562425375,0.3118591248405572,0.0,0.0,0.08363698786647913,0.0,0.05673001773117362,0.04841618510554716,0.054244155391305025,0.0,0.0,0.014547651182595683
2026-01-28,7,2026-01-05,2026-01-13,0.0,0.5119293896254744,0.07318644208738094,0.3840866946233884,0.030797473663756302,0.0,0.0,0.0,0.04534630618472783,0.006482797977067114,0.03402209993963108,0.0027280162045287084,0.0,0.0
2026-01-29,8,2026-01-05,2026-01-14,0.0,0.4999315536023282,0.0,0.4288069627147565,0.07126148368291525,0.0,0.0,0.0,0.030304976371040068,0.0,0.025993528072334973,0.004319746500525641,0.0,0.0
2026-01-30,9,2026-01-05,2026-01-15,0.0,0.24157385089195277,0.14316947079103745,0.3891178221456239,0.22613885617138588,0.0,0.0,0.0,0.024500460459828052,0.014520271731476415,0.03946439476165523,0.022935040707430913,0.0,0.0
2026-02-02,10,2026-01-05,2026-01-16,0.0,0.18666510968254235,0.2201396219469764,0.4653675309438528,0.12782773742662856,0.0,0.0,0.0,0.020403538864814254,0.02406248998390471,0.05086726984053824,0.01397228551720831,0.0,0.0
2026-02-03,11,2026-01-05,2026-01-19,0.0,0.1594821901108392,0.3718989771660616,0.41830934737505493,0.05030948534804415,0.0,0.0,0.0,0.014790861906298384,0.03449103884599198,0.03879527730863365,0.0046658542238647675,0.0,0.0
2026-02-04,12,2026-01-05,2026-01-20,0.0,0.1147275872935274,0.3797527964936189,0.42732328844386147,0.07819632776899214,0.0,0.0,0.0,0.012005004085341742,0.0397370325731852,0.0447147712642576,0.008182401952929711,0.0,0.0
2026-02-05,13,2026-01-05,2026-01-21,0.0,0.07485532710824902,0.37744258406027564,0.4159637752151225,0.13173831361635283,0.0,0.0,0.0,0.008276690962685407,0.04173351109543211,0.04599276700973915,0.014566195244476146,0.0,0.0
2026-02-06,14,2026-01-05,2026-01-22,0.0,0.033341694444567756,0.40425517679307926,0.448598546403431,0.11380458235892202,0.0,0.0,0.0,0.0032348522373529596,0.03922133487500869,0.04352358317958418,0.011041460669517892,0.0,0.0
2026-02-09,15,2026-01-05,2026-01-23,0.0,0.0,0.4272552783425549,0.4816800980112857,0.09106462364615944,0.0,0.0,0.0,0.0,0.03586653970491435,0.040435307030981846,0.007644546727166196,0.0,0.0
2026-02-10,16,2026-01-05,2026-01-26,0.0,0.0,0.47239627380259486,0.4531072646497417,0.015591793226261646,0.05890466832140185,0.0,0.0,0.0,0.036095200078226274,0.034621351355672805,0.0011913491432733563,0.004500830989812261,0.0
2026-02-11,17,2026-01-05,2026-01-27,0.0,0.0,0.46213601246627845,0.511112500719869,0.02675148681385257,0.0,0.0,0.0,0.0,0.0274369980491091,0.03034473035392279,0.0015882347874285139,0.0,0.0
2026-02-12,18,2026-01-05,2026-01-28,0.0,0.0,0.4172670931435,0.5026090975869077,0.0801238092695923,0.0,0.0,0.0,0.0,0.02017891760108059,0.02430603259258637,0.0038747645613639876,0.0,0.0
2026-02-13,19,2026-01-05,2026-01-29,0.0,0.0,0.3246272771508077,0.6753727228491924,0.0,0.0,0.0,0.0,0.0,0.007570327497653487,0.01574973224623748,0.0,0.0,0.0
2026-02-24,20,2026-01-05,2026-01-30,0.0,0.0,0.17431775799183474,0.8256822420081652,0.0,0.0,0.0,0.0,0.0,0.003709504185786485,0.017570623716961338,0.0,0.0,0.0
2026-02-25,20,2026-01-06,2026-02-02,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013293004341545189,0.0,0.0,0.0
2026-02-26,20,2026-01-07,2026-02-03,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068651246192748885,0.0,0.0,0.0
2026-02-27,20,2026-01-08,2026-02-04,0.0,0.0,0.0,0.11405631232220907,0.885943687677791,0.0,0.0,0.0,0.0,0.0,0.00048394047709382786,0.0037590555240980756,0.0,0.0
2026-03-02,20,2026-01-09,2026-02-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038334706661377325,0.0,0.0
2026-03-03,20,2026-01-12,2026-02-06,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002408031667639342,0.0,0.0,0.0
2026-03-04,20,2026-01-13,2026-02-09,0.0,0.0,0.0,0.3542709607980872,0.6457290392019128,0.0,0.0,0.0,0.0,0.0,0.004998583865603863,0.009110909767019192,0.0,0.0
2026-03-05,20,2026-01-14,2026-02-10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007431692213251592,0.0,0.0,0.0
2026-03-06,20,2026-01-15,2026-02-11,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-09,20,2026-01-16,2026-02-12,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-10,20,2026-01-19,2026-02-13,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-11,20,2026-01-20,2026-02-24,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-12,20,2026-01-21,2026-02-25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003470413765147495,0.0
2026-03-13,20,2026-01-22,2026-02-26,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-17,20,2026-01-26,2026-03-02,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-18,20,2026-01-27,2026-03-03,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-19,20,2026-01-28,2026-03-04,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-20,20,2026-01-29,2026-03-05,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-23,20,2026-01-30,2026-03-06,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006298337386196793,0.0,0.0,0.0,0.0
2026-03-24,20,2026-02-02,2026-03-09,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006056313146064914,0.0,0.0,0.0,0.0
2026-03-25,20,2026-02-03,2026-03-10,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-26,20,2026-02-04,2026-03-11,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-27,20,2026-02-05,2026-03-12,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-30,20,2026-02-06,2026-03-13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0042101747490556115,0.0,0.0,0.0,0.0
2026-03-31,20,2026-02-06,2026-03-13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0042101747490556115,0.0,0.0,0.0,0.0
2026-04-01,20,2026-02-09,2026-03-17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007483404308490549,0.0,0.0,0.0,0.0
2026-04-02,20,2026-02-10,2026-03-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00411256094088352,0.0,0.0,0.0,0.0
2026-04-03,20,2026-02-11,2026-03-19,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032523671189518266,0.0,0.0,0.0,0.0
2026-04-08,20,2026-02-13,2026-03-23,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-09,20,2026-02-24,2026-03-24,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-13,20,2026-02-26,2026-03-26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.988293767319141e-05,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-14,20,2026-02-27,2026-03-27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006319067773464315,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-22,20,2026-03-06,2026-04-03,0.6666063902476167,0.33339360975238325,0.0,0.0,0.0,0.0,0.0,0.05503173130219047,0.027523329836285047,0.0,0.0,0.0,0.0,0.0
2026-04-23,20,2026-03-09,2026-04-08,0.6188988602152888,0.3811011397847112,0.0,0.0,0.0,0.0,0.0,0.05856820480102372,0.03606471273359625,0.0,0.0,0.0,0.0,0.0
2026-04-24,20,2026-03-10,2026-04-09,0.6402625753349072,0.35973742466509284,0.0,0.0,0.0,0.0,0.0,0.06462184939670484,0.03630838124015939,0.0,0.0,0.0,0.0,0.0
2026-04-27,20,2026-03-10,2026-04-09,0.6402625753349072,0.35973742466509284,0.0,0.0,0.0,0.0,0.0,0.06462184939670484,0.03630838124015939,0.0,0.0,0.0,0.0,0.0
2026-04-28,20,2026-03-11,2026-04-13,0.5718169359548536,0.37899579106640346,0.04918727297874294,0.0,0.0,0.0,0.0,0.0650830198624827,0.04313651633382111,0.005598393581874659,0.0,0.0,0.0,0.0
2026-04-29,20,2026-03-12,2026-04-14,0.5190506294099546,0.3968117489099154,0.0841376216801301,0.0,0.0,0.0,0.0,0.06189597622121411,0.0473191807950353,0.010033279868561054,0.0,0.0,0.0,0.0
2026-04-30,20,2026-03-12,2026-04-14,0.5190506294099546,0.3968117489099154,0.0841376216801301,0.0,0.0,0.0,0.0,0.06189597622121411,0.0473191807950353,0.010033279868561054,0.0,0.0,0.0,0.0
2026-05-06,20,2026-03-12,2026-04-14,0.5190506294099546,0.3968117489099154,0.0841376216801301,0.0,0.0,0.0,0.0,0.06189597622121411,0.0473191807950353,0.010033279868561054,0.0,0.0,0.0,0.0
