strategy,signal_date,entry_date,exit_date,hold_days,rebalance_step,selected_count,max_per_industry,industry_penalty_step,symbol,name,industry,industry_key,is_bs_candidate,sort_col,rank_score,score,dynamic_factor_score,score_liq_breakout_adj,liquidity_detail_score,s_breakout,s_liquidity,s_relative_amount,s_amount_ratio_5_20,s_low_impact_cost,s_amount_stability,bs_score_v2,bs_consensus_score,bs_model_rank_score,bs_model_prob,bs_model_expected_mdd,pool_type,bs_gate_label,entry_open,exit_close,gross_ret
baseline_full_liquidity_detail,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,002465,海格通信,通信设备,通信设备,0,liquidity_detail_score,95.60087667053264,72.15,96.91453135611214,72.15,95.60087667053264,99.27,29.22,95.66143714894442,95.7970172380399,97.25391607039258,85.50949244478883,60.08,41.97,36.6727,0.360878,0.025694,,过滤,18.32,19.4,0.058951965065502154
baseline_full_liquidity_detail,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,300058,蓝色光标,广告包装,广告包装,0,liquidity_detail_score,94.07718569455069,74.5,94.69810037461998,74.5,94.07718569455069,99.27,29.76,98.39240751501065,95.99070307960488,98.25952426996713,55.81170089112747,51.62,32.2,32.169,0.321067,0.1,,过滤,13.6,16.91,0.2433823529411765
baseline_full_liquidity_detail,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,600118,中国卫星,航空,航空,0,liquidity_detail_score,94.06142411869116,70.7,97.17959982376551,70.7,94.06142411869116,97.18,29.95,88.74685260507457,92.36877784233972,99.40050280409979,76.13328167376986,66.52,61.78,52.3317,0.345028,0.1,,可买,96.89,104.89,0.08256786046031572
baseline_full_liquidity_detail,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,600362,江西铜业,铜,铜,0,liquidity_detail_score,93.62262834705889,52.37,83.43130288212204,52.36999999999999,93.62262834705889,45.1,29.54,82.85880302149913,95.50648847569244,98.56894217752853,85.5288647810926,59.69,56.02,50.3677,0.340754,0.042738,,可买,56.0,60.5,0.0803571428571428
baseline_full_liquidity_detail,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,300136,信维通信,元器件,元器件,0,liquidity_detail_score,93.54938246576145,70.61,98.21280599501583,70.61,93.54938246576145,98.43,29.84,94.86732519852798,97.23029246562076,98.7429897505318,53.93258426966292,68.48,62.72,52.8615,0.345692,0.1,,可买,63.5,78.25,0.23228346456692917
baseline_full_dynamic_factor,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,300136,信维通信,元器件,元器件,0,dynamic_factor_score,98.21280599501583,70.61,98.21280599501583,70.61,93.54938246576145,98.43,29.84,94.86732519852798,97.23029246562076,98.7429897505318,53.93258426966292,68.48,62.72,52.8615,0.345692,0.1,,可买,63.5,78.25,0.23228346456692917
baseline_full_dynamic_factor,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,300857,协创数据,IT设备,IT设备,0,dynamic_factor_score,98.04184641546966,77.71,98.04184641546966,77.71,93.39587670350895,99.27,28.93,96.33933759442185,93.99573891148557,94.56584799845291,72.70437814800465,70.7,62.61,51.8576,0.31971,0.1,,可买,261.1514,266.1129,0.018998557924636783
baseline_full_dynamic_factor,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,002230,科大讯飞,软件服务,软件服务,0,dynamic_factor_score,98.00652685488679,69.79,98.00652685488679,69.79,92.86103868968776,99.27,28.76,99.03157079217509,95.35153980244044,98.29820150841229,56.605966679581556,65.06,56.58,42.3565,0.24245,-0.069111,,可买,54.07,61.05,0.12909191788422403
baseline_full_dynamic_factor,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,603667,五洲新春,机械基件,机械基件,0,dynamic_factor_score,97.77686222419291,78.06,97.77686222419291,78.06,88.55858886382458,99.27,29.3,97.38524113887274,86.3064110013558,96.49970992071167,25.939558310732274,61.96,42.28,34.5987,0.318478,0.1,,过滤,74.46,89.2,0.19795863550899817
liq_top_10_then_score,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,603667,五洲新春,机械基件,机械基件,0,score,78.06,78.06,97.77686222419291,78.06,88.55858886382458,99.27,29.3,97.38524113887274,86.3064110013558,96.49970992071167,25.939558310732274,61.96,42.28,34.5987,0.318478,0.1,,过滤,74.46,89.2,0.19795863550899817
liq_top_10_then_score,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,300857,协创数据,IT设备,IT设备,0,score,77.71,77.71,98.04184641546966,77.71,93.39587670350895,99.27,28.93,96.33933759442185,93.99573891148557,94.56584799845291,72.70437814800465,70.7,62.61,51.8576,0.31971,0.1,,可买,261.1514,266.1129,0.018998557924636783
liq_top_10_then_score,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,300442,润泽科技,软件服务,软件服务,0,score,75.84,75.84,96.803185942405,75.84,83.27482891878778,96.93,28.78,91.86519465427078,68.33236490412551,96.19029201315026,18.500581170089113,71.21,61.27,49.1256,0.290857,-0.022566,,可买,55.51,76.21,0.37290578274184827
liq_top_10_then_score,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,688122,西部超导,小金属,小金属,0,score,75.72,75.72,93.60283736032882,75.72,80.57524190817063,94.37,28.96,73.98799147782297,58.899864419910905,95.55211757880487,39.96512979465324,69.69,62.01,50.7544,0.328738,-0.027847,,可买,79.56,89.99,0.13109602815485166
liq_top_10_then_score,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,600577,精达股份,电气设备,电气设备,0,score,74.65,74.65,93.20305216823827,74.65,79.27620063157119,97.41,28.46,77.60991671508812,76.58338175479372,88.841616708567,9.938008523827973,70.3,62.63,52.4367,0.331029,0.022135,,可买,13.07,16.09,0.23106350420811017
liq_top_20_then_score,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,002347,泰尔股份,机械基件,机械基件,1,score,83.02,83.02,95.12089007454425,83.02,83.46893358747738,99.27,26.61,98.85725353476661,98.56672477241914,86.34693482885322,4.804339403332042,62.6,41.79,34.0891,0.307319,0.1,,过滤,12.41,10.72,-0.1361804995970991
liq_top_20_then_score,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,603667,五洲新春,机械基件,机械基件,0,score,78.06,78.06,97.77686222419291,78.06,88.55858886382458,99.27,29.3,97.38524113887274,86.3064110013558,96.49970992071167,25.939558310732274,61.96,42.28,34.5987,0.318478,0.1,,过滤,74.46,89.2,0.19795863550899817
liq_top_20_then_score,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,300857,协创数据,IT设备,IT设备,0,score,77.71,77.71,98.04184641546966,77.71,93.39587670350895,99.27,28.93,96.33933759442185,93.99573891148557,94.56584799845291,72.70437814800465,70.7,62.61,51.8576,0.31971,0.1,,可买,261.1514,266.1129,0.018998557924636783
liq_top_20_then_score,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,688630,芯碁微装,专用机械,专用机械,0,score,77.23,77.23,85.04354073449973,77.23,64.20366002624719,91.88,26.4,58.88049583575441,18.167731938795274,80.44865596596404,24.3510267338241,70.29,62.71,51.6381,0.351491,-0.040478,,可买,142.3091,171.6694,0.20631358078998452
liq_top_20_then_score,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,301050,雷电微力,航空,航空,0,score,77.12,77.12,94.40256292006055,77.12,83.46530180200433,97.54,25.8,92.44625217896572,85.45419329846989,87.85534712821504,45.79620302208446,70.7,60.73,49.675,0.2888,-0.00656,,可买,54.69,59.63,0.09032729932345962
liq_top_30_then_score,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,002347,泰尔股份,机械基件,机械基件,1,score,83.02,83.02,95.12089007454425,83.02,83.46893358747738,99.27,26.61,98.85725353476661,98.56672477241914,86.34693482885322,4.804339403332042,62.6,41.79,34.0891,0.307319,0.1,,过滤,12.41,10.72,-0.1361804995970991
liq_top_30_then_score,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,002969,嘉美包装,广告包装,广告包装,0,score,81.86,81.86,92.82388820155928,81.86,78.28296793919023,98.14,23.48,99.53515398024405,99.845051326748,80.3326242506285,0.42619139868268113,74.7,64.4,54.1941,0.341985,0.1,,可买,13.7,17.2,0.25547445255474455
liq_top_30_then_score,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,300487,蓝晓科技,化工原料,化工原料,0,score,78.82,78.82,79.6712930758834,78.82,55.08350388711565,95.49,21.12,63.974433468913425,26.321905868681,66.02204602591375,2.7702440914374273,71.61,58.53,50.89,0.299791,0.00534,,可买,64.67,73.5,0.1365393536415649
liq_top_30_then_score,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,002985,北摩高科,航空,航空,1,score,78.51,78.51,89.64012414022645,78.51,76.37657569702662,92.46,23.43,81.69668797210925,70.75343792368778,83.7362212338039,56.237892289810155,71.9,51.87,44.6843,0.281682,-0.003832,WATCH,观察,32.2112,37.1081,0.15202476157361433
liq_top_30_then_score,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,600869,远东股份,电气设备,电气设备,0,score,78.47,78.47,87.59533925631987,78.47,72.99442845031146,93.0,23.85,73.56188262638001,49.680418361417786,79.4043705279443,71.19333591631151,69.25,59.16,48.6793,0.27804,-0.006312,,可买,8.28,10.23,0.23550724637681175
liq_top_10_then_liq_breakout_adj,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,603667,五洲新春,机械基件,机械基件,0,score_liq_breakout_adj,78.06,78.06,97.77686222419291,78.06,88.55858886382458,99.27,29.3,97.38524113887274,86.3064110013558,96.49970992071167,25.939558310732274,61.96,42.28,34.5987,0.318478,0.1,,过滤,74.46,89.2,0.19795863550899817
liq_top_10_then_liq_breakout_adj,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,300857,协创数据,IT设备,IT设备,0,score_liq_breakout_adj,77.71,77.71,98.04184641546966,77.71,93.39587670350895,99.27,28.93,96.33933759442185,93.99573891148557,94.56584799845291,72.70437814800465,70.7,62.61,51.8576,0.31971,0.1,,可买,261.1514,266.1129,0.018998557924636783
liq_top_10_then_liq_breakout_adj,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,300442,润泽科技,软件服务,软件服务,0,score_liq_breakout_adj,75.84,75.84,96.803185942405,75.84,83.27482891878778,96.93,28.78,91.86519465427078,68.33236490412551,96.19029201315026,18.500581170089113,71.21,61.27,49.1256,0.290857,-0.022566,,可买,55.51,76.21,0.37290578274184827
liq_top_10_then_liq_breakout_adj,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,688122,西部超导,小金属,小金属,0,score_liq_breakout_adj,75.72,75.72,93.60283736032882,75.72,80.57524190817063,94.37,28.96,73.98799147782297,58.899864419910905,95.55211757880487,39.96512979465324,69.69,62.01,50.7544,0.328738,-0.027847,,可买,79.56,89.99,0.13109602815485166
liq_top_10_then_liq_breakout_adj,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,600577,精达股份,电气设备,电气设备,0,score_liq_breakout_adj,74.65,74.65,93.20305216823827,74.65,79.27620063157119,97.41,28.46,77.60991671508812,76.58338175479372,88.841616708567,9.938008523827973,70.3,62.63,52.4367,0.331029,0.022135,,可买,13.07,16.09,0.23106350420811017
liq_top_20_then_liq_breakout_adj,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,002347,泰尔股份,机械基件,机械基件,1,score_liq_breakout_adj,83.02,83.02,95.12089007454425,83.02,83.46893358747738,99.27,26.61,98.85725353476661,98.56672477241914,86.34693482885322,4.804339403332042,62.6,41.79,34.0891,0.307319,0.1,,过滤,12.41,10.72,-0.1361804995970991
liq_top_20_then_liq_breakout_adj,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,603667,五洲新春,机械基件,机械基件,0,score_liq_breakout_adj,78.06,78.06,97.77686222419291,78.06,88.55858886382458,99.27,29.3,97.38524113887274,86.3064110013558,96.49970992071167,25.939558310732274,61.96,42.28,34.5987,0.318478,0.1,,过滤,74.46,89.2,0.19795863550899817
liq_top_20_then_liq_breakout_adj,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,300857,协创数据,IT设备,IT设备,0,score_liq_breakout_adj,77.71,77.71,98.04184641546966,77.71,93.39587670350895,99.27,28.93,96.33933759442185,93.99573891148557,94.56584799845291,72.70437814800465,70.7,62.61,51.8576,0.31971,0.1,,可买,261.1514,266.1129,0.018998557924636783
liq_top_20_then_liq_breakout_adj,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,688630,芯碁微装,专用机械,专用机械,0,score_liq_breakout_adj,77.23,77.23,85.04354073449973,77.23,64.20366002624719,91.88,26.4,58.88049583575441,18.167731938795274,80.44865596596404,24.3510267338241,70.29,62.71,51.6381,0.351491,-0.040478,,可买,142.3091,171.6694,0.20631358078998452
liq_top_20_then_liq_breakout_adj,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,301050,雷电微力,航空,航空,0,score_liq_breakout_adj,77.12,77.12,94.40256292006055,77.12,83.46530180200433,97.54,25.8,92.44625217896572,85.45419329846989,87.85534712821504,45.79620302208446,70.7,60.73,49.675,0.2888,-0.00656,,可买,54.69,59.63,0.09032729932345962
liq_top_30_then_liq_breakout_adj,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,002347,泰尔股份,机械基件,机械基件,1,score_liq_breakout_adj,83.02,83.02,95.12089007454425,83.02,83.46893358747738,99.27,26.61,98.85725353476661,98.56672477241914,86.34693482885322,4.804339403332042,62.6,41.79,34.0891,0.307319,0.1,,过滤,12.41,10.72,-0.1361804995970991
liq_top_30_then_liq_breakout_adj,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,002969,嘉美包装,广告包装,广告包装,0,score_liq_breakout_adj,81.86,81.86,92.82388820155928,81.86,78.28296793919023,98.14,23.48,99.53515398024405,99.845051326748,80.3326242506285,0.42619139868268113,74.7,64.4,54.1941,0.341985,0.1,,可买,13.7,17.2,0.25547445255474455
liq_top_30_then_liq_breakout_adj,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,300487,蓝晓科技,化工原料,化工原料,0,score_liq_breakout_adj,78.82,78.82,79.6712930758834,78.82,55.08350388711565,95.49,21.12,63.974433468913425,26.321905868681,66.02204602591375,2.7702440914374273,71.61,58.53,50.89,0.299791,0.00534,,可买,64.67,73.5,0.1365393536415649
