month,strategy,monthly_return,max_drawdown,avg_position,calmar,return_per_exposure,worst_20d_return,trade_count,shadow_fail_ratio,champion_score,is_production_candidate
2023-11,adaptive_market_style,0.0,0.0,0.3340352447162192,,0.0,0.0,5,,0.0,True
2023-11,baseline_full_liquidity,0.0,0.0,0.6872890022699512,,0.0,0.0,5,,0.0,False
2023-11,baseline_full_liquidity_detail,0.0,0.0,0.6777897070297405,,0.0,0.0,5,,0.0,False
2023-11,baseline_full_liquidity_detail_vol_position,0.0,0.0,0.6407063521024414,,0.0,0.0,5,,0.0,False
2023-11,baseline_full_liquidity_detail_vol_position_pattern_rerank,0.0,0.0,0.6729862360691881,,0.0,0.0,5,,0.0,False
2023-11,baseline_full_liquidity_detail_vol_position_pattern_risk_penalty,0.0,0.0,0.6729862360691881,,0.0,0.0,5,,0.0,False
2023-11,production_governed_adaptive,0.0,0.0,0.6872890022699512,,0.0,0.0,5,,0.0,False
2023-11,production_governed_adaptive_pattern_guard,0.0,0.0,0.6872890022699512,,0.0,0.0,5,,0.0,False
2023-11,production_governed_vol_position,0.0,0.0,0.6407063521024414,,0.0,0.0,5,,0.0,False
2023-11,production_governed_vol_position_pattern_guard,0.0,0.0,0.6407063521024414,,0.0,0.0,5,,0.0,False
2023-11,tiered_liquidity_then_bs_v2,0.0,0.0,0.6918213890868801,,0.0,0.0,5,,0.0,False
2023-12,baseline_full_liquidity_detail_vol_position,-0.01186426569383947,-0.0338464221501622,0.6337250391383265,-0.3505323440451922,-0.018721472186062377,-0.015723452115286807,19,,-0.381118081925094,True
2023-12,production_governed_vol_position,-0.029039238565837344,-0.039046101332858796,0.5535584915230942,-0.7437167239383182,-0.05245920532433173,-0.03218381832110084,19,,-0.8252151678284873,False
2023-12,production_governed_vol_position_pattern_guard,-0.029039238565837344,-0.039046101332858796,0.5535584915230942,-0.7437167239383182,-0.05245920532433173,-0.03218381832110084,19,,-0.8252151678284873,False
2023-12,production_governed_adaptive,-0.04222831910722502,-0.05866389275733486,0.5081189090169284,-0.719834929500909,-0.08310715928467474,-0.04846828608075626,29,,-0.8451704078928087,False
2023-12,production_governed_adaptive_pattern_guard,-0.04222831910722502,-0.05866389275733486,0.5081189090169284,-0.719834929500909,-0.08310715928467474,-0.04846828608075626,29,,-0.8451704078928087,False
2023-12,baseline_full_liquidity_detail_vol_position_pattern_rerank,-0.034833987048801585,-0.044269663558198946,0.6577330903903318,-0.7868590869909643,-0.05296067288955973,-0.03483398704880136,19,,-0.8746537469293256,False
2023-12,baseline_full_liquidity_detail_vol_position_pattern_risk_penalty,-0.034833987048801585,-0.044269663558198946,0.6577330903903318,-0.7868590869909643,-0.05296067288955973,-0.03483398704880136,19,,-0.8746537469293256,False
2023-12,adaptive_market_style,-0.028521238958843287,-0.03719645074633393,0.2827485093869314,-0.7667731298705786,-0.10087140342732266,-0.032373968572447676,23,,-0.8961657722567445,False
2023-12,baseline_full_liquidity,-0.05901494556053244,-0.07824887212060216,0.6005689663044884,-0.7541954786207632,-0.0982650600873903,-0.06826539025770129,23,,-0.911475484268686,False
2023-12,baseline_full_liquidity_detail,-0.04339259394222417,-0.04576152672032874,0.6601490890008426,-0.9482330912475389,-0.06573150620854494,-0.04339259394222461,19,,-1.057357191398308,False
2023-12,tiered_liquidity_then_bs_v2,-0.135780383812257,-0.14026050587676464,0.6771845648530438,-0.9680585633389632,-0.20050720417959136,-0.1388973532980471,20,,-1.3043461513308117,False
2024-01,baseline_full_liquidity_detail,-0.04153081301095196,-0.0626697349966544,0.6959801720561181,-0.6626932922752755,-0.05967240832200499,-0.035568904335053886,22,,-0.7638965136082325,False
2024-01,baseline_full_liquidity_detail_vol_position_pattern_rerank,-0.046941044714153946,-0.06474070957639877,0.6942912282182415,-0.7250622525037369,-0.06761002127971381,-0.040825351867616044,22,,-0.8396133184976047,False
2024-01,baseline_full_liquidity_detail_vol_position_pattern_risk_penalty,-0.046941044714153946,-0.06474070957639877,0.6942912282182415,-0.7250622525037369,-0.06761002127971381,-0.040825351867616044,22,,-0.8396133184976047,False
2024-01,production_governed_vol_position,-0.028435199114960286,-0.03656007508858261,0.4390906845436708,-0.7777664308966462,-0.06475928576009723,-0.02468535371125502,20,,-0.8709609157717038,False
2024-01,production_governed_vol_position_pattern_guard,-0.028435199114960286,-0.03656007508858261,0.4390906845436708,-0.7777664308966462,-0.06475928576009723,-0.02468535371125502,20,,-0.8709609157717038,False
2024-01,adaptive_market_style,-0.016437579423978166,-0.02011928259516993,0.31201235544493966,-0.8170062399702246,-0.05268246316892691,-0.01691025286285519,20,,-0.8861262825631296,True
2024-01,baseline_full_liquidity_detail_vol_position,-0.05778114927076572,-0.07467466356215913,0.6944323123616276,-0.7737718057834803,-0.08320630858069292,-0.05153633809833835,22,,-0.9147592636349389,False
2024-01,production_governed_adaptive,-0.030942293239999308,-0.034759227893719324,0.4154055921599012,-0.890189314176058,-0.07448694438395706,-0.03172420930276221,18,,-0.9956185518000144,False
2024-01,production_governed_adaptive_pattern_guard,-0.030942293239999308,-0.034759227893719324,0.4154055921599012,-0.890189314176058,-0.07448694438395706,-0.03172420930276221,18,,-0.9956185518000144,False
2024-01,tiered_liquidity_then_bs_v2,-0.06226904441797565,-0.0693322895618832,0.6817253294289339,-0.8981247382923482,-0.09134037086481302,-0.06933228956188298,20,,-1.0517341535751368,False
2024-01,baseline_full_liquidity,-0.11405001196547437,-0.11405001196547437,0.532781335397419,-1.0,-0.21406532922254257,-0.10746522015575566,20,,-1.3281153411880169,False
2024-02,baseline_full_liquidity,0.11288605322291434,-0.020903408073458807,0.5270452339731058,5.40036595115064,0.2141866503031023,0.11288605322291434,11,,5.727438654676657,True
2024-02,tiered_liquidity_then_bs_v2,0.07692746369153403,-0.030808048404950328,0.6924002088243497,2.496992431340542,0.11110260036193784,0.0769274636915338,10,,2.685022495394014,False
2024-02,baseline_full_liquidity_detail,0.058165988721395,-0.0280522552541137,0.7003595321667598,2.0734870759763706,0.08305161285010586,0.05816598872139478,10,,2.2147046775478714,False
2024-02,baseline_full_liquidity_detail_vol_position_pattern_rerank,0.05741898966735892,-0.028507331487821364,0.7009375040080089,2.014183252890188,0.08191741680111735,0.05741898966735892,10,,2.1535196593586643,False
2024-02,baseline_full_liquidity_detail_vol_position_pattern_risk_penalty,0.05741898966735892,-0.028507331487821364,0.7009375040080089,2.014183252890188,0.08191741680111735,0.05741898966735892,10,,2.1535196593586643,False
2024-02,baseline_full_liquidity_detail_vol_position,0.05601469688073424,-0.03180083970146852,0.7006621974681955,1.7614219437780303,0.07994536751538799,0.056014696880734016,10,,1.8973820081741526,False
2024-02,production_governed_vol_position,0.02885789110290715,-0.016845629110087912,0.4406714623393437,1.7130788594666235,0.06548618090609377,0.02885789110290715,10,,1.8074229314756245,False
2024-02,production_governed_vol_position_pattern_guard,0.02885789110290715,-0.016845629110087912,0.4406714623393437,1.7130788594666235,0.06548618090609377,0.02885789110290715,10,,1.8074229314756245,False
2024-02,production_governed_adaptive,0.014350903869331466,-0.020938481898142403,0.39253445597161907,0.6853841620010013,0.03655960298774144,0.014350903869331688,17,,0.7362946688580742,False
2024-02,production_governed_adaptive_pattern_guard,0.014350903869331466,-0.020938481898142403,0.39253445597161907,0.6853841620010013,0.03655960298774144,0.014350903869331688,17,,0.7362946688580742,False
2024-02,adaptive_market_style,0.01062839112242231,-0.015549925427456479,0.2906150686776915,0.6835010992178635,0.03657205791420883,0.010628391122422753,17,,0.7307015482544946,False
2024-03,production_governed_vol_position,0.06259014322043344,-0.023542627866982135,0.6405604646572454,2.658587799716884,0.09771153025175307,0.04439392384258123,20,,2.8188894731890706,True
2024-03,production_governed_vol_position_pattern_guard,0.06259014322043344,-0.023542627866982135,0.6405604646572454,2.658587799716884,0.09771153025175307,0.04439392384258123,20,,2.8188894731890706,False
2024-03,baseline_full_liquidity_detail_vol_position_pattern_rerank,0.026878663516951118,-0.05496595435520912,0.6962748860911597,0.4890056732800788,0.03860352291010541,0.022561862077527417,20,,0.5544878597071353,False
2024-03,baseline_full_liquidity_detail_vol_position_pattern_risk_penalty,0.026878663516951118,-0.05496595435520912,0.6962748860911597,0.4890056732800788,0.03860352291010541,0.022561862077527417,20,,0.5544878597071353,False
2024-03,baseline_full_liquidity_detail,0.027230741680000614,-0.05671106840500062,0.6947769728319818,0.480166261117371,0.039193500568974436,0.02382495315389699,20,,0.5465905033663461,False
2024-03,adaptive_market_style,0.03762624278956106,-0.0916128607229243,0.501474469896999,0.4107091787402928,0.0750312230197668,0.037626242789560616,21,,0.5233666445496206,False
2024-03,baseline_full_liquidity_detail_vol_position,0.02217650524092929,-0.04865125539109738,0.693550213146295,0.4558259609676451,0.031975341973186674,0.01452273730688769,20,,0.5099778081817611,False
2024-03,tiered_liquidity_then_bs_v2,0.011799390579694702,-0.08943440403663505,0.6799187306006644,0.13193346237160938,0.01735411902724124,0.005286050655197272,20,,0.16108697197854532,False
2024-03,production_governed_adaptive,0.01132414690535044,-0.11780790979175004,0.6601615839705873,0.09612382500774543,0.01715359872539171,0.01132414690535044,23,,0.12460157063848758,False
2024-03,production_governed_adaptive_pattern_guard,0.01132414690535044,-0.11780790979175004,0.6601615839705873,0.09612382500774543,0.01715359872539171,0.01132414690535044,23,,0.12460157063848758,False
2024-03,baseline_full_liquidity,-0.06448005688858727,-0.08772195883066569,0.6124128725600082,-0.7350503539604777,-0.1052885394440645,-0.06448005688858738,17,,-0.9048189502931294,False
2024-04,tiered_liquidity_then_bs_v2,0.004151983578263074,-0.050881263488185224,0.6961624356851049,0.08160142444629302,0.005964101717405994,0.004151983578263074,20,,0.09171750974196209,True
2024-04,baseline_full_liquidity_detail_vol_position,0.0009283127147785564,-0.02244668869875044,0.696491038861102,0.041356332207263764,0.001332842295137821,0.0009283127147790005,21,,0.04361748721718014,False
2024-04,baseline_full_liquidity,-0.010121158373822436,-0.048959343923137166,0.6232832607614956,-0.20672577618098734,-0.01623845691196154,-0.010121158373822547,26,,-0.23308539146677132,False
2024-04,production_governed_adaptive,-0.008011746926985586,-0.02266711288716028,0.6973249341345393,-0.35345246511406475,-0.011489259217339027,-0.008011746926985697,20,,-0.37295347125838935,False
2024-04,production_governed_adaptive_pattern_guard,-0.008011746926985586,-0.02266711288716028,0.6973249341345393,-0.35345246511406475,-0.011489259217339027,-0.008011746926985697,20,,-0.37295347125838935,False
2024-04,production_governed_vol_position,-0.007214065997246721,-0.014454068130905995,0.6900985312584009,-0.4991028084212121,-0.010453675338348869,-0.0072140659972472765,20,,-0.5167705497568077,False
2024-04,production_governed_vol_position_pattern_guard,-0.007214065997246721,-0.014454068130905995,0.6900985312584009,-0.4991028084212121,-0.010453675338348869,-0.0072140659972472765,20,,-0.5167705497568077,False
2024-04,baseline_full_liquidity_detail_vol_position_pattern_rerank,-0.03754752799350136,-0.047900536307764585,0.6953478006979648,-0.7838644593090909,-0.05399819767289481,-0.037547527993501584,21,,-0.8754101849754871,False
2024-04,baseline_full_liquidity_detail_vol_position_pattern_risk_penalty,-0.03754752799350136,-0.047900536307764585,0.6953478006979648,-0.7838644593090909,-0.05399819767289481,-0.037547527993501584,21,,-0.8754101849754871,False
2024-04,baseline_full_liquidity_detail,-0.04652337427615061,-0.05656393249423419,0.6936008944758258,-0.822491864067141,-0.06707513592713812,-0.04652337427615061,21,,-0.9360903742704297,False
2024-04,adaptive_market_style,-0.03118897259590747,-0.03118897259590747,0.40114642028175423,-1.0,-0.07774959720194236,-0.03118897259590714,20,,-1.10893856979785,False
2024-05,adaptive_market_style,-0.014742108026707279,-0.02864211082714241,0.3695202495177235,-0.5147004742659214,-0.0398952643216382,-0.01474210802670739,15,,-0.5693378466142668,True
2024-05,production_governed_vol_position,-0.029074149604069732,-0.04674017655765228,0.6959593976815834,-0.62203765037575,-0.0417756405056431,-0.029074149604070176,20,,-0.6928874404854628,False
2024-05,production_governed_vol_position_pattern_guard,-0.029074149604069732,-0.04674017655765228,0.6959593976815834,-0.62203765037575,-0.0417756405056431,-0.029074149604070176,20,,-0.6928874404854628,False
2024-05,tiered_liquidity_then_bs_v2,-0.0686590861147548,-0.11853725555998562,0.692113083129011,-0.5792194680938092,-0.09920212142840917,-0.06865908611475469,21,,-0.7470806756369731,False
2024-05,baseline_full_liquidity,-0.04264749139881474,-0.05811772860007214,0.5351222927567592,-0.7338120815472098,-0.07969671975187219,-0.04264749139881463,31,,-0.8561562926978967,False
2024-05,production_governed_adaptive,-0.06648808780486881,-0.07133126168702797,0.6542885734830974,-0.9321030671880024,-0.10161890410361328,-0.06648808780486848,16,,-1.1002100590964845,False
2024-05,production_governed_adaptive_pattern_guard,-0.06648808780486881,-0.07133126168702797,0.6542885734830974,-0.9321030671880024,-0.10161890410361328,-0.06648808780486848,16,,-1.1002100590964845,False
2024-05,baseline_full_liquidity_detail,-0.0818458067956983,-0.08511734824715689,0.6943873489970636,-0.9615643400689723,-0.11786765256295649,-0.08184580679569842,20,,-1.1612777994276269,False
