trade_date,ts_code,stock_name,side,price,current_shares,target_shares,delta_shares,allocated_shares,current_weight,target_weight,delta_weight,note
2026-05-18,000791,000791,SELL,9.44,47000,0,-47000,47000,0.53177806626903,0.0,-0.53177806626903,trusted_strategy:baseline_full_dynamic_factor_industry_cap2; hold_gate=10d
2026-05-18,600507,600507,SELL,4.93,16700,0,-16700,16700,0.0986788225162178,0.0,-0.0986788225162178,trusted_strategy:baseline_full_dynamic_factor_industry_cap2; hold_gate=10d
2026-05-18,600522,600522,SELL,43.95,7600,0,-7600,7600,0.4003437380435932,0.0,-0.4003437380435932,trusted_strategy:baseline_full_dynamic_factor_industry_cap2; hold_gate=10d
2026-05-18,002484,江海股份,BUY,53.35,0,3100,3100,3100,0.0,0.2,0.2,trusted_strategy:baseline_full_dynamic_factor_industry_cap2; hold_gate=10d
2026-05-18,300433,蓝思科技,BUY,38.7,0,4300,4300,4300,0.0,0.2,0.2,trusted_strategy:baseline_full_dynamic_factor_industry_cap2; hold_gate=10d
2026-05-18,300666,江丰电子,BUY,201.26,0,800,800,800,0.0,0.2,0.2,trusted_strategy:baseline_full_dynamic_factor_industry_cap2; hold_gate=10d
2026-05-18,603986,兆易创新,BUY,400.0,0,400,400,400,0.0,0.2,0.2,trusted_strategy:baseline_full_dynamic_factor_industry_cap2; hold_gate=10d
2026-05-18,688017,绿的谐波,BUY,322.88,0,500,500,500,0.0,0.2,0.2,trusted_strategy:baseline_full_dynamic_factor_industry_cap2; hold_gate=10d
