signal_date,execution_date,strategy,rank,symbol,name,industry,rank_score,raw_effective_weight,adjusted_target_weight,planned_shares,planned_price,plan_reject_reason,execution_tradable,locked,buffer_kept,band_reweight,skipped_by_position_cap,pattern_score,pattern_sentiment,pattern_risk_level,pattern_pass_count,bullish_pattern_count,bearish_pattern_count,top_pattern_ids,base_rank_score,pattern_adjustment_pct,pattern_adjusted_rank_score,pattern_strategy_mode,pattern_weight_multiplier,large_slippage_proxy,limit_up_buy_ratio,unfilled_ratio_proxy,limit_down_sell_ratio,open_gap_proxy,estimated_turnover_impact,cash_residual_ratio,intentional_cash_ratio,planned_cash_buffer_ratio,unexpected_cash_residual_ratio,planned_vs_filled_notional_gap,planned_vs_filled_share_gap,buy_order_shortfall_ratio,t1_not_tradable_reject_count,limit_block_reject_count
2025-01-27,2025-02-05,vls_mom_contrarian_v1_frozen,1,920204,,塑料,0.4992519169627828,0.1,0.1,2600,18.700000000000003,,1,0,0,0,0,,,,,,,,,,,,,0.0005882352941177782,0.0,0.0,0.0,0.0005882352941177782,0.003124452634954014,0.10639014238695534,0.0,0.0,0.10639014238695534,45217.29300000006,0,0.09194797612869758,0,0
2025-01-27,2025-02-05,vls_mom_contrarian_v1_frozen,2,600500,,塑料,0.4990648962034786,0.1,0.1,12100,4.12,,1,0,0,0,0,,,,,,,,,,,,,0.008000000000000007,0.0,0.0,0.0,0.008000000000000007,0.0008271239210623368,0.10639014238695534,0.0,0.0,0.10639014238695534,45217.29300000006,0,0.09194797612869758,0,0
2025-01-27,2025-02-05,vls_mom_contrarian_v1_frozen,3,605378,,电气设备,0.49850383392556574,0.1,0.1,2200,22.12,,1,0,0,0,0,,,,,,,,,,,,,0.0009945300845350946,0.0,0.0,0.0,0.0009945300845350946,0.00041045645368152433,0.10639014238695534,0.0,0.0,0.10639014238695534,45217.29300000006,0,0.09194797612869758,0,0
2025-01-27,2025-02-05,vls_mom_contrarian_v1_frozen,4,002895,,化工原料,0.4983168131662614,0.1,0.1,2000,24.64,,1,0,0,0,0,,,,,,,,,,,,,0.009375000000000133,0.0,0.0,0.0,0.009375000000000133,0.00031365276408317535,0.10639014238695534,0.0,0.0,0.10639014238695534,45217.29300000006,0,0.09194797612869758,0,0
2025-01-27,2025-02-05,vls_mom_contrarian_v1_frozen,5,000786,,其他建材,0.4981297924069572,0.1,0.1,1400,34.408,,1,0,0,0,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.00011004535026107841,0.10639014238695534,0.0,0.0,0.10639014238695534,45217.29300000006,0,0.09194797612869758,0,0
2025-01-27,2025-02-05,vls_mom_contrarian_v1_frozen,6,603698,,专用机械,0.49756873012904435,0.1,0.1,2800,17.655,,1,0,0,0,0,,,,,,,,,,,,,0.0037383177570093906,0.0,0.0,0.0,-0.0037383177570093906,0.0010100623012487785,0.10639014238695534,0.0,0.0,0.10639014238695534,45217.29300000006,0,0.09194797612869758,0,0
2025-01-27,2025-02-05,vls_mom_contrarian_v1_frozen,7,601886,,装修装饰,0.4970076678511315,0.1,0.1,8500,5.84,,1,0,0,0,0,,,,,,,,,,,,,0.009416195856873921,0.0,0.0,0.0,0.009416195856873921,0.0012596927689956757,0.10639014238695534,0.0,0.0,0.10639014238695534,45217.29300000006,0,0.09194797612869758,0,0
2025-01-27,2025-02-05,vls_mom_contrarian_v1_frozen,8,600062,,化学制药,0.49663362633252295,0.1,0.1,2300,21.285000000000004,,1,0,0,0,0,,,,,,,,,,,,,0.007235142118863003,0.0,0.0,0.0,0.007235142118863003,0.00030425733968956125,0.10639014238695534,0.0,0.0,0.10639014238695534,45217.29300000006,0,0.09194797612869758,0,0
2025-01-27,2025-02-05,vls_mom_contrarian_v1_frozen,9,603815,,建筑工程,0.4964466055732186,0.1,0.1,7100,6.98,,1,0,0,0,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0017825573766003266,0.10639014238695534,0.0,0.0,0.10639014238695534,45217.29300000006,0,0.09194797612869758,0,0
2025-01-27,2025-02-05,vls_mom_contrarian_v1_frozen,10,600255,,小金属,0.4962595848139143,0.1,0.1,11300,4.389,,1,0,0,0,0,,,,,,,,,,,,,0.05513784461152882,0.0,0.0,0.0,-0.05513784461152882,3.087821898701488e-05,0.10639014238695534,0.0,0.0,0.10639014238695534,45217.29300000006,0,0.09194797612869758,0,0
