strategy,symbol,name,industry,entry_date,exit_date,shares,entry_price,exit_price,gross_pnl,cost,net_pnl,net_return,exit_reason,holding_calendar_days,exit_month,exit_year
production_governed_vol_position_v1_2b_dynamic_score,002142,宁波银行,银行,2023-11-30,2023-12-14,4700,24.7909,22.1056,-12620.910000000007,165.3101625,-12786.220162500007,-0.10973673303510569,rebalance_unlocked,14,2023-12,2023
production_governed_vol_position_v1_2b_dynamic_score,002594,比亚迪,汽车整车,2023-11-30,2023-12-14,100,619.5316,593.1031,-2642.8499999999985,90.9476025,-2733.7976024999984,-0.044126846838805286,rebalance_unlocked,14,2023-12,2023
production_governed_vol_position_v1_2b_dynamic_score,300351,永贵电器,运输设备,2023-11-30,2023-12-14,900,23.2305,20.6853,-2290.679999999998,29.643165000000003,-2320.323164999998,-0.11098068702782969,rebalance_unlocked,14,2023-12,2023
production_governed_vol_position_v1_2b_dynamic_score,688041,海光信息,半导体,2023-11-30,2023-12-14,500,72.0413,78.4035,3181.0999999999935,56.4168,3124.6831999999936,0.08674699651449914,rebalance_unlocked,14,2023-12,2023
production_governed_vol_position_v1_2b_dynamic_score,688271,联影医疗,医疗保健,2023-11-30,2023-12-14,600,138.8526,141.6259,1663.9800000000037,126.215325,1537.7646750000035,0.018457998805928057,rebalance_unlocked,14,2023-12,2023
production_governed_vol_position_v1_2b_dynamic_score,000568,泸州老窖,白酒,2023-12-14,2023-12-28,200,195.3347,189.7854,-1109.8599999999976,57.76801499999999,-1167.6280149999975,-0.029887880008006705,rebalance_unlocked,14,2023-12,2023
production_governed_vol_position_v1_2b_dynamic_score,002558,巨人网络,互联网,2023-12-14,2023-12-28,2200,14.9523,11.1961,-8263.64,43.144859999999994,-8306.78486,-0.2525237789503956,rebalance_unlocked,14,2023-12,2023
production_governed_vol_position_v1_2b_dynamic_score,601398,工商银行,银行,2023-12-14,2023-12-28,21000,5.348,5.3927,938.6999999999946,169.16602500000002,769.5339749999946,0.006851996073298381,rebalance_unlocked,14,2023-12,2023
production_governed_vol_position_v1_2b_dynamic_score,600938,中国海油,石油开采,2023-12-14,2023-12-29,3000,21.2841,22.4331,3447.0000000000027,98.36369999999998,3348.636300000003,0.052443471887465336,rebalance_unlocked,15,2023-12,2023
production_governed_vol_position_v1_2b_dynamic_score,600938,中国海油,石油开采,2023-12-28,2023-12-29,800,22.4879,22.4331,-43.840000000000146,26.9526,-70.79260000000015,-0.003935038398427607,rebalance_unlocked,1,2023-12,2023
