industry,closed_trades,wins,net_pnl,avg_net_return,win_rate
元器件,35,17,83882.49813000005,0.018168195088332124,0.4857142857142857
半导体,29,16,66598.05743500001,0.05717437701537949,0.5517241379310345
通信设备,30,16,59157.30120500002,0.015512536383573288,0.5333333333333333
软件服务,24,9,45816.02955249998,0.033487492133360254,0.375
航空,2,2,27431.675,0.780931603773585,1.0
玻璃,3,3,22347.504749999986,0.13548093329775845,1.0
广告包装,2,2,20564.78520750001,0.18577306533341204,1.0
铜,5,4,18544.239052500005,0.06074442950903589,0.8
水运,3,2,12729.82006999999,0.07113243647408325,0.6666666666666666
化学制药,4,2,12317.83769750001,0.04960210771124825,0.5
家用电器,5,3,10318.924965000004,0.06413272883690375,0.6
生物制药,2,2,9675.64,0.0857547365855203,1.0
机械基件,3,2,9025.152607499998,0.10714118321630585,0.6666666666666666
医疗保健,5,3,6885.549932500007,0.03788317826808417,0.6
铝,2,2,4955.036355000005,0.056667360217569476,1.0
中成药,2,2,3867.5500024999956,0.05547024338190666,1.0
文教休闲,1,1,3183.0042500000072,0.049976515151515265,1.0
空运,1,1,2963.402084999999,0.08148265903185446,1.0
环境保护,1,1,2077.3664999999964,0.03147524999999995,1.0
水力发电,3,2,1774.003712499987,0.009412560864931606,0.6666666666666666
保险,1,1,1654.131700000003,0.045722841578268926,1.0
出版业,1,1,1416.3239999999996,0.030108928571428564,1.0
食品,1,1,1293.488415000008,0.022124800644096738,1.0
石油开采,4,2,1111.517322499998,0.01443001346689813,0.5
新型电力,3,2,933.0357900000167,-0.0067997986011795976,0.6666666666666666
公共交通,1,1,530.645489999996,0.016048070223189864,1.0
电气设备,11,6,527.3048349999881,0.04943052281888977,0.5454545454545454
煤炭开采,1,1,524.1551874999938,0.005426312385410789,1.0
证券,3,2,307.8846274999938,-0.002677866569619621,0.6666666666666666
普钢,1,1,239.53856250000257,0.004228749321434764,1.0
船舶,2,1,-86.82024999999936,0.0014859680302289346,0.5
火力发电,2,1,-811.4618099999758,-0.0028941220648029294,0.5
汽车配件,7,4,-1102.2059400000053,0.015270200803018302,0.5714285714285714
商品城,1,0,-1227.8962499999986,-0.04206564748201434,0.0
农药化肥,1,0,-2310.108,-0.1747698592827962,0.0
互联网,9,5,-2397.442947499993,-0.009989662872889177,0.5555555555555556
影视音像,1,0,-2492.347065000001,-0.15014717826470422,0.0
乳制品,2,0,-2501.1465000000053,-0.014821618110146149,0.0
白酒,3,0,-2535.684879999997,-0.04022567149168559,0.0
建筑工程,2,1,-2589.041799999993,-0.013746158526261572,0.5
石油加工,2,1,-2989.9803299999985,-0.014935893575670718,0.5
电信运营,3,1,-3988.5107274999964,-0.04127560684323375,0.3333333333333333
专用机械,5,2,-4749.862574999999,-0.04700898724927058,0.4
铅锌,3,1,-5211.625645000001,-0.058823949080849015,0.3333333333333333
铁路,2,0,-5415.169405000003,-0.03690036362219267,0.0
运输设备,2,0,-5585.957414999998,-0.1215829209273939,0.0
化工原料,4,2,-8050.835264999985,0.00799120726613331,0.5
全国地产,2,0,-8496.832999999999,-0.07149869436439321,0.0
综合类,1,0,-12399.476249999992,-0.15036958828522912,0.0
小金属,15,9,-14355.797060000032,-0.023202874212769068,0.6
汽车整车,12,4,-16242.289297499969,0.007766498953439412,0.3333333333333333
IT设备,8,3,-18254.380220000014,-0.04993972257182437,0.375
银行,20,11,-27513.673489999994,-0.016537339750077176,0.55
黄金,8,1,-47466.17193,-0.0846533256115754,0.125
