rank,signal_date,strategy,symbol,name,industry,industry_key,sort_col,rank_score,position_weight,market_exposure_scale,effective_weight,latest_close,score,dynamic_factor_score,dynamic_ic_factor_score,liquidity_detail_score,s_liquidity,s_breakout,s_rs,s_relative_amount,s_amount_ratio_5_20,s_low_impact_cost,s_amount_stability,bs_score_v2,is_bs_candidate,pool_type,bs_gate_label,market_amount_ratio_20,market_liquidity_bucket,index_bucket,vol_20,hist_mdd_20,target_position_ratio
1,2026-06-18,tiered_liquidity_then_bs_v2,002741,光华科技,化工原料,化工原料,bs_score_v2,74.66,0.2,0.5,0.1,41.3,80.76,,,81.7799108008532,27.75,98.74,99.13,98.70079503587357,69.26507659491953,96.37386077176653,1.9391118867558659,74.66,0,,可买,1.1059692088458823,normal_liquidity,index_neutral,0.06128971007735632,0.0,0.5
2,2026-06-18,tiered_liquidity_then_bs_v2,300373,扬杰科技,半导体,半导体,bs_score_v2,74.11,0.2,0.5,0.1,123.13,78.47,,,88.30699243746363,29.16,98.49,98.39,84.7585805700989,66.5115377157262,93.87240643785147,84.17684700407213,74.11,0,,可买,1.1059692088458823,normal_liquidity,index_neutral,0.06904050731811187,0.0,0.5
3,2026-06-18,tiered_liquidity_then_bs_v2,300260,新莱应材,机械基件,机械基件,bs_score_v2,73.73,0.2,0.5,0.1,82.97,78.96,,,82.2754469652899,28.23,96.24,95.15,84.58406050029087,76.51735505138646,90.73104518130695,26.3137483032771,73.73,0,,可买,1.1059692088458823,normal_liquidity,index_neutral,0.06948920439508904,0.0,0.5
4,2026-06-18,tiered_liquidity_then_bs_v2,002600,领益智造,元器件,元器件,bs_score_v2,73.26,0.2,0.5,0.1,16.82,60.59,,,87.48506496024821,29.23,96.26,86.35,93.58153965483808,70.7775838665891,96.89742098119062,46.44172968780298,73.26,1,TRADE,可买,1.1059692088458823,normal_liquidity,index_neutral,0.0417392083929448,0.0,0.5
5,2026-06-18,tiered_liquidity_then_bs_v2,002436,兴森科技,元器件,元器件,bs_score_v2,72.49,0.2,0.5,0.1,52.06,79.86,,,89.52269148729881,29.77,99.53,98.24,90.51774287376382,81.7529571456273,97.61489237929028,48.206321504750825,72.49,0,,可买,1.1059692088458823,normal_liquidity,index_neutral,0.05307682708508249,0.0,0.5
