rank,signal_date,strategy,symbol,name,industry,industry_key,sort_col,rank_score,position_weight,market_exposure_scale,effective_weight,latest_close,score,dynamic_factor_score,dynamic_ic_factor_score,liquidity_detail_score,s_liquidity,s_breakout,s_rs,s_relative_amount,s_amount_ratio_5_20,s_low_impact_cost,s_amount_stability,bs_score_v2,is_bs_candidate,pool_type,bs_gate_label,market_amount_ratio_20,market_liquidity_bucket,index_bucket,vol_20,hist_mdd_20
1,2026-06-04,baseline_full_liquidity_detail_vol_position,002463,沪电股份,元器件,元器件,liquidity_detail_score,95.95123588254275,0.03250432671001575,1.0,0.03250432671001575,140.82,74.26,,,95.95123588254275,29.84,98.41,96.3,93.78509196515004,90.3000968054211,99.0513068731849,90.04840271055178,69.94,0,,可买,0.8843274632318328,normal_liquidity,index_neutral,0.04864394959446996,0.0
2,2026-06-04,baseline_full_liquidity_detail_vol_position,600183,生益科技,元器件,元器件,liquidity_detail_score,94.99211358502744,0.03517941627510962,1.0,0.03517941627510962,143.96,61.97,,,94.99211358502744,29.83,48.95,99.5,89.71926427879961,95.33397870280736,99.10939012584706,81.08422071636011,64.18,0,,可买,0.8843274632318328,normal_liquidity,index_neutral,0.044944999022138055,0.0
3,2026-06-04,baseline_full_liquidity_detail_vol_position,688630,芯碁微装,专用机械,专用机械,liquidity_detail_score,93.97703775411424,0.026201873108995657,1.0,0.026201873108995657,408.0,74.07,,,93.97703775411424,28.62,99.82,98.51,93.39787028073572,93.0106485963214,91.32623426911907,94.86931268151017,70.85,0,,可买,0.8843274632318328,normal_liquidity,index_neutral,0.060344496117010475,0.0
4,2026-06-04,baseline_full_liquidity_detail_vol_position,300620,光库科技,通信设备,通信设备,liquidity_detail_score,93.75945788964182,0.02634684125930613,1.0,0.02634684125930613,319.26,54.89,,,93.75945788964182,29.58,48.95,94.66,83.75605033881898,90.53242981606971,98.78025169409487,91.7134559535334,58.77,0,,可买,0.8843274632318328,normal_liquidity,index_neutral,0.0600124627663176,-0.05280958879724684
5,2026-06-04,baseline_full_liquidity_detail_vol_position,300750,宁德时代,电气设备,电气设备,liquidity_detail_score,93.73650855114553,0.0776967735841647,1.0,0.0776967735841647,408.2,38.57,,,93.73650855114553,29.92,48.95,56.71,87.02807357212004,84.45304937076476,99.78702807357212,88.01548886737656,49.12,0,,可买,0.8843274632318328,normal_liquidity,index_neutral,0.020350122111202306,-0.08497904104368881
