amount_threshold,vol_threshold,industry_concentration_threshold,periods,total_return,avg_cycle_return,max_drawdown,annualized_volatility,win_rate,avg_gross_exposure
1.2,0.06,0.4,813,3.708945105652383,0.0036153629032074273,-0.9916634738680897,0.2989576723914185,0.46248462484624847,0.6456334563345634
1.2,0.05,0.4,813,3.6918309778473697,0.0036099890009638528,-0.9916937720283932,0.2988799044470675,0.46248462484624847,0.6451414514145142
1.2,0.04,0.4,813,3.662448511476658,0.0035918860120620873,-0.9917457895595437,0.2979546295805449,0.46248462484624847,0.6435424354243543
1.0,0.04,0.4,813,5.646463362529795,0.004186622684906112,-0.9928422616376494,0.3125841925139907,0.4661746617466175,0.6712177121771218
1.0,0.05,0.4,813,5.360820141204508,0.0041365215126044136,-0.993149877783516,0.31290441500215954,0.4661746617466175,0.6722017220172202
1.0,0.06,0.4,813,5.360820141204508,0.0041365215126044136,-0.993149877783516,0.31290441500215954,0.4661746617466175,0.6722017220172202
1.2,0.05,0.6,813,0.43771029982233145,0.002554422698300773,-0.9953511668512608,0.332212924592657,0.45387453874538747,0.7571955719557196
1.2,0.06,0.6,813,0.3939798655382134,0.0025145006724487063,-0.9954925691160521,0.33205537801318835,0.45387453874538747,0.7581795817958181
0.8,0.04,0.4,813,3.8238534942710727,0.00390882174764047,-0.9955681097102738,0.3219805441891989,0.46002460024600245,0.6845018450184502
0.8,0.05,0.4,813,3.6165400741636207,0.003858720575338772,-0.9957585778359321,0.32229034251696176,0.46002460024600245,0.6854858548585485
0.8,0.06,0.4,813,3.6165400741636207,0.003858720575338772,-0.9957585778359321,0.32229034251696176,0.46002460024600245,0.6854858548585485
1.2,0.04,0.6,813,0.19144881844898354,0.00229212452575176,-0.9961474528193084,0.32966910474299466,0.45387453874538747,0.7539975399753998
1.0,0.05,0.6,813,0.8366523664150609,0.00297905827249768,-0.9970153473254586,0.34273428088549207,0.4575645756457565,0.7752767527675276
1.0,0.06,0.6,813,0.7696613560076504,0.0029304940058002675,-0.9971242110941493,0.3425127578499467,0.4575645756457565,0.7755227552275523
1.0,0.04,0.6,813,0.6802728219946235,0.0028496590056744167,-0.9972694719676787,0.3411759248765276,0.4575645756457565,0.7734317343173431
0.8,0.05,0.6,813,0.00633557155704878,0.0023363710638862386,-0.99845224952645,0.3499240420357971,0.45018450184501846,0.7832718327183271
0.8,0.06,0.6,813,0.00633557155704878,0.0023363710638862386,-0.99845224952645,0.3499240420357971,0.45018450184501846,0.7832718327183271
0.8,0.04,0.6,813,-0.051324600121471,0.0022467057313379246,-0.998540931235159,0.34860894056108843,0.45018450184501846,0.7817958179581797
