strategy,event_type,mark_price_basis,order_status,event_timestamp,symbol,side,planned_shares,planned_price,planned_notional,planned_fee,signal_date,execution_date,order_id,cost_rate,lot_size,filled_shares,filled_price,filled_notional,fee,reject_reason,remaining_shares,event_date,source_reason,cash_delta,share_delta,cancelled_shares,cancel_reason
vls_mom_contrarian_v1_frozen,order,raw,PLANNED,2024-01-02T15:00:00+08:00,000049,BUY,1700.0,29.348000000000003,49891.600000000006,37.41870000000001,2024-01-02,2024-01-03,2024-01-02:000049:BUY,0.00075,100.0,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,FILLED,2024-01-03T09:30:00+08:00,000049,BUY,1700.0,,,,2024-01-02,2024-01-03,2024-01-02:000049:BUY,,,1700.0,26.706679999999995,45401.35599999999,34.051016999999995,,0.0,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,PLANNED,2024-01-02T15:00:00+08:00,002123,BUY,4000.0,12.298,49192.0,36.894,2024-01-02,2024-01-03,2024-01-02:002123:BUY,0.00075,100.0,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,FILLED,2024-01-03T09:30:00+08:00,002123,BUY,4000.0,,,,2024-01-02,2024-01-03,2024-01-02:002123:BUY,,,4000.0,11.19118,44764.719999999994,33.573539999999994,,0.0,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,PLANNED,2024-01-02T15:00:00+08:00,600520,BUY,1800.0,27.22,48996.0,36.747,2024-01-02,2024-01-03,2024-01-02:600520:BUY,0.00075,100.0,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,FILLED,2024-01-03T09:30:00+08:00,600520,BUY,1800.0,,,,2024-01-02,2024-01-03,2024-01-02:600520:BUY,,,1800.0,24.624599999999997,44324.28,33.24321,,0.0,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,PLANNED,2024-01-02T15:00:00+08:00,600589,BUY,13500.0,3.6850000000000005,49747.50000000001,37.31062500000001,2024-01-02,2024-01-03,2024-01-02:600589:BUY,0.00075,100.0,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,FILLED,2024-01-03T09:30:00+08:00,600589,BUY,13500.0,,,,2024-01-02,2024-01-03,2024-01-02:600589:BUY,,,13500.0,3.5235199999999995,47567.52,35.67564,,0.0,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,PLANNED,2024-01-02T15:00:00+08:00,600986,BUY,8500.0,5.83,49555.0,37.16625,2024-01-02,2024-01-03,2024-01-02:600986:BUY,0.00075,100.0,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,FILLED,2024-01-03T09:30:00+08:00,600986,BUY,8500.0,,,,2024-01-02,2024-01-03,2024-01-02:600986:BUY,,,8500.0,5.285279999999999,44924.88,33.69366,,0.0,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,PLANNED,2024-01-02T15:00:00+08:00,603023,BUY,8600.0,5.75,49450.0,37.0875,2024-01-02,2024-01-03,2024-01-02:603023:BUY,0.00075,100.0,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,FILLED,2024-01-03T09:30:00+08:00,603023,BUY,8600.0,,,,2024-01-02,2024-01-03,2024-01-02:603023:BUY,,,8600.0,5.225219999999999,44936.89199999999,33.70266899999999,,0.0,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,PLANNED,2024-01-02T15:00:00+08:00,603363,BUY,7500.0,6.666,49995.0,37.49625,2024-01-02,2024-01-03,2024-01-02:603363:BUY,0.00075,100.0,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,FILLED,2024-01-03T09:30:00+08:00,603363,BUY,7500.0,,,,2024-01-02,2024-01-03,2024-01-02:603363:BUY,,,7500.0,6.066059999999999,45495.45,34.1215875,,0.0,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,PLANNED,2024-01-02T15:00:00+08:00,603613,BUY,2000.0,24.838,49676.0,37.257,2024-01-02,2024-01-03,2024-01-02:603613:BUY,0.00075,100.0,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,FILLED,2024-01-03T09:30:00+08:00,603613,BUY,2000.0,,,,2024-01-02,2024-01-03,2024-01-02:603613:BUY,,,2000.0,22.362339999999996,44724.67999999999,33.54351,,0.0,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,PLANNED,2024-01-02T15:00:00+08:00,603949,BUY,2400.0,20.47,49128.0,36.846000000000004,2024-01-02,2024-01-03,2024-01-02:603949:BUY,0.00075,100.0,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,FILLED,2024-01-03T09:30:00+08:00,603949,BUY,2400.0,,,,2024-01-02,2024-01-03,2024-01-02:603949:BUY,,,2400.0,18.5185,44444.4,33.3333,,0.0,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,PLANNED,2024-01-02T15:00:00+08:00,603985,BUY,1800.0,26.488,47678.4,35.7588,2024-01-02,2024-01-03,2024-01-02:603985:BUY,0.00075,100.0,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,FILLED,2024-01-03T09:30:00+08:00,603985,BUY,1800.0,,,,2024-01-02,2024-01-03,2024-01-02:603985:BUY,,,1800.0,23.98396,43171.128,32.378346,,0.0,,,,,,
vls_mom_contrarian_v1_frozen,corporate_action,raw,CORPORATE_ACTION_FREEZE,2024-01-08T09:25:00+08:00,,,,,,,,,,,,,,,,,,2024-01-08,unknown_corporate_action_type,0.0,0.0,,
vls_mom_contrarian_v1_frozen,corporate_action,raw,CORPORATE_ACTION_FREEZE,2024-01-08T09:25:00+08:00,,,,,,,,,,,,,,,,,,2024-01-08,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,0.0,0.0,,
vls_mom_contrarian_v1_frozen,corporate_action,raw,CORPORATE_ACTION_FREEZE,2024-01-10T09:25:00+08:00,,,,,,,,,,,,,,,,,,2024-01-10,unknown_corporate_action_type,0.0,0.0,,
vls_mom_contrarian_v1_frozen,corporate_action,raw,CORPORATE_ACTION_FREEZE,2024-01-10T09:25:00+08:00,,,,,,,,,,,,,,,,,,2024-01-10,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,0.0,0.0,,
vls_mom_contrarian_v1_frozen,corporate_action,raw,CORPORATE_ACTION_FREEZE,2024-01-19T09:25:00+08:00,,,,,,,,,,,,,,,,,,2024-01-19,unknown_corporate_action_type,0.0,0.0,,
vls_mom_contrarian_v1_frozen,corporate_action,raw,CORPORATE_ACTION_FREEZE,2024-01-19T09:25:00+08:00,,,,,,,,,,,,,,,,,,2024-01-19,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,0.0,0.0,,
vls_mom_contrarian_v1_frozen,corporate_action,raw,CORPORATE_ACTION_FREEZE,2024-01-23T09:25:00+08:00,,,,,,,,,,,,,,,,,,2024-01-23,unknown_corporate_action_type,0.0,0.0,,
vls_mom_contrarian_v1_frozen,corporate_action,raw,CORPORATE_ACTION_FREEZE,2024-01-23T09:25:00+08:00,,,,,,,,,,,,,,,,,,2024-01-23,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,0.0,0.0,,
vls_mom_contrarian_v1_frozen,corporate_action,raw,CORPORATE_ACTION_FREEZE,2024-01-24T09:25:00+08:00,,,,,,,,,,,,,,,,,,2024-01-24,unknown_corporate_action_type,0.0,0.0,,
