trade_date,ts_code,stock_name,side,price,current_shares,target_shares,delta_shares,allocated_shares,current_weight,target_weight,delta_weight,note
2026-06-01,000636,风华高科,BUY,55.05,0,1800,1800,1800,0.0,0.2,0.2,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5
2026-06-01,300433,蓝思科技,BUY,41.83,0,2300,2300,2300,0.0,0.2,0.2,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5
2026-06-01,600027,华电国际,BUY,5.92,0,16800,16800,16800,0.0,0.2,0.2,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5
2026-06-01,600795,国电电力,BUY,5.25,0,19000,19000,19000,0.0,0.2,0.2,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5
2026-06-01,600863,内蒙华电,BUY,7.92,0,12600,12600,12600,0.0,0.2,0.2,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5
