trade_date,ts_code,stock_name,side,price,current_shares,target_shares,delta_shares,allocated_shares,current_weight,target_weight,delta_weight,order_status,submitted_at,filled_shares,filled_price,status_reason,note
2026-07-02,600378,昊华科技,BUY,82.17,0,600,600,600,0.0,0.11088058898665305,0.11088058898665305,planned,,,,,trusted_strategy:production_governed_vol_position; hold_gate=10d; max_positions=5
2026-07-02,688012,中微公司,BUY,408.9,0,100,100,100,0.0,0.13672489976139843,0.13672489976139843,planned,,,,,trusted_strategy:production_governed_vol_position; hold_gate=10d; max_positions=5
2026-07-02,688037,芯源微,BUY,360.0,0,100,100,100,0.0,0.105406950916562,0.105406950916562,planned,,,,,trusted_strategy:production_governed_vol_position; hold_gate=10d; max_positions=5
2026-07-02,688361,中科飞测,BUY,356.0,0,100,100,100,0.0,0.1013119343496162,0.1013119343496162,planned,,,,,trusted_strategy:production_governed_vol_position; hold_gate=10d; max_positions=5
