strategy,strategy_display_name,trade_date,ts_code,stock_name,side,price,current_shares,target_shares,delta_shares,allocated_shares,current_weight,target_weight,delta_weight,note,base_strategy,hold_days,position_ratio
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2026-07-02,000970,中科三环,BUY,16.1,0,800,800,800,0.0,0.028610537421307404,0.028610537421307404,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5,tiered_liquidity_then_bs_v2,10,0.13999999999999999
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2026-07-02,002326,永太科技,BUY,28.0,0,400,400,400,0.0,0.02658538157603999,0.02658538157603999,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5,tiered_liquidity_then_bs_v2,10,0.13999999999999999
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2026-07-02,002955,鸿合科技,BUY,37.54,0,300,300,300,0.0,0.02906633222948531,0.02906633222948531,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5,tiered_liquidity_then_bs_v2,10,0.13999999999999999
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2026-07-02,600366,宁波韵升,BUY,16.63,0,800,800,800,0.0,0.028123306759568,0.028123306759568,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5,tiered_liquidity_then_bs_v2,10,0.13999999999999999
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2026-07-02,603078,江化微,BUY,56.9,0,200,200,200,0.0,0.02761444201359928,0.02761444201359928,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5,tiered_liquidity_then_bs_v2,10,0.13999999999999999
baseline_full_liquidity_detail,流动性质量防守策略,2026-07-02,600378,昊华科技,BUY,82.17,0,800,800,800,0.0,0.1472835203112778,0.1472835203112778,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail,流动性质量防守策略,2026-07-02,688012,中微公司,BUY,408.9,0,100,100,100,0.0,0.14404397877839106,0.14404397877839106,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail,流动性质量防守策略,2026-07-02,688037,芯源微,BUY,360.0,0,100,100,100,0.0,0.14333242484875205,0.14333242484875205,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail,流动性质量防守策略,2026-07-02,688120,华海清科,BUY,281.0,0,200,200,200,0.0,0.12713885337428157,0.12713885337428157,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail,流动性质量防守策略,2026-07-02,688361,中科飞测,BUY,356.0,0,100,100,100,0.0,0.13820122268729734,0.13820122268729734,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2026-07-02,600378,昊华科技,BUY,82.17,0,800,800,800,0.0,0.1472835203112778,0.1472835203112778,trusted_strategy:baseline_full_liquidity_detail_hold12_shadow; hold_gate=12d; max_positions=5,baseline_full_liquidity_detail,12,0.7
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2026-07-02,688012,中微公司,BUY,408.9,0,100,100,100,0.0,0.14404397877839106,0.14404397877839106,trusted_strategy:baseline_full_liquidity_detail_hold12_shadow; hold_gate=12d; max_positions=5,baseline_full_liquidity_detail,12,0.7
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2026-07-02,688037,芯源微,BUY,360.0,0,100,100,100,0.0,0.14333242484875205,0.14333242484875205,trusted_strategy:baseline_full_liquidity_detail_hold12_shadow; hold_gate=12d; max_positions=5,baseline_full_liquidity_detail,12,0.7
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2026-07-02,688120,华海清科,BUY,281.0,0,200,200,200,0.0,0.12713885337428157,0.12713885337428157,trusted_strategy:baseline_full_liquidity_detail_hold12_shadow; hold_gate=12d; max_positions=5,baseline_full_liquidity_detail,12,0.7
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2026-07-02,688361,中科飞测,BUY,356.0,0,100,100,100,0.0,0.13820122268729734,0.13820122268729734,trusted_strategy:baseline_full_liquidity_detail_hold12_shadow; hold_gate=12d; max_positions=5,baseline_full_liquidity_detail,12,0.7
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2026-07-02,600378,昊华科技,BUY,82.17,0,600,600,600,0.0,0.1052025145080556,0.1052025145080556,trusted_strategy:baseline_full_liquidity_detail_market_gate_pos50_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2026-07-02,688012,中微公司,BUY,408.9,0,100,100,100,0.0,0.10288855627027933,0.10288855627027933,trusted_strategy:baseline_full_liquidity_detail_market_gate_pos50_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2026-07-02,688037,芯源微,BUY,360.0,0,100,100,100,0.0,0.10238030346339433,0.10238030346339433,trusted_strategy:baseline_full_liquidity_detail_market_gate_pos50_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2026-07-02,688120,华海清科,BUY,281.0,0,100,100,100,0.0,0.09081346669591542,0.09081346669591542,trusted_strategy:baseline_full_liquidity_detail_market_gate_pos50_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_market_gate,10,0.5
