first_date,last_date,trading_days,initial_cash,final_equity,total_return,annualized_return,max_drawdown,daily_win_rate,best_day,worst_day,avg_gross_exposure,avg_position_count,trade_count,buy_count,sell_count,turnover,total_cost,strategy,sort_col,pool,top_n,hold_days,trade_cost_rate,slippage_rate,lot_size,min_trade_value
2026-01-06,2026-05-29,94,500000.0,935239.3923295508,0.8704787846591016,4.456376443140623,-0.20810155592509172,0.6382978723404256,0.10231140086592316,-0.05972964523087909,0.9834452947650122,14.053191489361701,261,137,124,18.65941451608205,13891.39142045,baseline_full_dynamic_factor_industry_cap2,dynamic_factor_score,full,5,10,0.001,0.001,100,500.0
2026-01-06,2026-05-29,94,500000.0,770275.6331346408,0.5405512662692815,2.225090011083506,-0.17670959551767584,0.5638297872340425,0.10453319318607779,-0.06710473515454962,0.9820005651248205,9.159574468085106,178,94,84,19.00649335450119,12167.27714536,baseline_full_liquidity_detail,liquidity_detail_score,full,5,10,0.001,0.001,100,500.0
