strategy,signal_date,entry_date,exit_date,selected,gross_ret,avg_score,avg_liquidity,bs_count,gross_exposure,pit_status,risk_note,market_gate,position_mode,weighted_gross_ret_calc,max_industry_count,max_industry_weight,cost_rate,net_ret
baseline_b_score_v2,2026-01-05,2026-01-06,2026-01-19,4,0.14670103275752788,72.495,22.8825,4,0.8,trusted,uses_signal_date_or_prior_data,0,equal,0.11736082620602233,2,0.5,0.0,0.14670103275752788
baseline_b_score_v2,2026-01-19,2026-01-20,2026-02-02,5,-0.003329495018432116,69.192,23.548,5,1.0,trusted,uses_signal_date_or_prior_data,0,equal,-0.0033294950184321118,2,0.4,0.0,-0.003329495018432116
baseline_b_score_v2,2026-02-02,2026-02-03,2026-02-24,5,0.037422133701813465,63.391999999999996,27.29,5,1.0,trusted,uses_signal_date_or_prior_data,0,equal,0.037422133701813465,3,0.6,0.0,0.037422133701813465
baseline_b_score_v2,2026-02-24,2026-02-25,2026-03-10,5,0.051317217346952625,75.816,27.534,5,1.0,trusted,uses_signal_date_or_prior_data,0,equal,0.051317217346952625,1,0.2,0.0,0.051317217346952625
baseline_b_score_v2,2026-03-10,2026-03-11,2026-03-24,5,-0.1086859105415022,72.79400000000001,24.652,5,1.0,trusted,uses_signal_date_or_prior_data,0,equal,-0.1086859105415022,3,0.6,0.0,-0.1086859105415022
baseline_b_score_v2,2026-03-25,2026-03-26,2026-04-09,5,-0.11912439800346467,67.91799999999999,27.577999999999996,5,1.0,trusted,uses_signal_date_or_prior_data,0,equal,-0.11912439800346467,1,0.2,0.0,-0.11912439800346467
baseline_b_score_v2,2026-04-13,2026-04-14,2026-04-27,5,0.08154557320024032,75.45,25.236,5,1.0,trusted,uses_signal_date_or_prior_data,0,equal,0.08154557320024032,2,0.4,0.0,0.08154557320024032
baseline_full_dynamic_factor,2026-01-05,2026-01-06,2026-01-19,5,0.13757412695072932,74.708,29.534000000000002,0,1.0,trusted,uses_signal_date_or_prior_data,0,equal,0.13757412695072935,1,0.2,0.0,0.13757412695072932
baseline_full_dynamic_factor,2026-01-19,2026-01-20,2026-02-02,5,-0.03350691732983187,76.822,28.486,0,1.0,trusted,uses_signal_date_or_prior_data,0,equal,-0.03350691732983187,1,0.2,0.0,-0.03350691732983187
baseline_full_dynamic_factor,2026-02-02,2026-02-03,2026-02-24,5,0.27620544373500905,75.228,26.366000000000003,0,1.0,trusted,uses_signal_date_or_prior_data,0,equal,0.27620544373500905,2,0.4,0.0,0.27620544373500905
