strategy,cost_rate,month,monthly_return
baseline_b_score_v2,0.0,2026-01,0.14288309738133087
baseline_b_score_v2,0.0,2026-02,0.09065975081752886
baseline_b_score_v2,0.0,2026-03,-0.21486316488025203
baseline_b_score_v2,0.0,2026-04,0.08154557320024036
baseline_b_score_v2,0.0015,2026-01,0.13996884122621656
baseline_b_score_v2,0.0015,2026-02,0.08752889179095558
baseline_b_score_v2,0.0015,2026-03,-0.21751919941743458
baseline_b_score_v2,0.0015,2026-04,0.0800455732002403
baseline_b_score_v2,0.002,2026-01,0.13899822250784521
baseline_b_score_v2,0.002,2026-02,0.08648627211543136
baseline_b_score_v2,0.002,2026-03,-0.2184035442631621
baseline_b_score_v2,0.002,2026-04,0.07954557320024036
baseline_full_dynamic_factor,0.0,2026-01,0.09945752472243563
baseline_full_dynamic_factor,0.0,2026-02,0.5509953604310007
baseline_full_dynamic_factor,0.0,2026-03,-0.04551142214895798
baseline_full_dynamic_factor,0.0,2026-04,0.015041933609532876
baseline_full_dynamic_factor,0.0015,2026-01,0.09630367390800432
baseline_full_dynamic_factor,0.0015,2026-02,0.5472603253676993
baseline_full_dynamic_factor,0.0015,2026-03,-0.04844054922979468
baseline_full_dynamic_factor,0.0015,2026-04,0.013541933609532819
baseline_full_dynamic_factor,0.002,2026-01,0.0952533903031938
baseline_full_dynamic_factor,0.002,2026-02,0.5460163136799321
baseline_full_dynamic_factor,0.002,2026-03,-0.04941592492340696
baseline_full_dynamic_factor,0.002,2026-04,0.013041933609532874
baseline_full_dynamic_factor_industry_cap2,0.0,2026-01,0.09945752472243563
baseline_full_dynamic_factor_industry_cap2,0.0,2026-02,0.5509953604310007
baseline_full_dynamic_factor_industry_cap2,0.0,2026-03,-0.04551142214895798
baseline_full_dynamic_factor_industry_cap2,0.0,2026-04,0.03008459138226449
baseline_full_dynamic_factor_industry_cap2,0.0015,2026-01,0.09630367390800432
baseline_full_dynamic_factor_industry_cap2,0.0015,2026-02,0.5472603253676993
baseline_full_dynamic_factor_industry_cap2,0.0015,2026-03,-0.04844054922979468
baseline_full_dynamic_factor_industry_cap2,0.0015,2026-04,0.028584591382264435
baseline_full_dynamic_factor_industry_cap2,0.002,2026-01,0.0952533903031938
baseline_full_dynamic_factor_industry_cap2,0.002,2026-02,0.5460163136799321
baseline_full_dynamic_factor_industry_cap2,0.002,2026-03,-0.04941592492340696
baseline_full_dynamic_factor_industry_cap2,0.002,2026-04,0.02808459138226449
baseline_full_dynamic_ic_factor,0.0,2026-01,0.09945752472243563
baseline_full_dynamic_ic_factor,0.0,2026-02,0.14878685612820397
baseline_full_dynamic_ic_factor,0.0,2026-03,-0.17350523758372638
baseline_full_dynamic_ic_factor,0.0,2026-04,0.24716121615028563
baseline_full_dynamic_ic_factor,0.0015,2026-01,0.09630367390800432
baseline_full_dynamic_ic_factor,0.0015,2026-02,0.14556788137619292
baseline_full_dynamic_ic_factor,0.0015,2026-03,-0.17623441866596012
baseline_full_dynamic_ic_factor,0.0015,2026-04,0.2456612161502858
baseline_full_dynamic_ic_factor,0.002,2026-01,0.0952533903031938
baseline_full_dynamic_ic_factor,0.002,2026-02,0.1444958897921893
baseline_full_dynamic_ic_factor,0.002,2026-03,-0.1771431456933713
baseline_full_dynamic_ic_factor,0.002,2026-04,0.24516121615028563
baseline_full_liq_breakout_adj,0.0,2026-01,0.300404720076475
baseline_full_liq_breakout_adj,0.0,2026-02,0.21289061595301084
baseline_full_liq_breakout_adj,0.0,2026-03,-0.24241350858421717
baseline_full_liq_breakout_adj,0.0,2026-04,0.03766239903649704
baseline_full_liq_breakout_adj,0.0015,2026-01,0.2969748199021145
baseline_full_liq_breakout_adj,0.0015,2026-02,0.20958815425237276
baseline_full_liq_breakout_adj,0.0015,2026-03,-0.245022453962778
baseline_full_liq_breakout_adj,0.0015,2026-04,0.036162399036496984
baseline_full_liq_breakout_adj,0.002,2026-01,0.29583251984399417
baseline_full_liq_breakout_adj,0.002,2026-02,0.2084883336854937
baseline_full_liq_breakout_adj,0.002,2026-03,-0.24589110242229828
baseline_full_liq_breakout_adj,0.002,2026-04,0.03566239903649704
baseline_full_liq_breakout_adj_40p_30d,0.0,2026-01,0.300404720076475
baseline_full_liq_breakout_adj_40p_30d,0.0,2026-02,0.21289061595301084
baseline_full_liq_breakout_adj_40p_30d,0.0,2026-03,-0.24241350858421717
baseline_full_liq_breakout_adj_40p_30d,0.0,2026-04,0.03766239903649704
baseline_full_liq_breakout_adj_40p_30d,0.0015,2026-01,0.2969748199021145
baseline_full_liq_breakout_adj_40p_30d,0.0015,2026-02,0.20958815425237276
baseline_full_liq_breakout_adj_40p_30d,0.0015,2026-03,-0.245022453962778
baseline_full_liq_breakout_adj_40p_30d,0.0015,2026-04,0.036162399036496984
baseline_full_liq_breakout_adj_40p_30d,0.002,2026-01,0.29583251984399417
baseline_full_liq_breakout_adj_40p_30d,0.002,2026-02,0.2084883336854937
baseline_full_liq_breakout_adj_40p_30d,0.002,2026-03,-0.24589110242229828
baseline_full_liq_breakout_adj_40p_30d,0.002,2026-04,0.03566239903649704
baseline_full_liq_breakout_adj_50p_50d,0.0,2026-01,0.300404720076475
baseline_full_liq_breakout_adj_50p_50d,0.0,2026-02,0.17791383200129496
baseline_full_liq_breakout_adj_50p_50d,0.0,2026-03,-0.21905086908628768
baseline_full_liq_breakout_adj_50p_50d,0.0,2026-04,0.027333890077541723
baseline_full_liq_breakout_adj_50p_50d,0.0015,2026-01,0.2969748199021145
baseline_full_liq_breakout_adj_50p_50d,0.0015,2026-02,0.17466005027961784
baseline_full_liq_breakout_adj_50p_50d,0.0015,2026-03,-0.2217001990802332
baseline_full_liq_breakout_adj_50p_50d,0.0015,2026-04,0.025833890077541666
baseline_full_liq_breakout_adj_50p_50d,0.002,2026-01,0.29583251984399417
