strategy,signal_date,entry_date,exit_date,hold_days,rebalance_step,selected_count,max_per_industry,industry_penalty_step,pit_status,risk_note,market_gate,position_mode,symbol,name,industry,industry_key,is_bs_candidate,sort_col,rank_score,score,dynamic_factor_score,score_liq_breakout_adj,liquidity_detail_score,s_breakout,s_liquidity,s_relative_amount,s_amount_ratio_5_20,s_low_impact_cost,s_amount_stability,vol_20,hist_mdd_20,bs_score_v2,bs_consensus_score,bs_model_rank_score,bs_model_prob,bs_model_expected_mdd,pool_type,bs_gate_label,market_amount_ratio_20,market_exposure_scale,position_weight,effective_weight,entry_open,exit_close,gross_ret
baseline_full_liquidity,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,trusted,uses_signal_date_or_prior_data,0,equal,300502,新易盛,通信设备,通信设备,0,s_liquidity,29.99,51.93,76.52613936698253,51.92999999999999,71.42969950114994,45.1,29.99,25.857059848925047,11.001355800890956,99.43918004254496,97.05540488182875,0.038621432945434186,-0.0785330136720016,61.77,49.72,37.9154,0.374548,-0.442786,,可买,1.3137043587215775,1.0,0.2,0.2,410.0,403.18,-0.01663414634146343
baseline_full_liquidity,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,trusted,uses_signal_date_or_prior_data,0,equal,300476,胜宏科技,元器件,元器件,0,s_liquidity,29.98,56.78,80.81770128279507,56.78,76.6635492648735,45.1,29.98,64.1293821421654,22.680612047259345,99.16843937342874,55.86981790003874,0.04361637481590781,-0.02531037384815471,63.17,47.44,37.8693,0.293534,-0.210703,,可买,1.3137043587215775,1.0,0.2,0.2,307.8573,277.2607,-0.0993856569261149
baseline_full_liquidity,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,trusted,uses_signal_date_or_prior_data,0,equal,601138,工业富联,通信设备,通信设备,0,s_liquidity,29.98,56.44,75.55759685425127,56.44,72.91605709893348,45.1,29.98,23.45535541351927,36.60662405578152,99.61322761554825,78.18674932196824,0.036950197069102145,-0.06353857045896061,52.01,37.81,37.3575,0.28372,-0.153364,,可买,1.3137043587215775,1.0,0.2,0.2,64.0195,60.9,-0.04872734088832298
baseline_full_liq_breakout_adj,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,trusted,uses_signal_date_or_prior_data,0,equal,002347,泰尔股份,机械基件,机械基件,1,score_liq_breakout_adj,83.02,83.02,97.46019467543348,83.02,83.46893358747738,99.27,26.61,98.85725353476661,98.56672477241914,86.34693482885322,4.804339403332042,0.05185835175101003,0.0,62.6,41.79,34.0891,0.307319,0.1,,过滤,1.3137043587215775,1.0,0.2,0.2,12.41,10.72,-0.1361804995970991
baseline_full_liq_breakout_adj,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,trusted,uses_signal_date_or_prior_data,0,equal,002969,嘉美包装,广告包装,广告包装,0,score_liq_breakout_adj,81.86,81.86,94.9767936569329,81.86,78.28296793919023,98.14,23.48,99.53515398024405,99.845051326748,80.3326242506285,0.42619139868268113,0.04663454196698833,0.0,74.7,64.4,54.1941,0.341985,0.1,,可买,1.3137043587215775,1.0,0.2,0.2,13.7,17.2,0.25547445255474455
baseline_full_liq_breakout_adj,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,trusted,uses_signal_date_or_prior_data,0,equal,002931,锋龙股份,机械基件,机械基件,0,score_liq_breakout_adj,78.98,78.98,81.96673757493716,78.98,40.01831270382939,99.27,18.01,0.07747433662599264,0.01936858415649816,99.835621736608,10.112359550561797,0.06152751409757579,0.0,61.96,29.24,34.1405,0.310841,0.001011,,过滤,1.3137043587215775,1.0,0.2,0.2,38.36,67.97,0.7718978102189782
baseline_full_liq_breakout_adj,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,trusted,uses_signal_date_or_prior_data,0,equal,300487,蓝晓科技,化工原料,化工原料,0,score_liq_breakout_adj,78.82,78.82,86.82878875781603,78.82,55.08350388711565,95.49,21.12,63.974433468913425,26.321905868681,66.02204602591375,2.7702440914374273,0.03118158539167936,0.0,71.61,58.53,50.89,0.299791,0.00534,,可买,1.3137043587215775,1.0,0.2,0.2,64.67,73.5,0.1365393536415649
baseline_full_liq_breakout_adj,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,trusted,uses_signal_date_or_prior_data,0,equal,002985,北摩高科,航空,航空,1,score_liq_breakout_adj,78.51,78.51,91.96963836782054,78.51,76.37657569702662,92.46,23.43,81.69668797210925,70.75343792368778,83.7362212338039,56.237892289810155,0.029741981246971787,0.0,71.9,51.87,44.6843,0.281682,-0.003832,WATCH,观察,1.3137043587215775,1.0,0.2,0.2,32.2112,37.1081,0.15202476157361433
baseline_full_liq_breakout_adj_50p_50d,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,trusted,uses_signal_date_or_prior_data,0,equal,002347,泰尔股份,机械基件,机械基件,1,score_liq_breakout_adj_50p_50d,83.02,83.02,97.46019467543348,83.02,83.46893358747738,99.27,26.61,98.85725353476661,98.56672477241914,86.34693482885322,4.804339403332042,0.05185835175101003,0.0,62.6,41.79,34.0891,0.307319,0.1,,过滤,1.3137043587215775,1.0,0.2,0.2,12.41,10.72,-0.1361804995970991
baseline_full_liq_breakout_adj_50p_50d,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,trusted,uses_signal_date_or_prior_data,0,equal,002969,嘉美包装,广告包装,广告包装,0,score_liq_breakout_adj_50p_50d,81.86,81.86,94.9767936569329,81.86,78.28296793919023,98.14,23.48,99.53515398024405,99.845051326748,80.3326242506285,0.42619139868268113,0.04663454196698833,0.0,74.7,64.4,54.1941,0.341985,0.1,,可买,1.3137043587215775,1.0,0.2,0.2,13.7,17.2,0.25547445255474455
baseline_full_liq_breakout_adj_50p_50d,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,trusted,uses_signal_date_or_prior_data,0,equal,002931,锋龙股份,机械基件,机械基件,0,score_liq_breakout_adj_50p_50d,78.98,78.98,81.96673757493716,78.98,40.01831270382939,99.27,18.01,0.07747433662599264,0.01936858415649816,99.835621736608,10.112359550561797,0.06152751409757579,0.0,61.96,29.24,34.1405,0.310841,0.001011,,过滤,1.3137043587215775,1.0,0.2,0.2,38.36,67.97,0.7718978102189782
baseline_full_liq_breakout_adj_50p_50d,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,trusted,uses_signal_date_or_prior_data,0,equal,300487,蓝晓科技,化工原料,化工原料,0,score_liq_breakout_adj_50p_50d,78.82,78.82,86.82878875781603,78.82,55.08350388711565,95.49,21.12,63.974433468913425,26.321905868681,66.02204602591375,2.7702440914374273,0.03118158539167936,0.0,71.61,58.53,50.89,0.299791,0.00534,,可买,1.3137043587215775,1.0,0.2,0.2,64.67,73.5,0.1365393536415649
baseline_full_liq_breakout_adj_50p_50d,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,trusted,uses_signal_date_or_prior_data,0,equal,002985,北摩高科,航空,航空,1,score_liq_breakout_adj_50p_50d,78.51,78.51,91.96963836782054,78.51,76.37657569702662,92.46,23.43,81.69668797210925,70.75343792368778,83.7362212338039,56.237892289810155,0.029741981246971787,0.0,71.9,51.87,44.6843,0.281682,-0.003832,WATCH,观察,1.3137043587215775,1.0,0.2,0.2,32.2112,37.1081,0.15202476157361433
baseline_full_liq_breakout_adj_40p_30d,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,trusted,uses_signal_date_or_prior_data,0,equal,002347,泰尔股份,机械基件,机械基件,1,score_liq_breakout_adj_40p_30d,83.02,83.02,97.46019467543348,83.02,83.46893358747738,99.27,26.61,98.85725353476661,98.56672477241914,86.34693482885322,4.804339403332042,0.05185835175101003,0.0,62.6,41.79,34.0891,0.307319,0.1,,过滤,1.3137043587215775,1.0,0.2,0.2,12.41,10.72,-0.1361804995970991
baseline_full_liq_breakout_adj_40p_30d,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,trusted,uses_signal_date_or_prior_data,0,equal,002969,嘉美包装,广告包装,广告包装,0,score_liq_breakout_adj_40p_30d,81.86,81.86,94.9767936569329,81.86,78.28296793919023,98.14,23.48,99.53515398024405,99.845051326748,80.3326242506285,0.42619139868268113,0.04663454196698833,0.0,74.7,64.4,54.1941,0.341985,0.1,,可买,1.3137043587215775,1.0,0.2,0.2,13.7,17.2,0.25547445255474455
baseline_full_liq_breakout_adj_40p_30d,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,trusted,uses_signal_date_or_prior_data,0,equal,002931,锋龙股份,机械基件,机械基件,0,score_liq_breakout_adj_40p_30d,78.98,78.98,81.96673757493716,78.98,40.01831270382939,99.27,18.01,0.07747433662599264,0.01936858415649816,99.835621736608,10.112359550561797,0.06152751409757579,0.0,61.96,29.24,34.1405,0.310841,0.001011,,过滤,1.3137043587215775,1.0,0.2,0.2,38.36,67.97,0.7718978102189782
baseline_full_liq_breakout_adj_40p_30d,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,trusted,uses_signal_date_or_prior_data,0,equal,300487,蓝晓科技,化工原料,化工原料,0,score_liq_breakout_adj_40p_30d,78.82,78.82,86.82878875781603,78.82,55.08350388711565,95.49,21.12,63.974433468913425,26.321905868681,66.02204602591375,2.7702440914374273,0.03118158539167936,0.0,71.61,58.53,50.89,0.299791,0.00534,,可买,1.3137043587215775,1.0,0.2,0.2,64.67,73.5,0.1365393536415649
