factor,rebalance_days,cost_scenario,cost_bps_rt,n_dates,avg_stocks,avg_blocked,avg_turnover,cumulative_net,ann_return,ann_vol,sharpe,max_drawdown,win_rate,test_cumulative,test_sharpe,pass_net_alpha
size,1,baseline,17.5,1556,584.0,0.3,0.0158,-0.393397,-0.0778,0.2454,-0.206,-0.5273,0.527,0.05222,0.2369,False
size,1,extreme,110.0,1556,584.0,0.3,0.0158,-0.516835,-0.1111,0.2454,-0.3561,-0.6037,0.5225,-0.017204,0.0968,False
size,1,high,60.0,1556,584.0,0.3,0.0158,-0.453604,-0.0932,0.2454,-0.2749,-0.5561,0.5244,0.019735,0.1725,False
size,1,low,12.5,1556,584.0,0.3,0.0158,-0.385891,-0.0759,0.2454,-0.1979,-0.5241,0.527,0.056109,0.2444,False
size,1,moderate,35.0,1556,584.0,0.3,0.0158,-0.418952,-0.0842,0.2454,-0.2344,-0.5382,0.5257,0.03872,0.2104,False
size,5,baseline,17.5,1556,583.0,1.2,0.0384,1.210652,0.1371,0.2432,0.651,-0.392,0.5553,0.651223,1.1732,True
size,5,extreme,110.0,1556,583.0,1.2,0.0384,0.979467,0.1169,0.2432,0.5774,-0.3931,0.5533,0.597408,1.1043,True
size,5,high,60.0,1556,583.0,1.2,0.0384,1.101259,0.1278,0.2432,0.6172,-0.3925,0.5546,0.626276,1.1415,True
size,5,low,12.5,1556,583.0,1.2,0.0384,1.22389,0.1382,0.2432,0.6549,-0.3919,0.5566,0.654183,1.1769,True
size,5,moderate,35.0,1556,583.0,1.2,0.0384,1.164935,0.1333,0.2432,0.637,-0.3922,0.5553,0.640905,1.1602,True
size,20,baseline,17.5,1556,583.0,1.7,0.0839,1.551772,0.1638,0.2415,0.7501,-0.3845,0.5546,0.753552,1.3029,True
size,20,extreme,110.0,1556,583.0,1.7,0.0839,1.40227,0.1525,0.2415,0.7096,-0.3851,0.554,0.722082,1.2651,True
size,20,high,60.0,1556,583.0,1.7,0.0839,1.481961,0.1586,0.2415,0.7315,-0.3848,0.554,0.739022,1.2855,True
size,20,low,12.5,1556,583.0,1.7,0.0839,1.560113,0.1644,0.2415,0.7523,-0.3845,0.5553,0.755269,1.3049,True
size,20,moderate,35.0,1556,583.0,1.7,0.0839,1.522792,0.1617,0.2415,0.7424,-0.3846,0.554,0.747554,1.2957,True
value,1,baseline,17.5,1517,586.0,0.2,0.0413,-0.457742,-0.0967,0.1944,-0.4251,-0.5386,0.5076,-0.016261,0.0635,False
value,1,extreme,110.0,1517,586.0,0.2,0.0413,-0.696416,-0.1797,0.1944,-0.9204,-0.7345,0.4951,-0.173621,-0.3917,False
value,1,high,60.0,1517,586.0,0.2,0.0413,-0.584599,-0.1358,0.1944,-0.6527,-0.6421,0.5023,-0.091966,-0.1456,False
value,1,low,12.5,1517,586.0,0.2,0.0413,-0.440474,-0.092,0.1944,-0.3983,-0.5246,0.5082,-0.00695,0.0881,False
value,1,moderate,35.0,1517,586.0,0.2,0.0413,-0.514095,-0.113,0.1944,-0.5188,-0.5844,0.5043,-0.048168,-0.0226,False
value,5,baseline,17.5,1521,587.0,0.6,0.0617,0.838144,0.1061,0.1936,0.6183,-0.2474,0.5391,0.399453,0.9876,True
value,5,extreme,110.0,1521,587.0,0.6,0.0617,0.545336,0.0748,0.1936,0.4698,-0.2581,0.5319,0.328385,0.8508,False
value,5,high,60.0,1521,587.0,0.6,0.0617,0.697295,0.0916,0.1936,0.5501,-0.2523,0.5358,0.366341,0.9248,True
value,5,low,12.5,1521,587.0,0.6,0.0617,0.855464,0.1078,0.1936,0.6263,-0.2468,0.5391,0.4034,0.995,True
value,5,moderate,35.0,1521,587.0,0.6,0.0617,0.778785,0.1001,0.1936,0.5902,-0.2494,0.5378,0.385722,0.9618,True
value,20,baseline,17.5,1516,585.0,0.9,0.1081,1.28266,0.1471,0.1928,0.8087,-0.2339,0.5468,0.48522,1.1458,True
value,20,extreme,110.0,1516,585.0,0.9,0.1081,1.116059,0.1327,0.1928,0.7433,-0.2387,0.5455,0.451829,1.086,True
value,20,high,60.0,1516,585.0,0.9,0.1081,1.204545,0.1404,0.1928,0.7787,-0.2361,0.5468,0.469784,1.1183,True
value,20,low,12.5,1516,585.0,0.9,0.1081,1.29203,0.1478,0.1928,0.8122,-0.2337,0.5468,0.487047,1.149,True
value,20,moderate,35.0,1516,585.0,0.9,0.1081,1.250165,0.1443,0.1928,0.7963,-0.2348,0.5468,0.478844,1.1345,True
volatility,1,baseline,17.5,1556,584.0,0.1,0.0743,-0.472937,-0.0985,0.1428,-0.6547,-0.5468,0.4968,-0.049383,-0.0953,False
volatility,1,extreme,110.0,1556,584.0,0.1,0.0743,-0.819129,-0.2419,0.1428,-1.8668,-0.8367,0.4557,-0.310334,-1.1975,False
volatility,1,high,60.0,1556,584.0,0.1,0.0743,-0.677532,-0.1675,0.1428,-1.2116,-0.7115,0.4775,-0.179678,-0.6017,False
volatility,1,low,12.5,1556,584.0,0.1,0.0743,-0.441579,-0.09,0.1428,-0.5891,-0.5222,0.5039,-0.032755,-0.0358,False
volatility,1,moderate,35.0,1556,584.0,0.1,0.0743,-0.569464,-0.1276,0.1428,-0.884,-0.6231,0.4891,-0.105364,-0.3038,False
volatility,5,baseline,17.5,1556,584.0,0.5,0.2148,0.435908,0.0603,0.1628,0.4418,-0.213,0.5315,0.234763,0.7319,False
volatility,5,extreme,110.0,1556,584.0,0.5,0.2148,-0.226256,-0.0407,0.1628,-0.1734,-0.3876,0.5109,0.025669,0.1663,False
volatility,5,high,60.0,1556,584.0,0.5,0.2148,0.080841,0.0127,0.1628,0.1591,-0.2734,0.5174,0.133877,0.472,False
volatility,5,low,12.5,1556,584.0,0.5,0.2148,0.4847,0.0661,0.1628,0.4751,-0.2119,0.5315,0.247206,0.7624,False
volatility,5,moderate,35.0,1556,584.0,0.5,0.2148,0.277415,0.0404,0.1628,0.3254,-0.2209,0.5251,0.19218,0.6249,False
volatility,20,baseline,17.5,1556,583.0,0.8,0.4859,0.672278,0.0868,0.1685,0.5788,-0.2204,0.5482,0.307389,0.878,True
volatility,20,extreme,110.0,1556,583.0,0.8,0.4859,0.178893,0.027,0.1685,0.2428,-0.2843,0.5334,0.177188,0.5706,False
volatility,20,high,60.0,1556,583.0,0.8,0.4859,0.424135,0.0589,0.1685,0.4244,-0.2421,0.5405,0.245872,0.7368,False
volatility,20,low,12.5,1556,583.0,0.8,0.4859,0.704177,0.0902,0.1685,0.597,-0.2178,0.5488,0.314823,0.8947,True
volatility,20,moderate,35.0,1556,583.0,0.8,0.4859,0.565257,0.0753,0.1685,0.5153,-0.2294,0.5463,0.2817,0.8199,True
