rank,signal_date,strategy,symbol,name,industry,industry_key,candidate_pool,candidate_pool_role,sort_col,rank_score,position_weight,market_exposure_scale,effective_weight,latest_close,score,dynamic_factor_score,dynamic_ic_factor_score,liquidity_detail_score,s_liquidity,s_breakout,s_rs,s_relative_amount,s_amount_ratio_5_20,s_low_impact_cost,s_amount_stability,bs_score_v2,is_bs_candidate,pool_type,bs_gate_label,market_amount_ratio_20,market_liquidity_bucket,index_bucket,vol_20,hist_mdd_20,selected_strategy,market_regime,market_regime_raw,correlated_theme,theme_source,target_position_ratio
1,2026-07-20,production_governed_vol_position,688498,源杰科技,半导体,半导体,liquidity_quality,champion_core,liquidity_detail_score,93.25793948777499,0.02329298894315468,0.5,0.040751771358630444,1403.42,41.23,,,93.25793948777499,29.74,48.81,26.05,87.03309463905555,79.698083994581,97.87110508999419,95.62608863944261,48.72,0,BASE,可买,0.8809639327858935,normal_liquidity,index_weak,0.06788046110968739,-0.2558748674443265,baseline_full_liquidity_detail_vol_position,risk_off,risk_off,industry:半导体,industry_fallback,0.5
2,2026-07-20,production_governed_vol_position,600900,长江电力,水力发电,水力发电,liquidity_quality,champion_core,liquidity_detail_score,92.71159021998581,0.0812675167805749,0.5,0.12647477469798418,28.98,70.77,,,92.71159021998581,29.27,98.08,92.74,92.64563576543449,88.17495645442229,99.47745306754403,70.07934971937294,71.77,0,CORE,可买,0.8809639327858935,normal_liquidity,index_weak,0.01945597568033633,0.0,baseline_full_liquidity_detail_vol_position,risk_off,risk_off,industry:水力发电,industry_fallback,0.5
3,2026-07-20,production_governed_vol_position,601668,中国建筑,建筑工程,建筑工程,liquidity_quality,champion_core,liquidity_detail_score,92.64220888974904,0.08839699975498683,0.5,0.12156047883816977,4.65,52.68,,,92.64220888974904,26.41,48.81,79.94,96.2454035223534,91.44571317979485,98.81943100445133,96.40023224308109,62.74,0,BASE,可买,0.8809639327858935,normal_liquidity,index_weak,0.01788679292811622,-0.01483050847457612,baseline_full_liquidity_detail_vol_position,risk_off,risk_off,industry:建筑工程,industry_fallback,0.5
4,2026-07-20,production_governed_vol_position,600519,贵州茅台,白酒,白酒,liquidity_quality,champion_core,liquidity_detail_score,92.41313979743242,0.0635195391120868,0.5,0.1018293257319685,1327.5,72.87,,,92.41313979743242,29.56,99.65,92.05,97.77433713953938,90.41997290497387,99.78711050899942,49.138765240952196,71.43,0,CORE,可买,0.8809639327858935,normal_liquidity,index_weak,0.02489216471319331,0.0,baseline_full_liquidity_detail_vol_position,risk_off,risk_off,industry:白酒,industry_fallback,0.5
5,2026-07-20,production_governed_vol_position,601318,中国平安,保险,保险,liquidity_quality,champion_core,liquidity_detail_score,91.72834010708988,0.06890594026308332,0.5,0.10938364937324707,53.23,52.16,,,91.72834010708988,29.5,98.8,85.33,94.60034836462164,80.4528740081285,99.5935746080898,64.67969808399458,66.52,1,WATCH,可买,0.8809639327858935,normal_liquidity,index_weak,0.022946335599621625,0.0,baseline_full_liquidity_detail_vol_position,risk_off,risk_off,industry:保险,industry_fallback,0.5
