trade_date,listed_symbols,market_coverage,industry_coverage,adjustment_coverage,financial_coverage,universe_status_coverage
2020-01-02,3545,1.0,1.0,1.0,1.0,1.0
2020-01-03,3546,1.0,1.0,1.0,1.0,1.0
2020-01-06,3548,1.0,1.0,1.0,1.0,1.0
2020-01-07,3549,1.0,1.0,1.0,1.0,1.0
2020-01-08,3548,1.0,1.0,1.0,1.0,1.0
2020-01-09,3548,1.0,1.0,1.0,1.0,1.0
2020-01-10,3546,1.0,1.0,1.0,1.0,1.0
2020-01-13,3546,1.0,1.0,1.0,1.0,1.0
2020-01-14,3550,1.0,1.0,1.0,1.0,1.0
2020-01-15,3549,1.0,1.0,1.0,1.0,1.0
2020-01-16,3550,1.0,1.0,1.0,1.0,1.0
2020-01-17,3554,1.0,1.0,1.0,1.0,1.0
2020-01-20,3557,1.0,1.0,1.0,1.0,1.0
2020-01-21,3560,1.0,1.0,1.0,1.0,1.0
2020-01-22,3563,1.0,1.0,1.0,1.0,1.0
2020-01-23,3566,1.0,1.0,1.0,1.0,1.0
2020-02-03,3567,1.0,1.0,1.0,1.0,1.0
2020-02-04,3568,1.0,1.0,1.0,1.0,1.0
2020-02-05,3571,1.0,1.0,1.0,1.0,1.0
2020-02-06,3572,1.0,1.0,1.0,1.0,1.0
2020-02-07,3573,1.0,1.0,1.0,1.0,1.0
2020-02-10,3574,1.0,1.0,1.0,1.0,1.0
2020-02-11,3576,1.0,1.0,1.0,1.0,1.0
2020-02-12,3579,1.0,1.0,1.0,1.0,1.0
2020-02-13,3581,1.0,1.0,1.0,1.0,1.0
2020-02-14,3581,1.0,1.0,1.0,1.0,1.0
2020-02-17,3582,1.0,1.0,1.0,1.0,1.0
2020-02-18,3582,1.0,1.0,1.0,1.0,1.0
2020-02-19,3584,1.0,1.0,1.0,1.0,1.0
2020-02-20,3584,1.0,1.0,1.0,1.0,1.0
2020-02-21,3587,1.0,1.0,1.0,1.0,1.0
2020-02-24,3588,1.0,1.0,1.0,1.0,1.0
2020-02-25,3588,1.0,1.0,1.0,1.0,1.0
2020-02-26,3588,1.0,1.0,1.0,1.0,1.0
2020-02-27,3588,1.0,1.0,1.0,1.0,1.0
2020-02-28,3589,1.0,1.0,1.0,1.0,1.0
