market_regime,n,hit20,max_ret20,mdd20,avg_hs300_ret20,avg_bs_ratio,avg_market_research
risk_off,85,0.3764705882352941,0.09772063529411766,-0.08057049411764707,-0.04658870760771421,0.013303155938309394,33.36762862352941
neutral,499,0.25250501002004005,0.07344261122244489,-0.1112323507014028,-0.005235643549834249,0.07716132895347759,33.798281593186374
