window_start,window_end,factor,n_dates,sharpe,ann_ret,max_dd,pass
2020-02-07,2022-03-03,volatility,504,2.6174,1.5003,-0.5026,True
2020-02-07,2022-03-03,value,449,2.986,2.1406,-0.4482,True
2020-02-07,2022-03-03,size,504,2.7644,2.2593,-0.6266,True
2020-08-11,2022-09-05,volatility,504,1.3057,0.5149,-0.6201,True
2020-08-11,2022-09-05,value,504,2.021,1.1106,-0.4651,True
2020-08-11,2022-09-05,size,504,1.7567,1.0923,-0.6871,True
2021-02-19,2023-03-16,volatility,504,2.1617,1.0602,-0.6201,True
2021-02-19,2023-03-16,value,504,2.4004,1.4238,-0.4651,True
2021-02-19,2023-03-16,size,504,2.8365,2.419,-0.6871,True
2021-08-23,2023-09-18,volatility,504,1.6245,0.7116,-0.6201,True
2021-08-23,2023-09-18,value,504,1.7442,0.8833,-0.4651,True
2021-08-23,2023-09-18,size,504,1.9382,1.2383,-0.6871,True
2022-03-04,2024-03-29,volatility,504,0.8692,0.2997,-0.5175,True
2022-03-04,2024-03-29,value,504,0.8904,0.3508,-0.6789,True
2022-03-04,2024-03-29,size,504,1.019,0.5658,-0.8702,True
2022-09-06,2024-10-10,volatility,504,0.7153,0.2482,-0.5853,True
2022-09-06,2024-10-10,value,504,0.7146,0.2765,-0.6789,True
2022-09-06,2024-10-10,size,504,0.4728,0.0807,-0.8702,True
2023-03-17,2025-04-16,volatility,504,0.9103,0.3607,-0.5853,True
2023-03-17,2025-04-16,value,504,1.0545,0.546,-0.6789,True
2023-03-17,2025-04-16,size,504,1.0144,0.6102,-0.8702,True
2023-09-19,2025-10-23,volatility,504,1.8702,1.0542,-0.5853,True
2023-09-19,2025-10-23,value,504,1.8389,1.3712,-0.6044,True
2023-09-19,2025-10-23,size,504,2.0025,2.3942,-0.8702,True
2024-04-01,2026-04-30,volatility,504,2.096,1.1425,-0.5853,True
2024-04-01,2026-04-30,value,504,2.2898,1.7693,-0.6044,True
2024-04-01,2026-04-30,size,504,2.8751,3.6462,-0.6617,True
