strategy,trade_date,symbol,name,industry,side,price,shares,gross_amount,cost,cash_after,reason,planned_shares,planned_price,filled_shares,filled_price,reject_reason,open_weight_drift_bps,cash_residual_ratio,intentional_cash_ratio,planned_cash_buffer_ratio,unexpected_cash_residual_ratio,planned_vs_filled_notional_gap,planned_vs_filled_share_gap,buy_order_shortfall_ratio,t1_not_tradable_reject_count,limit_block_reject_count,risk_event_triggered,risk_event_types,missing_cap_risk_label,missed_risk_event
baseline_full_liquidity_detail_vol_position,2025-09-02,000988,华工科技,专用机械,BUY,75.5155,900,67963.95,50.9729625,431985.0770375,rebalance_unlocked,900.0,75.5155,900.0,75.5155,,-93.36814487444445,0.40739459113295207,0.30000000000000004,0.30000000000000004,0.10739459113295202,0.0,0,0.0,0,0,0,,0,0
baseline_full_liquidity_detail_vol_position,2025-09-02,002436,兴森科技,元器件,BUY,21.3272,3200,68247.04000000001,51.185280000000006,363686.8517575,rebalance_unlocked,3200.0,21.3272,3200.0,21.3272,,-29.27769943463693,0.40739459113295207,0.30000000000000004,0.30000000000000004,0.10739459113295202,0.0,0,0.0,0,0,0,,0,0
baseline_full_liquidity_detail_vol_position,2025-09-02,002594,比亚迪,汽车整车,BUY,108.79,1100,119669.0,89.75175,243928.10000749998,rebalance_unlocked,1100.0,108.79,1100.0,108.79,,-92.63545391250766,0.40739459113295207,0.30000000000000004,0.30000000000000004,0.10739459113295202,0.0,0,0.0,0,0,0,,0,0
baseline_full_liquidity_detail_vol_position,2025-09-02,300308,中际旭创,通信设备,BUY,402.9108,100,40291.08,30.218310000000002,203606.8016975,rebalance_unlocked,100.0,402.9108,100.0,402.9108,,-7.692371239448742,0.40739459113295207,0.30000000000000004,0.30000000000000004,0.10739459113295202,0.0,0,0.0,0,0,0,,0,0
baseline_full_liquidity_detail_vol_position,2025-09-03,300502,新易盛,通信设备,BUY,497.6461,100,49764.61,37.3234575,153804.86823999998,rebalance_unlocked,100.0,497.6461,100.0,497.6461,,-103.1148558468202,0.3102595589770869,0.30000000000000004,0.30000000000000004,0.010259558977086858,0.0,0,0.0,0,0,0,,0,0
baseline_full_liquidity_detail_vol_position,2025-09-16,000988,华工科技,专用机械,SELL,81.7158,900,73544.22,55.158165000000004,227293.93007499998,rebalance_unlocked,,,,,,,0.34017956037714664,0.30000000000000004,0.30000000000000004,0.040179560377146595,0.0,0,0.0,0,0,0,,0,0
baseline_full_liquidity_detail_vol_position,2025-09-16,002436,兴森科技,元器件,SELL,22.1179,3200,70777.28,53.08296,298018.127115,rebalance_unlocked,,,,,,,0.34017956037714664,0.30000000000000004,0.30000000000000004,0.040179560377146595,0.0,0,0.0,0,0,0,,0,0
baseline_full_liquidity_detail_vol_position,2025-09-16,002594,比亚迪,汽车整车,SELL,109.0,1100,119900.0,89.925,417828.202115,rebalance_unlocked,,,,,,,0.34017956037714664,0.30000000000000004,0.30000000000000004,0.040179560377146595,0.0,0,0.0,0,0,0,,0,0
baseline_full_liquidity_detail_vol_position,2025-09-16,300308,中际旭创,通信设备,SELL,410.9385,100,41093.85,30.8203875,458891.2317275,rebalance_unlocked,,,,,,,0.34017956037714664,0.30000000000000004,0.30000000000000004,0.040179560377146595,0.0,0,0.0,0,0,0,,0,0
baseline_full_liquidity_detail_vol_position,2025-09-16,002460,赣锋锂业,小金属,BUY,48.68,2000,97360.0,73.02,361458.21172749996,rebalance_unlocked,2000.0,48.68,2000.0,48.68,,-74.42290653491418,0.34017956037714664,0.30000000000000004,0.30000000000000004,0.040179560377146595,0.0,0,0.0,0,0,0,,0,0
