strategy,event_type,mark_price_basis,order_status,event_timestamp,symbol,side,planned_shares,planned_price,planned_notional,planned_fee,signal_date,execution_date,order_id,cost_rate,lot_size,filled_shares,filled_price,filled_notional,fee,reject_reason,remaining_shares,event_date,source_reason,cash_delta,share_delta
vls_mom_contrarian_v1_frozen,order,raw,PLANNED,2024-01-02T15:00:00+08:00,600638,BUY,8700.0,5.72,49764.0,37.323,2024-01-02,2024-01-03,2024-01-02:600638:BUY,0.00075,100.0,,,,,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,FILLED,2024-01-03T09:30:00+08:00,600638,BUY,8700.0,,,,2024-01-02,2024-01-03,2024-01-02:600638:BUY,,,8700.0,5.23523,45546.501,34.15987575,,0.0,,,,
vls_mom_contrarian_v1_frozen,order,raw,PLANNED,2024-01-02T15:00:00+08:00,603190,BUY,1500.0,32.58,48870.0,36.6525,2024-01-02,2024-01-03,2024-01-02:603190:BUY,0.00075,100.0,,,,,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,FILLED,2024-01-03T09:30:00+08:00,603190,BUY,1500.0,,,,2024-01-02,2024-01-03,2024-01-02:603190:BUY,,,1500.0,29.6296,44444.4,33.3333,,0.0,,,,
vls_mom_contrarian_v1_frozen,order,raw,PLANNED,2024-01-02T15:00:00+08:00,603511,BUY,2800.0,17.325000000000003,48510.00000000001,36.38250000000001,2024-01-02,2024-01-03,2024-01-02:603511:BUY,0.00075,100.0,,,,,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,FILLED,2024-01-03T09:30:00+08:00,603511,BUY,2800.0,,,,2024-01-02,2024-01-03,2024-01-02:603511:BUY,,,2800.0,15.715699999999998,44003.95999999999,33.00297,,0.0,,,,
vls_mom_contrarian_v1_frozen,order,raw,PLANNED,2024-01-02T15:00:00+08:00,605069,BUY,4400.0,11.13,48972.0,36.729,2024-01-02,2024-01-03,2024-01-02:605069:BUY,0.00075,100.0,,,,,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,FILLED,2024-01-03T09:30:00+08:00,605069,BUY,4400.0,,,,2024-01-02,2024-01-03,2024-01-02:605069:BUY,,,4400.0,10.130119999999998,44572.52799999999,33.429396,,0.0,,,,
vls_mom_contrarian_v1_frozen,order,raw,PLANNED,2024-01-02T15:00:00+08:00,605080,BUY,2100.0,23.34,49014.0,36.7605,2024-01-02,2024-01-03,2024-01-02:605080:BUY,0.00075,100.0,,,,,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,FILLED,2024-01-03T09:30:00+08:00,605080,BUY,2100.0,,,,2024-01-02,2024-01-03,2024-01-02:605080:BUY,,,2100.0,21.25123,44627.583,33.47068725,,0.0,,,,
