combination,horizon,daily_mean_ret,annualized,cumulative,sharpe,days
baseline6,5,0.004596702354904587,0.2600393581025544,13.434512553347314,0.8285340011920972,701
baseline6,10,0.008481956658694617,0.23719152549580036,125.33630502448847,0.7757130275611991,696
baseline6,20,0.014861030439382698,0.20426721296160655,3305.83442496773,0.6840224832811616,686
vls,5,0.004814357708330863,0.2738724186814563,14.967849779402341,0.8296646031781931,701
vls,10,0.009196826076858906,0.2594823186485866,191.2355005461752,0.8118620437696504,696
vls,20,0.017287046248462893,0.24104714925081305,15161.564186453345,0.7714754074085993,686
vl,5,0.0038041213818383888,0.2109000936425327,7.327592167788495,0.6853803147293381,701
vl,10,0.007144118279987599,0.19648936872630518,51.000536002214275,0.6623608198280326,696
vl,20,0.013402328827384147,0.182638231638673,1456.6679028352905,0.6411200375353846,686
vs,5,0.003851956287198043,0.213811789911309,7.241945067338502,0.6695764422007412,701
vs,10,0.0072471694734935355,0.19957830231799334,49.904255329813296,0.6448507663090147,696
vs,20,0.013981830280326013,0.19118763914495251,1722.6904935219186,0.6317990408885265,686
single_value,5,0.002317553685323304,0.12374804142588003,2.243114287948229,0.45577801256134576,701
single_value,10,0.004234200506595691,0.11235188586636502,7.432737004486864,0.431967973735248,696
single_value,20,0.0077831899942838656,0.1026192888695252,46.76769967597872,0.41508690464392656,686
single_size,5,0.004425352639868765,0.24925292645235753,10.174717360466948,0.7163532338577762,701
single_size,10,0.008750429062098197,0.24551814211736867,115.58292775174704,0.7182265530468748,696
single_size,20,0.01713764030670828,0.23875251605953163,9215.31264113102,0.7040640365587642,686
single_liquidity,5,0.004334222061747483,0.24355319429364397,10.618905425121795,0.7591632372334495,701
single_liquidity,10,0.008467139810284085,0.23673354395131785,120.67990467680008,0.7650650652785763,696
single_liquidity,20,0.01654246767335758,0.22965034604125534,10567.346998684576,0.7649022937305743,686
single_momentum,5,-0.0034904439929029584,-0.16157161526967467,-0.9466010251223013,-0.6689241074226749,701
single_momentum,10,-0.006651735092350692,-0.15480144528568573,-0.9960831231468412,-0.6568309661114555,696
single_momentum,20,-0.010679010780248063,-0.1265279539230033,-0.9998891173014779,-0.5312304145376574,686
