strategy,trade_date,risk_decision,recovery_status,risk_governor_reasons,champion_score_pctile_252,champion_score_z_252,champion_score_rank_252,champion_score_sample_count_252,governed_nav_ret_10d,governed_nav_drawdown_20d,market_style_state,industry_state,top_industry_weight,pattern_top5_high_risk_count,pattern_top5_bullish_count,pattern_top5_bearish_count,gross_exposure,position_ratio,target_position_ratio,next_5d_return,max_dd_5d,next_10d_return,max_dd_10d,next_20d_return,max_dd_20d,false_positive_reason,false_positive_type,recoverable_candidate
production_governed_vol_position_v1_2b_fp_classified,2024-02-01,reduce_position,blocked_dynamic_score_sample_count,negative_recent_champion,,,,33.0,-0.0154070648864023,-0.0365600750885823,defensive,,0.1008776230307015,,,,0.4334380987412609,0.45,0.45,0.023299870304826165,-0.007675952023942001,0.018116711904151428,-0.012506004412953131,0.05688328309736668,-0.023542627866982135,reduced_before_positive_forward_return,benign_false_positive,1
production_governed_vol_position_v1_2b_fp_classified,2024-02-02,reduce_position,blocked_dynamic_score_sample_count,negative_recent_champion,,,,34.0,-0.0283028833161108,-0.0323135749085198,defensive,,0.1598694059635617,,,,0.4319356165973732,0.45,0.45,0.02556564430200048,-0.00043658776482224937,0.023452407235917683,-0.012506004412952909,0.07653772560005034,-0.023542627866982024,reduced_before_positive_forward_return,benign_false_positive,1
production_governed_vol_position_v1_2b_fp_classified,2024-02-05,reduce_position,blocked_dynamic_score_sample_count,negative_recent_champion,,,,35.0,-0.0168350347089021,-0.0323135749085198,defensive,,0.1600218902130633,,,,0.4275414522491422,0.45,0.45,0.03210537588013329,-0.0017841915248698603,0.04575026712904817,-0.012506004412953131,0.07474059257632981,-0.023542627866982135,reduced_before_positive_forward_return,benign_false_positive,1
production_governed_vol_position_v1_2b_fp_classified,2024-02-06,reduce_position,blocked_dynamic_score_sample_count,negative_recent_champion,,,,36.0,-0.0061986378870192,-0.0383119126458462,recent_champion,,0.1578139726569086,,,,0.437743508290052,0.45,0.45,0.002823480829701186,-0.012506004412953131,0.009811081954992584,-0.016845629110088023,0.05030181520110033,-0.023542627866982135,reduced_before_positive_forward_return,benign_false_positive,1
production_governed_vol_position_v1_2b_fp_classified,2024-02-19,reduce_position,blocked_dynamic_score_sample_count,negative_recent_champion,,,,39.0,-0.0038455295946434,-0.0383119126458462,recent_champion,,0.1198545748272325,,,,0.4415741463668647,0.45,0.45,-0.0020605575838306134,-0.010740976847944061,0.03333097638548388,-0.016845629110087912,0.03900707570536066,-0.023542627866982024,reduced_before_positive_forward_return,benign_false_positive,1
production_governed_vol_position_v1_2b_fp_classified,2024-02-21,reduce_position,blocked_non_whitelisted_reason,high_volatility|negative_recent_champion,,,,,0.0054189147096721,-0.0383119126458462,recent_champion,,0.1275639650527925,,,,0.4383047801818897,0.45,0.45,0.006967927316092082,-0.016845629110087912,0.03669164308000594,-0.016845629110087912,0.04680170203364309,-0.023542627866982135,reduced_before_positive_forward_return,benign_false_positive,1
production_governed_vol_position_v1_2b_fp_classified,2024-02-22,reduce_position,blocked_non_whitelisted_reason,high_volatility|negative_recent_champion,,,,,0.0032246191580367,-0.0383119126458462,defensive,,0.0620832595958437,,,,0.4412974249677727,0.45,0.45,0.012739980643113213,-0.016845629110087912,0.015894407602178084,-0.023542627866982024,0.050321258585730666,-0.023542627866982024,reduced_before_positive_forward_return,benign_false_positive,1
production_governed_vol_position_v1_2b_fp_classified,2024-02-23,reduce_position,blocked_non_whitelisted_reason,high_volatility|negative_recent_champion,,,,,0.0129533958577987,-0.0383119126458462,defensive,,0.0786716023861055,,,,0.442505554960479,0.45,0.45,0.017864126774084,-0.016845629110087912,0.03807674576003328,-0.023542627866982135,0.03622191420585974,-0.023542627866982135,reduced_before_positive_forward_return,benign_false_positive,1
production_governed_vol_position_v1_2b_fp_classified,2024-02-26,reduce_position,blocked_non_whitelisted_reason,high_volatility,,,,,0.0181167119041516,-0.0378022817626342,defensive,,0.0299164959573076,,,,0.4439412838814698,0.5,0.5,0.035464610842142585,-0.016845629110087912,0.05186886853635153,-0.023542627866982024,0.05294610850368553,-0.023542627866982024,reduced_before_positive_forward_return,benign_false_positive,1
production_governed_vol_position_v1_2b_fp_classified,2024-02-28,reduce_position,blocked_non_whitelisted_reason,high_volatility,,,,,0.0457502671290481,-0.0378022817626342,defensive,,0.0657703619916685,,,,0.4421915489252801,0.5,0.5,0.029518036232928813,-0.01201045015009472,0.040097335006185286,-0.023542627866982024,0.044933950343181595,-0.023542627866982024,reduced_before_positive_forward_return,benign_false_positive,1
production_governed_vol_position_v1_2b_fp_classified,2024-02-29,reduce_position,blocked_non_whitelisted_reason,high_volatility,,,,,0.0098110819549928,-0.0378022817626342,defensive,,0.0631303779668209,,,,0.4483257443066103,0.5,0.5,0.0031147451659425673,-0.023542627866982024,0.023495148435501045,-0.023542627866982024,0.051952956133292316,-0.023542627866982024,reduced_before_positive_forward_return,benign_false_positive,1
production_governed_vol_position_v1_2b_fp_classified,2024-03-01,reduce_position,blocked_non_whitelisted_reason,high_volatility,,,,,0.0187425634666202,-0.0378022817626342,recent_champion,,0.0573887598437205,,,,0.4522899173130429,0.5,0.5,0.019857875382649492,-0.023542627866982135,0.021554215188796855,-0.023542627866982135,0.06259014322043366,-0.023542627866982135,reduced_before_positive_forward_return,benign_false_positive,1
production_governed_vol_position_v1_2b_fp_classified,2024-03-05,reduce_position,blocked_non_whitelisted_reason,high_volatility,,,,,0.0333309763854834,-0.0258563338532212,recent_champion,,0.0547177264106369,,,,0.4968016646776478,0.5,0.5,0.01859585631439087,-0.014812196107929942,0.015204665159685549,-0.019241408027125706,0.05102086893760016,-0.019241408027125706,reduced_before_positive_forward_return,benign_false_positive,1
production_governed_vol_position_v1_2b_fp_classified,2024-03-07,reduce_position,blocked_non_whitelisted_reason,high_volatility,,,,,0.0366916430800055,-0.0168456291100879,recent_champion,,0.0381332682444371,,,,0.490858780947759,0.5,0.5,0.02031712061633284,-0.019241408027125928,0.033888217836350654,-0.019241408027125928,0.06568794202735684,-0.019241408027125928,reduced_before_positive_forward_return,benign_false_positive,1
production_governed_vol_position_v1_2b_fp_classified,2024-08-30,reduce_position,blocked_dynamic_score_floor,negative_recent_champion,0.0103092783505154,-2.437852782029296,,97.0,-0.049255486206023,-0.0661370805372055,defensive,,0.4405923108894601,,,,0.4387331273643898,0.45,0.45,-0.017188696580724194,-0.023081886911634708,-0.02926548780604321,-0.035086262578616245,0.08129613138645753,-0.038974763182114236,reduced_before_positive_forward_return,benign_false_positive,1
production_governed_vol_position_v1_2b_fp_classified,2024-09-03,reduce_position,blocked_dynamic_score_floor,negative_recent_champion,0.0303030303030303,-2.2638641603850784,,99.0,-0.0534119354559347,-0.0725488717291906,recent_champion,,0.3392168759445252,,,,0.4350519673354572,0.45,0.45,-0.011061679980544636,-0.011219223345465879,-0.022137858537686128,-0.019194342303854972,0.05425918515674755,-0.034548715744171066,reduced_before_positive_forward_return,benign_false_positive,1
production_governed_vol_position_v1_2b_fp_classified,2024-09-05,reduce_position,blocked_dynamic_score_floor,negative_recent_champion,0.0,-2.164056691927412,,101.0,-0.0654922818175688,-0.0837687852399367,recent_champion,,0.1583560159662601,,,,0.4290042129139318,0.45,0.45,-0.0048375451029598615,-0.0060971831880748395,-0.014805224631782576,-0.016268381205705063,0.060900317354467104,-0.044555364581945645,reduced_before_positive_forward_return,borderline_false_positive,0
production_governed_vol_position_v1_2b_fp_classified,2024-09-06,reduce_position,blocked_dynamic_score_floor,negative_recent_champion,0.0,-2.132342785302872,,102.0,-0.0589167583578683,-0.0883512522160493,recent_champion,,0.1221857131005161,,,,0.4289169541671735,0.45,0.45,-0.0122880060325955,-0.011969490387863768,0.005108757645498674,-0.015951149145431498,0.051388381032187125,-0.044555364581945534,reduced_before_positive_forward_return,borderline_false_positive,0
production_governed_vol_position_v1_2b_fp_classified,2024-09-09,reduce_position,blocked_dynamic_score_floor,negative_recent_champion,0.0,-2.119794353379401,,103.0,-0.0512618509276798,-0.0884905477664879,recent_champion,,0.1737068340407557,,,,0.4254135956021828,0.45,0.45,-0.008065608825216564,-0.013795687593076145,0.01713732664706069,-0.015951149145431498,0.05589051530094813,-0.04613194676369392,reduced_before_positive_forward_return,borderline_false_positive,0
production_governed_vol_position_v1_2b_fp_classified,2024-09-11,reduce_position,blocked_dynamic_score_floor,negative_recent_champion,0.0,-2.0638680404185816,,105.0,-0.0454848533455859,-0.0940481878744173,defensive,,0.1307993518582613,,,,0.4194503347604078,0.45,0.45,-0.012122644241071456,-0.01163744222132268,0.04532557237422452,-0.01163744222132268,0.06563512433561125,-0.04818131643152335,reduced_before_positive_forward_return,borderline_false_positive,0
production_governed_vol_position_v1_2b_fp_classified,2024-09-12,reduce_position,blocked_dynamic_score_floor,negative_recent_champion,0.0,-2.026625098453295,,106.0,-0.0461309304509157,-0.080899277355635,defensive,,0.1180882121791355,,,,0.4324454933078952,0.45,0.45,-0.010016133024083995,-0.004804894148059402,0.07943024008442645,-0.004804894148059402,0.09341343575281891,-0.04818131643152346,reduced_before_positive_forward_return,borderline_false_positive,0
production_governed_vol_position_v1_2b_fp_classified,2024-09-13,reduce_position,blocked_dynamic_score_floor,negative_recent_champion,0.0,-1.9977422525454251,,107.0,-0.0287425256968903,-0.080899277355635,defensive,,0.108318893699599,,,,0.4428342476623669,0.45,0.45,0.01761319472108025,-0.004804894148059402,0.113894806256162,-0.004804894148059402,0.08884895209979482,-0.04818131643152357,reduced_before_positive_forward_return,borderline_false_positive,0
production_governed_vol_position_v1_2b_fp_classified,2024-09-18,reduce_position,blocked_dynamic_score_floor,negative_recent_champion,0.0,-1.97238599735442,,108.0,-0.0292654878060432,-0.086624172842312,defensive,,0.1363341158014496,,,,0.441802519726321,0.45,0.45,0.025407865375479455,-0.004804894148059402,0.07740255663219875,-0.034548715744170955,0.06766100166330857,-0.04818131643152357,reduced_before_positive_forward_return,borderline_false_positive,0
production_governed_vol_position_v1_2b_fp_classified,2024-09-19,reduce_position,blocked_dynamic_score_floor,negative_recent_champion,0.0,-1.9438133186514237,,109.0,-0.0368697325761588,-0.0851126121391161,defensive,,0.1201186284698786,,,,0.4432677980635863,0.45,0.45,0.03330036239806544,0.0,0.07812659929771715,-0.034548715744170955,0.07567092940044629,-0.04818131643152335,reduced_before_positive_forward_return,borderline_false_positive,0
production_governed_vol_position_v1_2b_fp_classified,2024-09-20,reduce_position,blocked_dynamic_score_floor,negative_recent_champion,0.0,-1.9135367334107485,,110.0,-0.0221378585376862,-0.0834295428459569,defensive,,0.1467714392024426,,,,0.4405798434269619,0.45,0.45,0.058153187012938146,0.0,0.06857104568173078,-0.044555364581945534,0.07988224063159399,-0.04818131643152335,reduced_before_positive_forward_return,borderline_false_positive,0
production_governed_vol_position_v1_2b_fp_classified,2024-09-23,reduce_position,blocked_dynamic_score_floor,negative_recent_champion,0.0,-1.8826006990019089,,111.0,-0.0213380044830813,-0.0743681129996086,recent_champion,,0.146647259079524,,,,0.4414960129477271,0.45,0.45,0.0903513441908308,0.0,0.0768432231666627,-0.044555364581945534,0.09430994157329864,-0.04818131643152346,reduced_before_positive_forward_return,borderline_false_positive,0
production_governed_vol_position_v1_2b_fp_classified,2024-09-24,reduce_position,blocked_dynamic_score_floor,negative_recent_champion,0.0,-1.8515824819984408,,112.0,-0.0148052246317824,-0.0667723944573469,recent_champion,,0.105974428221308,,,,0.4524778616983755,0.45,0.45,0.0946151367086705,0.0,0.046044393738146505,-0.044555364581945534,0.08512043840965622,-0.04818131643152335,reduced_before_positive_forward_return,borderline_false_positive,0
production_governed_vol_position_v1_2b_fp_classified,2024-09-25,reduce_position,blocked_dynamic_score_floor,negative_recent_champion,0.0088495575221238,-1.8151541958124957,,113.0,0.0051087576454988,-0.0667723944573469,recent_champion,,0.111161680341427,,,,0.4556337052580725,0.45,0.45,0.05070635111393473,-0.034548715744171066,0.03810025218682678,-0.0461319467636937,0.09707583180574808,-0.04818131643152346,reduced_before_positive_forward_return,borderline_false_positive,0
production_governed_vol_position_v1_2b_fp_classified,2024-09-26,reduce_position,blocked_dynamic_score_floor,negative_recent_champion,0.0263157894736842,-1.7699255761947863,,114.0,0.0171373266470606,-0.0607104668114436,recent_champion,,0.2009575154162051,,,,0.4612097099778815,0.45,0.45,0.043381613450342416,-0.034548715744171066,0.025259379915005375,-0.04818131643152357,0.07117246336493577,-0.04818131643152357,reduced_before_positive_forward_return,borderline_false_positive,0
production_governed_vol_position_v1_2b_fp_classified,2024-10-11,reduce_position,blocked_non_whitelisted_reason,high_volatility|negative_recent_champion,,,,,0.0781265992977167,-0.0345487157441708,defensive,,0.0460518540359248,,,,0.4052792804894403,0.45,0.45,0.009490169225575551,-0.013066730126289228,0.010585346660452188,-0.032801761745362534,0.051839401513539274,-0.04781262635076855,reduced_before_positive_forward_return,borderline_false_positive,0
production_governed_vol_position_v1_2b_fp_classified,2024-10-14,reduce_position,blocked_non_whitelisted_reason,high_volatility|negative_recent_champion,,,,,0.0685710456817305,-0.0445553645819456,defensive,,0.0447289803397139,,,,0.4108143517644226,0.45,0.45,0.025660923219065657,-0.003985734570090549,0.016220298397079613,-0.032801761745362534,0.05230474346387615,-0.04781262635076855,reduced_before_positive_forward_return,borderline_false_positive,0
production_governed_vol_position_v1_2b_fp_classified,2024-10-15,reduce_position,blocked_non_whitelisted_reason,high_volatility|negative_recent_champion,,,,,0.0768432231666624,-0.0445553645819456,defensive,,0.023043691420864,,,,0.4053931217616201,0.45,0.45,0.022903799404725422,-0.011780969696458587,0.0373560098456891,-0.032801761745362534,0.04682323041769987,-0.04781262635076855,reduced_before_positive_forward_return,borderline_false_positive,0
production_governed_vol_position_v1_2b_fp_classified,2024-10-16,reduce_position,blocked_non_whitelisted_reason,high_volatility|negative_recent_champion,,,,,0.046044393738146,-0.0445553645819456,recent_champion,,0.0222190339655259,,,,0.4042963079637167,0.45,0.45,0.0029919298632066216,-0.03280176174536242,0.05681106376256584,-0.03280176174536242,0.04625790889961001,-0.04781262635076888,reduced_before_positive_forward_return,borderline_false_positive,0
production_governed_vol_position_v1_2b_fp_classified,2024-10-17,reduce_position,blocked_non_whitelisted_reason,high_volatility|negative_recent_champion,,,,,0.0381002521868267,-0.0461319467636935,recent_champion,,0.0201458418308778,,,,0.4030136927991389,0.45,0.45,0.015357775091547232,-0.032801761745362534,0.04478191992131486,-0.032801761745362534,0.030716810293026198,-0.04781262635076866,reduced_before_positive_forward_return,borderline_false_positive,0
