strategy,trade_date,symbol,name,industry,side,price,shares,gross_amount,cost,cash_after,reason
adaptive_market_style,2026-03-03,300058,蓝色光标,广告包装,BUY,17.4,2800,48719.99999999999,36.53999999999999,451243.46,rebalance_unlocked
adaptive_market_style,2026-03-03,300394,天孚通信,通信设备,BUY,364.82,100,36482.0,27.3615,414734.0985,rebalance_unlocked
adaptive_market_style,2026-03-03,300502,新易盛,通信设备,BUY,381.0,100,38100.0,28.575,376605.5235,rebalance_unlocked
adaptive_market_style,2026-03-03,601899,紫金矿业,铜,BUY,40.35,1200,48420.0,36.315,328149.2085,rebalance_unlocked
adaptive_market_style,2026-03-04,300308,中际旭创,通信设备,BUY,554.6751,100,55467.51,41.6006325,272640.09786750004,rebalance_unlocked
adaptive_market_style,2026-03-17,300058,蓝色光标,广告包装,SELL,15.48,2800,43344.0,32.508,315951.5898675,rebalance_unlocked
adaptive_market_style,2026-03-17,601899,紫金矿业,铜,SELL,34.73,1200,41675.99999999999,31.256999999999994,357596.3328675,rebalance_unlocked
adaptive_market_style,2026-03-17,000988,华工科技,专用机械,BUY,117.99,300,35397.0,26.54775,322172.7851175,rebalance_unlocked
adaptive_market_style,2026-03-17,300750,宁德时代,电气设备,BUY,422.3003,100,42230.03,31.6725225,279911.082595,rebalance_unlocked
adaptive_market_style,2026-03-18,300308,中际旭创,通信设备,SELL,554.5149,100,55451.49,41.5886175,335320.9839775,rebalance_unlocked
adaptive_market_style,2026-03-25,300394,天孚通信,通信设备,SELL,313.0,100,31300.0,23.475,366597.5089775,rebalance_unlocked
adaptive_market_style,2026-03-25,300274,阳光电源,电气设备,BUY,164.69,300,49407.0,37.05525,317153.45372750005,rebalance_unlocked
adaptive_market_style,2026-03-30,300308,中际旭创,通信设备,BUY,585.6918,100,58569.17999999999,43.926885,258540.34684250006,rebalance_unlocked
adaptive_market_style,2026-03-31,000988,华工科技,专用机械,BUY,105.8,100,10580.0,7.9350000000000005,247952.41184250006,rebalance_unlocked
