strategy,window,window_start,window_end,trading_days,initial_cash,window_start_equity,window_end_equity,total_return,max_drawdown,annualized_volatility,daily_win_rate,avg_gross_exposure,avg_position_count
production_governed_vol_position_v1_2b_dynamic_score,3m,2026-03-25,2026-06-25,62,500000.0,547330.7482475,750048.9244650003,0.370376005489522,-0.0810403787295031,0.373044518908306,0.532258064516129,0.6540072807204218,4.774193548387097
production_governed_vol_position_v1_2b_dynamic_score,6m,2025-12-25,2026-06-25,118,500000.0,500835.8392374999,750048.9244650003,0.49759435268633356,-0.10330587514541001,0.35704662668803805,0.5169491525423728,0.6329763404184807,4.88135593220339
production_governed_vol_position_v1_2b_dynamic_score,1y,2025-09-02,2026-06-25,194,500000.0,492830.0016975,750048.9244650003,0.5219222082290798,-0.13123225966172847,0.325886318747146,0.520618556701031,0.6074437692055579,4.881443298969073
production_governed_vol_position_v1_2b_dynamic_score,3y,2025-09-02,2026-06-25,194,500000.0,492830.0016975,750048.9244650003,0.5219222082290798,-0.13123225966172847,0.325886318747146,0.520618556701031,0.6074437692055579,4.881443298969073
production_governed_vol_position_v1_2b_execution_safe_uplift,3m,2026-03-25,2026-06-25,62,500000.0,547330.7482475,750048.9244650003,0.370376005489522,-0.0810403787295031,0.373044518908306,0.532258064516129,0.6540072807204218,4.774193548387097
production_governed_vol_position_v1_2b_execution_safe_uplift,6m,2025-12-25,2026-06-25,118,500000.0,500835.8392374999,750048.9244650003,0.49759435268633356,-0.10330587514541001,0.35704662668803805,0.5169491525423728,0.6329763404184807,4.88135593220339
production_governed_vol_position_v1_2b_execution_safe_uplift,1y,2025-09-02,2026-06-25,194,500000.0,492830.0016975,750048.9244650003,0.5219222082290798,-0.13123225966172847,0.325886318747146,0.520618556701031,0.6074437692055579,4.881443298969073
production_governed_vol_position_v1_2b_execution_safe_uplift,3y,2025-09-02,2026-06-25,194,500000.0,492830.0016975,750048.9244650003,0.5219222082290798,-0.13123225966172847,0.325886318747146,0.520618556701031,0.6074437692055579,4.881443298969073
adaptive_market_style,3m,2026-03-25,2026-06-25,62,500000.0,576160.3748625002,649745.3577950001,0.12771614665458508,-0.03998402134773649,0.22143602758951142,0.5806451612903226,0.41286786728514746,4.629032258064516
adaptive_market_style,6m,2025-12-25,2026-06-25,118,500000.0,478750.1940875002,649745.3577950001,0.3571699099431538,-0.14502457957036397,0.2883435057821429,0.5847457627118644,0.42966907723033637,4.711864406779661
adaptive_market_style,1y,2025-09-02,2026-06-25,194,500000.0,494109.972835,649745.3577950001,0.3149812663505416,-0.1450245795703642,0.26882954670870307,0.5463917525773195,0.38997783848670725,4.61340206185567
adaptive_market_style,3y,2025-09-02,2026-06-25,194,500000.0,494109.972835,649745.3577950001,0.3149812663505416,-0.1450245795703642,0.26882954670870307,0.5463917525773195,0.38997783848670725,4.61340206185567
baseline_full_liquidity_detail_vol_position,3m,2026-03-25,2026-06-25,62,500000.0,682229.7420574999,890875.7743674997,0.30582957535793653,-0.17596297349823842,0.4920751503535523,0.5483870967741935,0.6863645267286268,5.0
baseline_full_liquidity_detail_vol_position,6m,2025-12-25,2026-06-25,118,500000.0,516691.54038749996,890875.7743674997,0.7241926850580429,-0.1759629734982383,0.47152689645201795,0.576271186440678,0.6925441033871782,4.991525423728813
baseline_full_liquidity_detail_vol_position,1y,2025-09-02,2026-06-25,194,500000.0,492830.0016975,890875.7743674997,0.8076735817603917,-0.1759629734982383,0.4182137386638411,0.5670103092783505,0.6896719449351404,4.984536082474227
baseline_full_liquidity_detail_vol_position,3y,2025-09-02,2026-06-25,194,500000.0,492830.0016975,890875.7743674997,0.8076735817603917,-0.1759629734982383,0.4182137386638411,0.5670103092783505,0.6896719449351404,4.984536082474227
