strategy,trade_date,last_signal_date,cash,market_value,total_equity,nav,position_count,gross_exposure,locked_count,locked_value,candidate_count,executed,equity_before,max_total_positions,position_ratio,position_cap_skipped,cash_residual_ratio,intentional_cash_ratio,planned_cash_buffer_ratio,unexpected_cash_residual_ratio,planned_vs_filled_notional_gap,planned_vs_filled_share_gap,buy_order_shortfall_ratio,t1_not_tradable_reject_count,limit_block_reject_count,adaptive_role,adaptive_underlying_strategy,market_style_state,selected_strategy,target_position_ratio,adaptive_target_position_ratio,risk_decision,fallback_strategy,allow_new_buys,risk_governor_reasons,risk_governor_version,recovery_status,governed_nav_ret_10d,recovery_streak,champion_score_floor,recovery_position,nav_ret_10d_kill,nav_dd_20d_kill,max_recovery_streak,champion_score_pctile_252,champion_score_z_252,champion_score_rank_252,champion_score_sample_count_252,champion_score_percentile_floor,champion_score_z_floor,governed_nav_drawdown_20d,pattern_top5_high_risk_count,pattern_top5_bullish_count,pattern_top5_bearish_count,top_industry_weight,fp_classified_label,fp_classified_gate_reason,route_reason,execution_safe_uplift_preflight_status,execution_safe_uplift_fallback_applied,execution_safe_uplift_hard_block_reasons,execution_safe_uplift_incremental_symbols,execution_safe_uplift_planned_strategy,execution_safe_uplift_planned_position_ratio,decision_timestamp,proxy_asof_timestamp,order_submit_timestamp,fill_timestamp,execution_mode,causality_pass,daily_proxy_approximation,execution_mode_status,execution_promotion_eligible,execution_safe_uplift_final_strategy,execution_safe_uplift_final_position_ratio,adaptive_reason,adaptive_market_amount_ratio_20,adaptive_index_bucket,style_reason,switch_reason,recent_champion_strategy,champion_score,weekly_switch_allowed,market_state,industry_state,adaptive_position_scale,adaptive_position_reason,strategy_source,risk_veto_reason,adaptive_version,ashare_release_tier,ashare_weight_profile,ashare_supplement_limit,ashare_weight_cache_key,dual_intersection_count,dual_union_count,ashare_weighted_hit_count,ashare_supplement_count,ashare_weekly_penalty_count,ashare_risk_veto_filtered_count,ashare_industry_concentration_triggered,ashare_available,ashare_candidate_count,ashare_risk_veto_ratio,ashare_market_regime,ashare_governance_hint,ashare_route_cache_hit,ashare_weekly_unconfirmed_count
adaptive_market_style,2026-03-16,2026-03-13,304959.42675250024,278132.33,583091.7567525003,1.1661835135050007,5,0.47699581888971265,5,276408.56,5,0,581367.9867525003,5,0.48999999999999994,3,0.5245549010291952,0.51,0.51,0.01455490102919521,0.0,0,0.0,0,0,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion,baseline_full_liquidity_detail_vol_position,0.48999999999999994,0.48999999999999994,,,,,,,,,,,,,,,,,,,,,,,,,,,adaptive_v22_ashare_weighted_enhancement,,,,,,,,,,,,,,,,,,recent_champion_default_3m_return_priority,1.003082221707231,index_neutral,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,11.194517730371409,1.0,index_neutral,normal,0.7,attack_completed_history_drawdown_cap_70pct,Chenyiyun2087,ashare_risk_veto_filtered,v2.2,production_stage1,prod_stage1,2.0,v2.2|prod_stage1|production_stage1|limit2|top5|baseline_full_liquidity_detail_vol_position|20260313,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,74.0,0.0,trend_following,,1.0,74.0
adaptive_market_style,2026-03-17,2026-03-16,304959.42675250024,272990.96,577950.3867525002,1.1559007735050004,5,0.47234324304882747,5,274578.11,5,0,579537.5367525002,5,0.48999999999999994,3,0.5262116902062506,0.51,0.51,0.016211690206250573,0.0,0,0.0,0,0,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion,baseline_full_liquidity_detail_vol_position,0.48999999999999994,0.48999999999999994,,,,,,,,,,,,,,,,,,,,,,,,,,,adaptive_v22_ashare_weighted_enhancement,,,,,,,,,,,,,,,,,,recent_champion_default_3m_return_priority,0.9674341082448032,index_neutral,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,11.542333108392148,1.0,index_neutral,normal,0.7,attack_completed_history_drawdown_cap_70pct,Chenyiyun2087,ashare_risk_veto_filtered,v2.2,production_stage1,prod_stage1,2.0,v2.2|prod_stage1|production_stage1|limit2|top5|baseline_full_liquidity_detail_vol_position|20260316,0.0,5.0,0.0,0.0,0.0,2.0,0.0,1.0,70.0,0.0,risk_off,,1.0,70.0
adaptive_market_style,2026-03-18,2026-03-17,304959.42675250024,283259.29,588218.7167525003,1.1764374335050005,5,0.48155436393429923,5,275385.55,5,0,580344.9767525003,5,0.35,3,0.525479566410646,0.65,0.65,0.0,0.0,0,0.0,0,0,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion,baseline_full_liquidity_detail_vol_position,0.35,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,adaptive_v22_ashare_weighted_enhancement,,,,,,,,,,,,,,,,,,recent_champion_default_3m_return_priority,0.9206168461736983,index_neutral,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,10.432517006764805,1.0,index_neutral,normal,0.5,attack_completed_history_drawdown_cap_70pct,Chenyiyun2087,ashare_risk_veto_filtered,v2.2,production_stage1,prod_stage1,2.0,v2.2|prod_stage1|production_stage1|limit2|top5|baseline_full_liquidity_detail_vol_position|20260317,0.0,5.0,0.0,0.0,0.0,2.0,0.0,1.0,104.0,0.0,trend_following,,1.0,104.0
adaptive_market_style,2026-03-19,2026-03-18,306758.07675250026,269622.11,576380.1867525002,1.1527603735050005,4,0.4677851810263157,4,273017.89,5,1,579777.3167525003,5,0.35,4,0.5290976072546515,0.65,0.65,0.0,0.0,0,0.0,0,0,defensive,baseline_full_liquidity,defensive,baseline_full_liquidity,0.35,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,adaptive_v22_ashare_weighted_enhancement,,,,,,,,,,,,,,,,,,defensive_weak_market_or_attack_industry_risk,0.8540632456297291,index_neutral,defensive_weak_market_or_attack_industry_risk,defensive_weak_market_or_attack_industry_risk,baseline_full_liquidity_detail_vol_position,8.981970681070269,1.0,index_neutral,normal,0.5,attack_completed_history_drawdown_cap_70pct,Chenyiyun2087+AShare_supplement,ashare_risk_veto_filtered,v2.2,production_stage1,prod_stage1,2.0,v2.2|prod_stage1|production_stage1|limit2|top5|baseline_full_liquidity|20260318,0.0,5.0,2.0,2.0,2.0,2.0,1.0,1.0,59.0,0.0,risk_off,,1.0,59.0
adaptive_market_style,2026-03-20,2026-03-19,377612.37486250023,192890.0,570502.3748625002,1.1410047497250004,5,0.3381055162942826,3,167240.0,5,3,578958.5967525003,5,0.35,3,0.6523443395451531,0.65,0.65,0.002344339545153118,0.0,0,0.0,0,0,defensive,baseline_full_liquidity,defensive,baseline_full_liquidity,0.35,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,adaptive_v22_ashare_weighted_enhancement,,,,,,,,,,,,,,,,,,defensive_weak_market_or_attack_industry_risk,0.8792104215421715,index_neutral,defensive_weak_market_or_attack_industry_risk,defensive_weak_market_or_attack_industry_risk,baseline_full_liquidity_detail_vol_position,7.694020527561178,0.0,index_neutral,normal,0.5,attack_completed_history_drawdown_cap_70pct,Chenyiyun2087+AShare_supplement,,v2.2,production_stage1,prod_stage1,2.0,v2.2|prod_stage1|production_stage1|limit2|top5|baseline_full_liquidity|20260319,0.0,5.0,2.0,2.0,2.0,0.0,1.0,1.0,59.0,0.0,risk_off,,1.0,59.0
adaptive_market_style,2026-03-23,2026-03-20,377612.37486250023,187486.0,565098.3748625002,1.1301967497250005,5,0.33177586123056735,5,187720.0,5,0,565332.3748625002,5,0.35,5,0.6679475502430634,0.65,0.65,0.01794755024306338,0.0,0,0.0,0,0,defensive,baseline_full_liquidity,defensive,baseline_full_liquidity,0.35,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,adaptive_v22_ashare_weighted_enhancement,,,,,,,,,,,,,,,,,,hold_min_state_5_days,0.9489858193694849,index_neutral,hold_min_state_5_days,hold_min_state_5_days,baseline_full_liquidity_detail_vol_position,7.0837721355597845,0.0,index_neutral,normal,0.5,attack_completed_history_drawdown_cap_70pct,Chenyiyun2087+AShare_supplement,ashare_risk_veto_filtered,v2.2,production_stage1,prod_stage1,2.0,v2.2|prod_stage1|production_stage1|limit2|top5|baseline_full_liquidity|20260320,0.0,5.0,2.0,2.0,2.0,1.0,1.0,1.0,42.0,0.0,risk_off,,1.0,42.0
adaptive_market_style,2026-03-24,2026-03-23,377612.37486250023,192115.0,569727.3748625002,1.1394547497250005,5,0.33720514140006985,5,190293.0,5,0,567905.3748625002,5,0.35,5,0.6649212907236998,0.65,0.65,0.014921290723699743,0.0,0,0.0,0,0,defensive,baseline_full_liquidity,defensive,baseline_full_liquidity,0.35,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,adaptive_v22_ashare_weighted_enhancement,,,,,,,,,,,,,,,,,,defensive_weak_market_or_attack_industry_risk,0.9996041703596413,index_weak,defensive_weak_market_or_attack_industry_risk,defensive_weak_market_or_attack_industry_risk,baseline_full_liquidity_detail_vol_position,6.172649098678816,0.0,index_weak,normal,0.5,attack_completed_history_drawdown_cap_70pct,Chenyiyun2087+AShare_supplement,ashare_risk_veto_filtered,v2.2,production_stage1,prod_stage1,2.0,v2.2|prod_stage1|production_stage1|limit2|top5|baseline_full_liquidity|20260323,0.0,5.0,2.0,2.0,2.0,4.0,1.0,1.0,41.0,0.0,rebound_repair,,1.0,41.0
adaptive_market_style,2026-03-25,2026-03-24,377612.37486250023,198548.0,576160.3748625002,1.1523207497250005,5,0.34460544088507156,5,193269.0,5,0,570881.3748625002,5,0.35,5,0.6614550614012414,0.65,0.65,0.011455061401241418,0.0,0,0.0,0,0,defensive,baseline_full_liquidity,defensive,baseline_full_liquidity,0.35,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,adaptive_v22_ashare_weighted_enhancement,,,,,,,,,,,,,,,,,,defensive_weak_market_or_attack_industry_risk,0.8580006594166897,index_weak,defensive_weak_market_or_attack_industry_risk,defensive_weak_market_or_attack_industry_risk,baseline_full_liquidity_detail_vol_position,5.9124675069920904,0.0,index_weak,normal,0.5,attack_completed_history_drawdown_cap_70pct,Chenyiyun2087,,v2.2,production_stage1,prod_stage1,2.0,v2.2|prod_stage1|production_stage1|limit2|top5|baseline_full_liquidity|20260324,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,trend_following,,1.0,99.0
adaptive_market_style,2026-03-26,2026-03-25,489958.8818500002,82944.70000000001,572903.5818500002,1.1458071637000005,3,0.14477951024875405,2,31267.0,5,4,574563.3748625002,5,0.35,2,0.8529936230450061,0.65,0.65,0.20299362304500612,0.0,0,0.0,0,0,defensive,baseline_full_liquidity,defensive,baseline_full_liquidity,0.35,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,adaptive_v22_ashare_weighted_enhancement,,,,,,,,,,,,,,,,,,defensive_weak_market_or_attack_industry_risk,0.9029406973698948,index_weak,defensive_weak_market_or_attack_industry_risk,defensive_weak_market_or_attack_industry_risk,baseline_full_liquidity_detail_vol_position,6.380702250799071,1.0,index_weak,normal,0.5,attack_completed_history_drawdown_cap_70pct,Chenyiyun2087,ashare_risk_veto_filtered,v2.2,production_stage1,prod_stage1,2.0,v2.2|prod_stage1|production_stage1|limit2|top5|baseline_full_liquidity|20260325,0.0,5.0,0.0,0.0,0.0,3.0,0.0,1.0,107.0,0.0,trend_following,,1.0,107.0
adaptive_market_style,2026-03-27,2026-03-26,489958.8818500002,84597.15,574556.0318500001,1.1491120637000003,3,0.14723916434678708,3,80855.85,5,0,570814.7318500002,5,0.35,2,0.8583500994482961,0.65,0.65,0.20835009944829608,0.0,0,0.0,0,0,defensive,baseline_full_liquidity,defensive,baseline_full_liquidity,0.35,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,adaptive_v22_ashare_weighted_enhancement,,,,,,,,,,,,,,,,,,defensive_weak_market_or_attack_industry_risk,0.8158846535100447,index_weak,defensive_weak_market_or_attack_industry_risk,defensive_weak_market_or_attack_industry_risk,baseline_full_liquidity_detail_vol_position,6.678824513093404,1.0,index_weak,normal,0.5,attack_completed_history_drawdown_cap_70pct,Chenyiyun2087,,v2.2,production_stage1,prod_stage1,2.0,v2.2|prod_stage1|production_stage1|limit2|top5|baseline_full_liquidity|20260326,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,57.0,0.0,trend_following,,1.0,57.0
adaptive_market_style,2026-03-30,2026-03-27,489958.8818500002,82396.0,572354.8818500002,1.1447097637000005,3,0.14395963520687488,3,83910.7,5,0,573869.5818500002,5,0.35,2,0.8537808891534299,0.65,0.65,0.20378088915342984,0.0,0,0.0,0,0,defensive,baseline_full_liquidity,defensive,baseline_full_liquidity,0.35,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,adaptive_v22_ashare_weighted_enhancement,,,,,,,,,,,,,,,,,,defensive_low_liquidity_weak_index,0.7875732925572346,index_weak,defensive_low_liquidity_weak_index,defensive_low_liquidity_weak_index,baseline_full_liquidity_detail_vol_position,6.464706269507597,1.0,index_weak,normal,0.5,attack_completed_history_drawdown_cap_70pct,Chenyiyun2087,,v2.2,production_stage1,prod_stage1,2.0,v2.2|prod_stage1|production_stage1|limit2|top5|baseline_full_liquidity|20260327,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,110.0,0.0,trend_following,normal,1.0,109.0
adaptive_market_style,2026-03-31,2026-03-30,432748.4862100002,137063.48,569811.9662100002,1.1396239324200004,4,0.2405415964000416,3,81863.05,5,1,571821.9318500002,5,0.35,2,0.756845640829248,0.65,0.65,0.10684564082924797,0.0,0,0.0,0,0,defensive,baseline_full_liquidity,defensive,baseline_full_liquidity,0.35,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,adaptive_v22_ashare_weighted_enhancement,,,,,,,,,,,,,,,,,,defensive_weak_market_or_attack_industry_risk,0.8342235648479959,index_weak,defensive_weak_market_or_attack_industry_risk,defensive_weak_market_or_attack_industry_risk,baseline_full_liquidity_detail_vol_position,6.253422575872444,1.0,index_weak,normal,0.5,attack_completed_history_drawdown_cap_70pct,Chenyiyun2087,,v2.2,production_stage1,prod_stage1,2.0,v2.2|prod_stage1|production_stage1|limit2|top5|baseline_full_liquidity|20260330,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,conservative,normal,1.0,4.0
