trade_date,ts_code,stock_name,side,price,current_shares,target_shares,delta_shares,allocated_shares,current_weight,target_weight,delta_weight,note
2026-05-27,000791,000791,SELL,8.8,47000,0,-47000,47000,0.51258216961111,0.0,-0.51258216961111,trusted_strategy:baseline_full_dynamic_factor_industry_cap2; hold_gate=10d
2026-05-27,600507,600507,SELL,4.79,16700,0,-16700,16700,0.09913681212210232,0.0,-0.09913681212210232,trusted_strategy:baseline_full_dynamic_factor_industry_cap2; hold_gate=10d
2026-05-27,600522,600522,SELL,39.05,7600,0,-7600,7600,0.36780497170499327,0.0,-0.36780497170499327,trusted_strategy:baseline_full_dynamic_factor_industry_cap2; hold_gate=10d
2026-05-27,000636,风华高科,BUY,44.22,0,3600,3600,3600,0.0,0.2,0.2,trusted_strategy:baseline_full_dynamic_factor_industry_cap2; hold_gate=10d
2026-05-27,002185,华天科技,BUY,20.15,0,8000,8000,8000,0.0,0.2,0.2,trusted_strategy:baseline_full_dynamic_factor_industry_cap2; hold_gate=10d
2026-05-27,300274,阳光电源,BUY,184.09,0,800,800,800,0.0,0.2,0.2,trusted_strategy:baseline_full_dynamic_factor_industry_cap2; hold_gate=10d
2026-05-27,600183,生益科技,BUY,131.76,0,1200,1200,1200,0.0,0.2,0.2,trusted_strategy:baseline_full_dynamic_factor_industry_cap2; hold_gate=10d
2026-05-27,603601,再升科技,BUY,21.39,0,7500,7500,7500,0.0,0.2,0.2,trusted_strategy:baseline_full_dynamic_factor_industry_cap2; hold_gate=10d
