rank,signal_date,strategy,symbol,name,industry,industry_key,sort_col,rank_score,position_weight,market_exposure_scale,effective_weight,latest_close,score,dynamic_factor_score,dynamic_ic_factor_score,liquidity_detail_score,s_liquidity,s_breakout,s_rs,s_relative_amount,s_amount_ratio_5_20,s_low_impact_cost,s_amount_stability,bs_score_v2,is_bs_candidate,pool_type,bs_gate_label,market_amount_ratio_20,market_liquidity_bucket,index_bucket,vol_20,hist_mdd_20,target_position_ratio
1,2026-06-16,baseline_full_liquidity_detail_vol_position,688146,中船特气,半导体,半导体,liquidity_detail_score,95.80088320743754,0.017315559609214902,0.7,0.07529837842270005,323.0,58.81,,,95.80088320743754,29.44,48.21,100.0,94.51869068371101,95.44838272322293,95.73891148557041,89.65717606042998,60.65,0,,可买,1.0238721492702958,normal_liquidity,index_neutral,0.09131318107921546,-0.07661520869068039,0.7
2,2026-06-16,baseline_full_liquidity_detail_vol_position,301217,铜冠铜箔,元器件,元器件,liquidity_detail_score,95.43526631803215,0.022615037219125243,0.7,0.09834366714102104,178.17,76.93,,,95.43526631803215,29.42,98.47,99.85,98.10187875266318,92.71741235715669,96.72670927755182,81.71605655626574,68.8,0,,可买,1.0238721492702958,normal_liquidity,index_neutral,0.06991537598474705,0.0,0.7
3,2026-06-16,baseline_full_liquidity_detail_vol_position,000657,中钨高新,小金属,小金属,liquidity_detail_score,94.81729227193493,0.03206269138389862,0.7,0.13942770107125096,92.5,72.03,,,94.81729227193493,29.77,99.45,99.42,90.47065659500291,91.6134030602363,99.14778229711409,84.15649815998451,68.41,0,,可买,1.0238721492702958,normal_liquidity,index_neutral,0.04931397714410876,0.0,0.7
4,2026-06-16,baseline_full_liquidity_detail_vol_position,600378,昊华科技,化工原料,化工原料,liquidity_detail_score,94.32995545225646,0.028435593274269654,0.7,0.12365491565750338,58.0,60.33,,,94.32995545225646,29.09,48.21,99.24,96.74607786170832,97.8694557427852,97.32713538640326,69.14584543869843,62.31,0,,可买,1.0238721492702958,normal_liquidity,index_neutral,0.05560421457831531,-0.09218970104867741,0.7
5,2026-06-16,baseline_full_liquidity_detail_vol_position,002466,天齐锂业,小金属,小金属,liquidity_detail_score,94.15128413712957,0.0605426026324161,0.7,0.2632753377075244,63.99,42.81,,,94.15128413712957,29.37,48.21,74.88,84.1177609916715,90.5481309316289,98.06314158435019,98.76041061398412,56.29,1,,可买,1.0238721492702958,normal_liquidity,index_neutral,0.026116135767800742,-0.06117957746478864,0.7
