strategy,strategy_display_name,trade_date,ts_code,stock_name,side,price,current_shares,target_shares,delta_shares,allocated_shares,current_weight,target_weight,delta_weight,note,base_strategy,hold_days,position_ratio
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2026-06-16,000831,中国稀土,BUY,60.97,0,1100,1100,1100,0.0,0.2,0.2,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5,tiered_liquidity_then_bs_v2,10,0.7
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2026-06-16,600141,兴发集团,BUY,39.13,0,1700,1700,1700,0.0,0.2,0.2,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5,tiered_liquidity_then_bs_v2,10,0.7
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2026-06-16,600176,中国巨石,BUY,49.64,0,1400,1400,1400,0.0,0.2,0.2,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5,tiered_liquidity_then_bs_v2,10,0.7
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2026-06-16,600459,贵研铂业,BUY,27.68,0,2500,2500,2500,0.0,0.2,0.2,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5,tiered_liquidity_then_bs_v2,10,0.7
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2026-06-16,601958,金钼股份,BUY,28.88,0,2400,2400,2400,0.0,0.2,0.2,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5,tiered_liquidity_then_bs_v2,10,0.7
baseline_full_liquidity_detail,流动性质量防守策略,2026-06-16,000657,中钨高新,BUY,92.5,0,700,700,700,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail,流动性质量防守策略,2026-06-16,002466,天齐锂业,BUY,63.99,0,1000,1000,1000,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail,流动性质量防守策略,2026-06-16,301217,铜冠铜箔,BUY,178.17,0,300,300,300,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail,流动性质量防守策略,2026-06-16,600378,昊华科技,BUY,58.0,0,1200,1200,1200,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail,流动性质量防守策略,2026-06-16,688146,中船特气,BUY,323.0,0,200,200,200,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2026-06-16,000657,中钨高新,BUY,92.5,0,700,700,700,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail_hold12_shadow; hold_gate=12d; max_positions=5,baseline_full_liquidity_detail,12,0.7
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2026-06-16,002466,天齐锂业,BUY,63.99,0,1000,1000,1000,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail_hold12_shadow; hold_gate=12d; max_positions=5,baseline_full_liquidity_detail,12,0.7
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2026-06-16,301217,铜冠铜箔,BUY,178.17,0,300,300,300,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail_hold12_shadow; hold_gate=12d; max_positions=5,baseline_full_liquidity_detail,12,0.7
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2026-06-16,600378,昊华科技,BUY,58.0,0,1200,1200,1200,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail_hold12_shadow; hold_gate=12d; max_positions=5,baseline_full_liquidity_detail,12,0.7
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2026-06-16,688146,中船特气,BUY,323.0,0,200,200,200,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail_hold12_shadow; hold_gate=12d; max_positions=5,baseline_full_liquidity_detail,12,0.7
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2026-06-16,000657,中钨高新,BUY,92.5,0,500,500,500,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail_market_gate_pos50_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2026-06-16,002466,天齐锂业,BUY,63.99,0,700,700,700,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail_market_gate_pos50_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2026-06-16,301217,铜冠铜箔,BUY,178.17,0,200,200,200,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail_market_gate_pos50_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2026-06-16,600378,昊华科技,BUY,58.0,0,800,800,800,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail_market_gate_pos50_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2026-06-16,688146,中船特气,BUY,323.0,0,100,100,100,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail_market_gate_pos50_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_shadow,纯流动性防守策略（影子）,2026-06-16,000725,京东方Ａ,BUY,6.1,0,8100,8100,8100,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity,10,0.5
baseline_full_liquidity_shadow,纯流动性防守策略（影子）,2026-06-16,300394,天孚通信,BUY,324.71,0,100,100,100,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity,10,0.5
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-06-16,000657,中钨高新,BUY,92.5,0,700,700,700,0.0,0.19918243010178713,0.19918243010178713,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-06-16,002466,天齐锂业,BUY,63.99,0,2000,2000,2000,0.0,0.3761076252964636,0.3761076252964636,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-06-16,301217,铜冠铜箔,BUY,178.17,0,200,200,200,0.0,0.14049095305860151,0.14049095305860151,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-06-16,600378,昊华科技,BUY,58.0,0,1000,1000,1000,0.0,0.17664987951071914,0.17664987951071914,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-06-16,688146,中船特气,BUY,323.0,0,100,100,100,0.0,0.10756911203242867,0.10756911203242867,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
