strategy,strategy_display_name,trade_date,ts_code,stock_name,side,price,current_shares,target_shares,delta_shares,allocated_shares,current_weight,target_weight,delta_weight,note,base_strategy,hold_days,position_ratio
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2026-06-16,000831,中国稀土,BUY,60.97,0,1100,1100,1100,0.0,0.2,0.2,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5,tiered_liquidity_then_bs_v2,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,2026-06-16,000657,中钨高新,BUY,92.5,0,1200,1200,1200,0.0,0.3326548250797696,0.3326548250797696,trusted_strategy:baseline_full_liquidity_detail_hist_mdd_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,2026-06-16,002466,天齐锂业,BUY,63.99,0,700,700,700,0.0,0.13593377024842407,0.13593377024842407,trusted_strategy:baseline_full_liquidity_detail_hist_mdd_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,2026-06-16,301217,铜冠铜箔,BUY,178.17,0,600,600,600,0.0,0.3326548250797696,0.3326548250797696,trusted_strategy:baseline_full_liquidity_detail_hist_mdd_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,2026-06-16,600378,昊华科技,BUY,58.0,0,500,500,500,0.0,0.09020932416955213,0.09020932416955213,trusted_strategy:baseline_full_liquidity_detail_hist_mdd_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,2026-06-16,688146,中船特气,BUY,323.0,0,100,100,100,0.0,0.10854725542248451,0.10854725542248451,trusted_strategy:baseline_full_liquidity_detail_hist_mdd_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_score,基础综合评分策略,2026-06-16,000831,中国稀土,BUY,60.97,0,1100,1100,1100,0.0,0.2,0.2,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.7
baseline_full_score,基础综合评分策略,2026-06-16,002167,东方锆业,BUY,15.29,0,4500,4500,4500,0.0,0.2,0.2,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.7
baseline_full_score,基础综合评分策略,2026-06-16,002718,友邦吊顶,BUY,110.9,0,600,600,600,0.0,0.2,0.2,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.7
baseline_full_score,基础综合评分策略,2026-06-16,003025,思进智能,BUY,17.43,0,4000,4000,4000,0.0,0.2,0.2,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.7
baseline_full_score,基础综合评分策略,2026-06-16,300825,阿尔特,BUY,17.37,0,4000,4000,4000,0.0,0.2,0.2,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.7
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-06-16,000657,中钨高新,BUY,92.5,0,700,700,700,0.0,0.1991824301017871,0.1991824301017871,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5,adaptive_style_switch_dynamic_position,10,0.7
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-06-16,002466,天齐锂业,BUY,63.99,0,2000,2000,2000,0.0,0.3761076252964636,0.3761076252964636,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5,adaptive_style_switch_dynamic_position,10,0.7
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-06-16,301217,铜冠铜箔,BUY,178.17,0,200,200,200,0.0,0.14049095305860151,0.14049095305860151,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5,adaptive_style_switch_dynamic_position,10,0.7
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-06-16,600378,昊华科技,BUY,58.0,0,1000,1000,1000,0.0,0.17664987951071912,0.17664987951071912,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5,adaptive_style_switch_dynamic_position,10,0.7
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-06-16,688146,中船特气,BUY,323.0,0,100,100,100,0.0,0.10756911203242865,0.10756911203242865,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5,adaptive_style_switch_dynamic_position,10,0.7
adaptive_style_shadow,市场风格自适应生产策略（影子）,2026-06-16,000657,中钨高新,BUY,92.5,0,700,700,700,0.0,0.1991824301017871,0.1991824301017871,trusted_strategy:adaptive_style_shadow; hold_gate=10d; max_positions=5,adaptive_market_style,10,0.7
adaptive_style_shadow,市场风格自适应生产策略（影子）,2026-06-16,002466,天齐锂业,BUY,63.99,0,2000,2000,2000,0.0,0.3761076252964636,0.3761076252964636,trusted_strategy:adaptive_style_shadow; hold_gate=10d; max_positions=5,adaptive_market_style,10,0.7
adaptive_style_shadow,市场风格自适应生产策略（影子）,2026-06-16,301217,铜冠铜箔,BUY,178.17,0,200,200,200,0.0,0.14049095305860151,0.14049095305860151,trusted_strategy:adaptive_style_shadow; hold_gate=10d; max_positions=5,adaptive_market_style,10,0.7
adaptive_style_shadow,市场风格自适应生产策略（影子）,2026-06-16,600378,昊华科技,BUY,58.0,0,1000,1000,1000,0.0,0.17664987951071912,0.17664987951071912,trusted_strategy:adaptive_style_shadow; hold_gate=10d; max_positions=5,adaptive_market_style,10,0.7
adaptive_style_shadow,市场风格自适应生产策略（影子）,2026-06-16,688146,中船特气,BUY,323.0,0,100,100,100,0.0,0.10756911203242865,0.10756911203242865,trusted_strategy:adaptive_style_shadow; hold_gate=10d; max_positions=5,adaptive_market_style,10,0.7
ashare_auto_shadow,AShare AUTO策略（影子）,2026-06-16,002965,祥鑫科技,BUY,42.92,0,1600,1600,1600,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,0.7
ashare_auto_shadow,AShare AUTO策略（影子）,2026-06-16,002993,奥海科技,BUY,71.75,0,900,900,900,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,0.7
ashare_auto_shadow,AShare AUTO策略（影子）,2026-06-16,300607,拓斯达,BUY,36.35,0,1900,1900,1900,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,0.7
ashare_auto_shadow,AShare AUTO策略（影子）,2026-06-16,301132,满坤科技,BUY,44.05,0,1500,1500,1500,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,0.7
ashare_auto_shadow,AShare AUTO策略（影子）,2026-06-16,600206,有研新材,BUY,39.11,0,1700,1700,1700,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,0.7
ashare_trend_breakout_shadow,AShare趋势突破策略（影子）,2026-06-16,000831,中国稀土,BUY,60.97,0,1100,1100,1100,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:ashare_trend_breakout_shadow; hold_gate=10d; max_positions=5,ashare_trend_breakout_shadow,10,0.7
ashare_trend_breakout_shadow,AShare趋势突破策略（影子）,2026-06-16,002353,杰瑞股份,BUY,152.51,0,400,400,400,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:ashare_trend_breakout_shadow; hold_gate=10d; max_positions=5,ashare_trend_breakout_shadow,10,0.7
ashare_trend_breakout_shadow,AShare趋势突破策略（影子）,2026-06-16,002965,祥鑫科技,BUY,42.92,0,1600,1600,1600,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:ashare_trend_breakout_shadow; hold_gate=10d; max_positions=5,ashare_trend_breakout_shadow,10,0.7
ashare_trend_breakout_shadow,AShare趋势突破策略（影子）,2026-06-16,600206,有研新材,BUY,39.11,0,1700,1700,1700,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:ashare_trend_breakout_shadow; hold_gate=10d; max_positions=5,ashare_trend_breakout_shadow,10,0.7
ashare_trend_breakout_shadow,AShare趋势突破策略（影子）,2026-06-16,600392,盛和资源,BUY,29.03,0,2400,2400,2400,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:ashare_trend_breakout_shadow; hold_gate=10d; max_positions=5,ashare_trend_breakout_shadow,10,0.7
ashare_hybrid_conservative_shadow,AShare保守混合策略（影子）,2026-06-16,002428,云南锗业,BUY,101.2,0,1700,1700,1700,0.0,0.5,0.5,trusted_strategy:ashare_hybrid_conservative_shadow; hold_gate=10d; max_positions=5,ashare_hybrid_conservative_shadow,10,0.7
ashare_hybrid_conservative_shadow,AShare保守混合策略（影子）,2026-06-16,600909,华安证券,BUY,8.39,0,20800,20800,20800,0.0,0.5,0.5,trusted_strategy:ashare_hybrid_conservative_shadow; hold_gate=10d; max_positions=5,ashare_hybrid_conservative_shadow,10,0.7
dual_system_adaptive_route,双系统自适应路由策略,2026-06-16,000657,中钨高新,BUY,92.5,0,700,700,700,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:dual_system_adaptive_route; hold_gate=10d; max_positions=5,dual_system_adaptive_route,10,0.7
dual_system_adaptive_route,双系统自适应路由策略,2026-06-16,002466,天齐锂业,BUY,63.99,0,1000,1000,1000,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:dual_system_adaptive_route; hold_gate=10d; max_positions=5,dual_system_adaptive_route,10,0.7
dual_system_adaptive_route,双系统自适应路由策略,2026-06-16,301217,铜冠铜箔,BUY,178.17,0,300,300,300,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:dual_system_adaptive_route; hold_gate=10d; max_positions=5,dual_system_adaptive_route,10,0.7
dual_system_adaptive_route,双系统自适应路由策略,2026-06-16,600378,昊华科技,BUY,58.0,0,1200,1200,1200,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:dual_system_adaptive_route; hold_gate=10d; max_positions=5,dual_system_adaptive_route,10,0.7
dual_system_adaptive_route,双系统自适应路由策略,2026-06-16,688146,中船特气,BUY,323.0,0,200,200,200,0.0,0.19999999999999998,0.19999999999999998,trusted_strategy:dual_system_adaptive_route; hold_gate=10d; max_positions=5,dual_system_adaptive_route,10,0.7
