strategy,strategy_display_name,rank,signal_date,symbol,name,industry,rank_score,effective_weight,sort_col,adaptive_role,adaptive_underlying_strategy,adaptive_position_scale,adaptive_position_reason,market_style_state,selected_strategy,recent_champion_strategy,champion_score,weekly_switch_allowed,market_state,industry_state,adaptive_version,strategy_source,ashare_resolved_strategy,ashare_release_tier,ashare_weight_profile,ashare_supplement_limit,ashare_weight_cache_key,dual_intersection_count,dual_union_count,ashare_weighted_hit_count,ashare_supplement_count,ashare_weekly_penalty_count,ashare_risk_veto_filtered_count,ashare_weight_penalty,ashare_weight_reason,ashare_supplement,target_position_ratio,style_reason,switch_reason,route_reason,risk_veto_reason,base_strategy,hold_days,position_ratio
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,1,2026-06-16,601958,金钼股份,小金属,74.01,0.2,bs_score_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tiered_liquidity_then_bs_v2,10,0.7
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2,2026-06-16,600141,兴发集团,农药化肥,72.92,0.2,bs_score_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tiered_liquidity_then_bs_v2,10,0.7
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,3,2026-06-16,600176,中国巨石,玻璃,71.88,0.2,bs_score_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tiered_liquidity_then_bs_v2,10,0.7
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,4,2026-06-16,000831,中国稀土,小金属,71.66,0.2,bs_score_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tiered_liquidity_then_bs_v2,10,0.7
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,5,2026-06-16,600459,贵研铂业,小金属,71.06,0.2,bs_score_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tiered_liquidity_then_bs_v2,10,0.7
baseline_full_liquidity_detail,流动性质量防守策略,1,2026-06-16,688146,中船特气,半导体,95.80088320743754,0.2,liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail,流动性质量防守策略,2,2026-06-16,301217,铜冠铜箔,元器件,95.43526631803215,0.2,liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail,流动性质量防守策略,3,2026-06-16,000657,中钨高新,小金属,94.81729227193493,0.2,liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail,流动性质量防守策略,4,2026-06-16,600378,昊华科技,化工原料,94.32995545225646,0.2,liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail,流动性质量防守策略,5,2026-06-16,002466,天齐锂业,小金属,94.15128413712957,0.2,liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,1,2026-06-16,688146,中船特气,半导体,95.80088320743754,0.2,baseline_full_liquidity_detail:liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail,12,0.7
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2,2026-06-16,301217,铜冠铜箔,元器件,95.43526631803215,0.2,baseline_full_liquidity_detail:liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail,12,0.7
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,3,2026-06-16,000657,中钨高新,小金属,94.81729227193493,0.2,baseline_full_liquidity_detail:liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail,12,0.7
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,4,2026-06-16,600378,昊华科技,化工原料,94.32995545225646,0.2,baseline_full_liquidity_detail:liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail,12,0.7
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,5,2026-06-16,002466,天齐锂业,小金属,94.15128413712957,0.2,baseline_full_liquidity_detail:liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail,12,0.7
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,1,2026-06-16,688146,中船特气,半导体,95.80088320743754,0.2,baseline_full_liquidity_detail_market_gate:liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2,2026-06-16,301217,铜冠铜箔,元器件,95.43526631803215,0.2,baseline_full_liquidity_detail_market_gate:liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,3,2026-06-16,000657,中钨高新,小金属,94.81729227193493,0.2,baseline_full_liquidity_detail_market_gate:liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,4,2026-06-16,600378,昊华科技,化工原料,94.32995545225646,0.2,baseline_full_liquidity_detail_market_gate:liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,5,2026-06-16,002466,天齐锂业,小金属,94.15128413712957,0.2,baseline_full_liquidity_detail_market_gate:liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_shadow,纯流动性防守策略（影子）,1,2026-06-16,300308,中际旭创,通信设备,30.0,0.2,baseline_full_liquidity:s_liquidity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity,10,0.5
baseline_full_liquidity_shadow,纯流动性防守策略（影子）,2,2026-06-16,603986,兆易创新,半导体,29.99,0.2,baseline_full_liquidity:s_liquidity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity,10,0.5
baseline_full_liquidity_shadow,纯流动性防守策略（影子）,3,2026-06-16,300502,新易盛,通信设备,29.99,0.2,baseline_full_liquidity:s_liquidity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity,10,0.5
baseline_full_liquidity_shadow,纯流动性防守策略（影子）,4,2026-06-16,000725,京东方Ａ,元器件,29.98,0.2,baseline_full_liquidity:s_liquidity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity,10,0.5
baseline_full_liquidity_shadow,纯流动性防守策略（影子）,5,2026-06-16,300394,天孚通信,通信设备,29.98,0.2,baseline_full_liquidity:s_liquidity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity,10,0.5
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,1,2026-06-16,688146,中船特气,半导体,95.80088320743754,0.017315559609214902,baseline_full_liquidity_detail_vol_position:liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2,2026-06-16,301217,铜冠铜箔,元器件,95.43526631803215,0.022615037219125243,baseline_full_liquidity_detail_vol_position:liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,3,2026-06-16,000657,中钨高新,小金属,94.81729227193493,0.03206269138389862,baseline_full_liquidity_detail_vol_position:liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,4,2026-06-16,600378,昊华科技,化工原料,94.32995545225646,0.028435593274269654,baseline_full_liquidity_detail_vol_position:liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,5,2026-06-16,002466,天齐锂业,小金属,94.15128413712957,0.0605426026324161,baseline_full_liquidity_detail_vol_position:liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,1,2026-06-16,688146,中船特气,半导体,95.80088320743754,0.06526119402985074,baseline_full_liquidity_detail_hist_mdd_position:liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,2,2026-06-16,301217,铜冠铜箔,元器件,95.43526631803215,0.2,baseline_full_liquidity_detail_hist_mdd_position:liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,3,2026-06-16,000657,中钨高新,小金属,94.81729227193493,0.2,baseline_full_liquidity_detail_hist_mdd_position:liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,4,2026-06-16,600378,昊华科技,化工原料,94.32995545225646,0.05423599320882853,baseline_full_liquidity_detail_hist_mdd_position:liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
