dimension,bucket,event_count,positive_rate,cumulative_theory_gap,avg_theory_gap,median_theory_gap,max_drawdown_after_event,degraded_count
event_source_window,missing,98,0.5612244897959183,0.049445384100849844,0.0005045447357229576,0.0009781855518634,,4
position_diff_bucket,0.05_0.10,51,0.5882352941176471,0.03357742393431273,0.0006583808614571124,0.00095978326315,,3
position_diff_bucket,0.10_0.15,8,0.375,-0.024638444467914297,-0.003079805558489287,-0.0053581673509718,,1
position_diff_bucket,zero,39,0.5641025641025641,0.040506404634451404,0.0010386257598577282,0.0012735068363806,,0
shadow_recovery_status,blocked_kill_switch,31,0.5806451612903226,0.041687982915138,0.0013447736424238065,0.0017919011435163,,0
shadow_recovery_status,blocked_recovery_streak_exceeded,8,0.5,-0.0011815782806865963,-0.00014769728508582454,-0.00104941773503275,,0
shadow_recovery_status,recovered,59,0.559322033898305,0.00893897946639844,0.00015150812654912612,0.0005997342615587,,4
shadow_risk_decision,hard_reduce,31,0.5806451612903226,0.041687982915138,0.0013447736424238065,0.0017919011435163,,0
shadow_risk_decision,recovery_reduce,59,0.559322033898305,0.00893897946639844,0.00015150812654912612,0.0005997342615587,,4
shadow_risk_decision,reduce_position,8,0.5,-0.0011815782806865963,-0.00014769728508582454,-0.00104941773503275,,0
top5_overlap_bucket,full_overlap,98,0.5612244897959183,0.049445384100849844,0.0005045447357229576,0.0009781855518634,,4
execution_feasibility,degraded_large_slippage_proxy,4,0.75,0.0163980689067631,0.004099517226690775,0.0018874422048196999,,4
execution_feasibility,pass,94,0.5531914893617021,0.03304731519408674,0.0003515671829158164,0.00077975876235435,,0
large_slippage_proxy_bucket,1_3pct,58,0.5517241379310345,0.04876152915724514,0.0008407160199525024,0.0011004483176794999,,0
large_slippage_proxy_bucket,3_5pct,4,0.75,0.0163980689067631,0.004099517226690775,0.0018874422048196999,,4
large_slippage_proxy_bucket,le_1pct,36,0.5555555555555556,-0.015714213963158398,-0.0004365059434210666,0.00058462558231665,,0
open_gap_proxy_bucket,1_3pct,31,0.5161290322580645,-0.0411427823471022,-0.0013271865273258774,0.0005451907036762,,0
open_gap_proxy_bucket,3_5pct,3,0.6666666666666666,0.013766383279577401,0.0045887944265258,0.0011431987824537,,3
open_gap_proxy_bucket,le_1pct,64,0.578125,0.07682178316837465,0.001200340362005854,0.0011166450497653,,1
estimated_turnover_impact_bucket,le_0.5pct,98,0.5612244897959183,0.049445384100849844,0.0005045447357229576,0.0009781855518634,,4
fp_explanation_label,unknown_pending_forward_return,98,0.5612244897959183,0.049445384100849844,0.0005045447357229576,0.0009781855518634,,4
