feature,spearman_max_ret20,spearman_hit20
rs_liquidity_combo,0.1897078521025913,0.20218303016486003
s_liquidity,0.15787509123288915,0.1682535636777691
s_rs,0.16524869161060493,0.16284624050007626
s_breakout,0.13375865454982047,0.15382746275373213
bs_score_v2,0.11520765854762997,0.12534993002790387
bs_score,0.12104871774609528,0.10760774851260968
claude_score,0.10851577469427412,0.08530589667857431
opt_score,0.08965615152345215,0.07723771137994284
market_hs300_ret_5,0.03555000437508416,0.040424449139727446
market_hs300_pct_chg,0.039022026655688526,0.023856489231908213
market_limit_up_rate,0.03988753639426757,0.012867236369106269
market_avg_research_score,-0.016148256640575245,0.004428039008512461
breakout_volume_combo,-0.034521071975945505,-0.001520523020436946
score,-0.02466415839023474,-0.002560728319008241
score_dispersion,-0.0038218884610853533,-0.007270632544659672
market_bs_ratio,-0.008290071414745658,-0.011819618213458111
s_volume,-0.05265005829274081,-0.027941093438897516
market_avg_price_change,-0.11937089396777427,-0.07406381525090738
price_change_ratio,-0.11207498951961116,-0.07856631157948052
market_hs300_ret_20,-0.15751003036492045,-0.15045034863806292
