score_col,top_n,days,avg_hit,avg_max_ret,avg_mdd
opt_score,3,43,0.2635658914728682,0.07423080620155038,-0.11971579457364342
breakout_volume_combo,3,43,0.2558139534883721,0.07112915503875969,-0.11608035271317829
bs_score_v2,3,43,0.2558139534883721,0.07937231007751938,-0.11301303488372093
rs_liquidity_combo,3,43,0.2558139534883721,0.07223224031007751,-0.12474298062015504
bs_score,3,43,0.22480620155038758,0.07135675193798449,-0.11115746899224806
claude_score,3,36,0.2222222222222222,0.07555107407407408,-0.10503530092592592
score,3,43,0.20155038759689922,0.06035712403100775,-0.11108362403100776
rs_liquidity_combo,5,43,0.28488372093023256,0.08047830465116279,-0.1159621023255814
claude_score,5,36,0.26805555555555555,0.07854232083333333,-0.1090652875
bs_score_v2,5,43,0.2616279069767442,0.07744445813953489,-0.1118084558139535
opt_score,5,43,0.24767441860465117,0.07287387209302325,-0.11379368837209301
breakout_volume_combo,5,43,0.24302325581395348,0.07178801162790698,-0.11589888837209301
score,5,43,0.23372093023255816,0.06980593255813954,-0.11135900465116279
bs_score,5,43,0.22906976744186044,0.0711200534883721,-0.11213914418604651
rs_liquidity_combo,10,43,0.2689922480620155,0.07701500836101882,-0.10958555394979697
claude_score,10,36,0.26728395061728394,0.0758465709435626,-0.10902406274250441
bs_score_v2,10,43,0.26666666666666666,0.07638607580287929,-0.10955108883351791
breakout_volume_combo,10,43,0.2434108527131783,0.06921268277962347,-0.11056057488002953
bs_score,10,43,0.24108527131782947,0.07026202696566998,-0.10908439115909929
opt_score,10,43,0.23643410852713176,0.06860383626799557,-0.11070664464747139
score,10,43,0.23410852713178293,0.07065588045404209,-0.10681912139165743
