ablation,description,total_return,max_drawdown,calmar,sharpe
B0,仅使用大盘趋势 (hs300_ret_20),0.0,0.0,0.0,0.0
B1,B0 + 成交额相对20日均值,0.0,0.0,0.0,0.0
B2,B1 + 市场广度 + 中证1000/创业板趋势,0.0,0.0,0.0,0.0
B3,B2 + 候选池质量,0.0,0.0,0.0,0.0
B4,B3 + 状态迟滞与恢复机制,0.0,0.0,0.0,0.0
B5,B4 + 账户级风险治理器,0.0,0.0,0.0,0.0
