signal_date,execution_date,symbol,side,shares_delta,price,notional,trade_cost,risk_state_on_signal,risk_state_on_execution,allow_new_buys,position_count_before,position_count_after,blocked_reason
2026-04-09,2026-04-10,300342,SELL,4600,54.62,251244.64,188.4335,True,True,False,2,5,
2026-04-09,2026-04-10,300548,BUY,200,229.96,45992.0,34.494,True,True,False,2,5,
2026-04-09,2026-04-10,600487,BUY,1100,59.21,65131.0,48.8483,True,True,False,2,5,
2026-04-09,2026-04-10,601869,BUY,100,392.0,39200.0,29.4,True,True,False,2,5,
2026-04-09,2026-04-10,603588,BUY,4100,18.33,75153.41,56.3651,True,True,False,2,5,
2026-04-10,2026-04-13,601689,SELL,300,59.93,17980.11,13.4851,True,True,False,5,4,
2026-04-14,2026-04-15,002436,BUY,2800,25.41,71149.4,53.362,True,True,False,4,5,
2026-04-23,2026-04-24,300548,SELL,200,265.15,53030.0,39.7725,True,True,False,5,2,
2026-04-23,2026-04-24,601869,SELL,100,378.39,37839.0,28.3792,True,True,False,5,2,
2026-04-23,2026-04-24,603588,SELL,4100,15.32,62813.64,47.1102,True,True,False,5,2,
2026-04-23,2026-04-24,600487,BUY,1900,68.0,129200.0,96.9,True,True,False,5,2,
2026-04-28,2026-04-29,002436,SELL,2800,27.49,76978.16,57.7336,True,True,False,2,5,
2026-04-28,2026-04-29,600487,SELL,3000,67.0,201000.0,150.75,True,True,False,2,5,
2026-04-28,2026-04-29,000062,BUY,1200,35.12,42144.0,31.608,True,True,False,2,5,
2026-04-28,2026-04-29,002156,BUY,1600,49.36,78969.6,59.2272,True,True,False,2,5,
2026-04-28,2026-04-29,300408,BUY,1000,81.71,81705.3,61.279,True,True,False,2,5,
2026-04-28,2026-04-29,688106,BUY,1100,40.74,44814.99,33.6112,True,True,False,2,5,
2026-04-28,2026-04-29,688268,BUY,100,197.0,19700.0,14.775,True,True,False,2,5,
2026-05-15,2026-05-18,000062,SELL,1200,31.69,38028.0,28.521,True,True,False,5,5,
2026-05-15,2026-05-18,002156,SELL,1600,57.67,92264.64,69.1985,True,True,False,5,5,
2026-05-15,2026-05-18,300408,SELL,1000,85.06,85060.0,63.795,True,True,False,5,5,
2026-05-15,2026-05-18,688106,SELL,1100,31.74,34917.74,26.1883,True,True,False,5,5,
2026-05-15,2026-05-18,688268,SELL,100,181.0,18100.0,13.575,True,True,False,5,5,
2026-05-15,2026-05-18,002281,BUY,200,195.0,39000.0,29.25,True,True,False,5,5,
2026-05-15,2026-05-18,300782,BUY,300,129.0,38700.0,29.025,True,True,False,5,5,
2026-05-15,2026-05-18,600584,BUY,1200,57.47,68964.0,51.723,True,True,False,5,5,
2026-05-15,2026-05-18,603667,BUY,800,81.85,65481.52,49.1111,True,True,False,5,5,
2026-05-15,2026-05-18,688008,BUY,100,247.2,24720.0,18.54,True,True,False,5,5,
2026-05-29,2026-06-01,002281,SELL,200,208.06,41612.0,31.209,False,False,False,5,5,
2026-05-29,2026-06-01,300782,SELL,300,109.89,32967.0,24.7252,False,False,False,5,5,
2026-05-29,2026-06-01,600584,SELL,300,80.1,24030.0,18.0225,False,False,False,5,5,
2026-05-29,2026-06-01,603667,SELL,800,71.87,57498.72,43.124,False,False,False,5,5,
2026-05-29,2026-06-01,688008,SELL,100,250.88,25088.0,18.816,False,False,False,5,5,
2026-05-29,2026-06-01,002463,BUY,700,132.04,92428.0,69.321,False,False,False,5,5,
2026-05-29,2026-06-01,002916,BUY,200,412.0,82400.0,61.8,False,False,False,5,5,
2026-05-29,2026-06-01,300373,BUY,600,105.21,63126.0,47.3445,False,False,False,5,5,
2026-05-29,2026-06-01,600183,BUY,600,141.41,84843.72,63.6328,False,False,False,5,5,
2026-06-01,2026-06-02,600584,BUY,600,76.86,46116.0,34.587,False,False,False,5,5,
2026-06-02,2026-06-03,600584,SELL,1500,76.23,114345.0,85.7588,False,False,False,5,5,
2026-06-02,2026-06-03,300620,BUY,300,333.0,99900.0,74.925,False,False,False,5,5,
2026-06-12,2026-06-15,002463,SELL,700,128.5,89950.0,67.4625,False,False,False,5,5,
2026-06-12,2026-06-15,002916,SELL,200,386.96,77392.0,58.044,False,False,False,5,5,
2026-06-12,2026-06-15,300373,SELL,600,98.77,59262.0,44.4465,False,False,False,5,5,
2026-06-12,2026-06-15,600183,SELL,600,159.11,95466.0,71.5995,False,False,False,5,5,
2026-06-12,2026-06-15,000657,BUY,1000,80.8,80800.0,60.6,False,False,False,5,5,
2026-06-12,2026-06-15,002466,BUY,2300,62.99,144877.0,108.6578,False,False,False,5,5,
2026-06-12,2026-06-15,600869,BUY,2300,31.06,71438.0,53.5785,False,False,False,5,5,
2026-06-12,2026-06-15,688146,BUY,100,310.18,31018.27,23.2637,False,False,False,5,5,
2026-06-16,2026-06-17,300620,SELL,300,379.1,113730.0,85.2975,False,False,False,5,5,
2026-06-16,2026-06-17,301217,BUY,600,178.19,106914.0,80.1855,False,False,False,5,5,
2026-06-29,2026-06-30,000657,SELL,1000,94.0,94000.0,70.5,False,False,False,5,4,
2026-06-29,2026-06-30,002466,SELL,2300,59.9,137770.0,103.3275,False,False,False,5,4,
2026-06-29,2026-06-30,600869,SELL,2300,33.15,76245.0,57.1838,False,False,False,5,4,
2026-06-29,2026-06-30,688146,SELL,100,355.0,35500.0,26.625,False,False,False,5,4,
2026-06-29,2026-06-30,000021,BUY,1400,59.45,83230.0,62.4225,False,False,False,5,4,
2026-06-29,2026-06-30,688012,BUY,200,457.0,91400.0,68.55,False,False,False,5,4,
2026-06-29,2026-06-30,688110,BUY,400,188.44,75376.0,56.532,False,False,False,5,4,
