名称,Full Ticker,现价,行业,5日移动均线,10日移动均线,20日移动均线,市盈增长比率,公允价值,公允价值上行边际,公允价值不确定性,价格动能评分,现金流评分,财务成长稳健度评分,盈利评分,atr_14d,交易量(仅交易日),流通股份,市值(经调整),预期净利润增长率,毛利率,税前利润率,1周价格总回报,年初至今的价格总回报,市盈率(经调整),technical_signal_1d,technical_signal_1w,EV/EBITDA增长率,PEGY比率,每股股息(不包括特别股息及未就拆股调整)
中国宝安,SZSE:000009,1.4351592462,#RESTRICTED!,1.4529730346,1.4585757584,1.4495252046,-4.380632833794694,1.2232900914,-0.1476,中性,2.2433541666666668,2.0269325,1.7014520833333335,2.1617812499999998,0.2364,29812230,2579213965,3760867378.5058,-0.05201188341599184,0.254141,0.0804723927638513,0.008946322067594433,0.0304568527918782,359.9183543800989,强力卖出,强力卖出,1.6594895116301032,-4.395955956370227,0.0043097875
深物业A,SZSE:000011,1.2713873202,#RESTRICTED!,1.2578833193,1.2782829802,1.2867588957,0.00793126942053222,0.815713485,-0.3584,中性,1.7942833333333332,1.3718775,0.6725958333333333,0.8984374999999999,0.1786,5490911,595979092,694210481.3094001,NM,-0.12426,-0.36438756101012665,-0.01348314606741573,-0.025527192008879027,-4.410090111711762,强力卖出,强力卖出,NM-,0.00793126942053222,0
深科技,SZSE:000021,4.5238403065,#RESTRICTED!,4.1037796823,3.9868407807,3.771495064,2.5250447977616006,3.069085893,-0.3216,中性,4.2298125,2.7288675000000002,3.338208333333334,3.106320833333333,1.4586,240270800,1571680518,7076163630.7293005,-0.1787069647325409,0.165843,0.09774304863516083,0.1737827715355805,0.2397151898734177,41.482743028687324,强力买入,强力买入,1.1098250783836134,2.447113841154338,0.027295321
特 力Ａ,SZSE:000025,2.6677584786,#RESTRICTED!,2.6120185599,2.5980835803,2.5694234932,NM,3.0136620254,0.1297,最低,3.0346875,3.521214999999999,3.7639869565217388,3.3024104166666675,0.315,9346651,431058320,1060322214.4368999,1.2447746352163436,0.150706,0.1035667173191451,0.025083612040133797,0.053264604810996596,47.787782474166924,强力买入,强力买入,1.1601562632245015,NM,0.0143659584
深深房Ａ,SZSE:000029,3.0427099934,#RESTRICTED!,3.0596618243,3.1363760423,3.2111508558,-6.372329920488422,1.9756353338,-0.3507,中性,2.320291666666667,2.254475,2.319373913043479,0.9311333333333331,0.7879,5767386,1011660000,2772756316.0503,NM,-0.088461,-0.18770166357374563,-0.022201665124884366,-0.03996366939146231,-493.0035093045009,强力卖出,强力卖出,NM-,-6.372329920488422,0
中集集团,SZSE:000039,1.3791320083,#RESTRICTED!,1.3906247751,1.3939289455,1.3935697965,0.4073225943343493,1.9775460063,0.4339,中性,3.069304166666667,2.7914350000000003,3.0538750000000006,2.63439375,0.3764,64951260.00000001,5271401895,6806478962.0287,-0.11153917870723494,0.126969,0.036276009928070924,0.046169989506820566,-0.011892963330029734,16.584475934158466,中性,强力买入,NM-,0.39184890476515244,0.0252840868
德赛电池,SZSE:000049,3.8400206857,#RESTRICTED!,3.8670286875,3.8933183914,3.9048111581,-7.487575187396149,4.3821632245,0.1412,中性,2.3537791666666665,2.461585,1.6746583333333334,2.1656958333333334,0.54,9596120,384638534,1507963853.5833,0.1331390106464511,0.083039,0.017881246095003987,0.023630907726931702,0.015252976190476199,53.25469165315006,强力卖出,强力卖出,NM-,-11.701136817578853,0.0474076628
中国长城,SZSE:000066,2.327285264,#RESTRICTED!,2.3568791384,2.2787283246,2.1622922316,-10.387874177993883,1.6689364875,-0.2829,最低,2.880945833333333,1.4691,1.5874166666666667,0.9692354166666668,0.725,110651800,3214684684,7495342901.5134,1.0310156505199468,0.103399,-0.05349020277147511,0.005576208178438662,0.12630117973629418,-55.9226423804219,强力买入,强力买入,NM-,-10.387874177993883,0
海王生物,SZSE:000078,0.5143013114,#RESTRICTED!,0.5769368901,0.5513654842,0.5415248026,-0.24231408724414222,0.4921346376,-0.0431,中性,2.567616666666666,1.4750775000000003,1.5036854166666669,1.1753020833333332,0.2314,224041100,2631123257,1364529723.7066,-1.0942079483855336,0.087332,-0.04335701654178414,-0.11519607843137254,0.04335260115606936,-10.026012045731159,卖出,买入,NM-,-0.24231408724414222,-
华数传媒,SZSE:000156,1.1708256112,#RESTRICTED!,1.2222557424,1.1933801659,1.1371374387,5.507694491281348,1.2448102971,0.0632,最低,2.8772166666666665,2.57177,1.6919434782608693,2.286027083333334,0.2757,22843670,1961510321,2290950725.2714996,0.7418933542638495,0.289449,0.05244536338971133,-0.06336405529953917,0.07397622192866579,38.86317239993898,中性,强力买入,NM-,3.9165443565959537,0.0258587252
沈阳机床,SZSE:000410,1.0961226274,#RESTRICTED!,1.0886523291,1.0919564995,1.0640865402,2.034140823307727,0.7506356934,-0.3152,最低,3.1142,2.5655425,2.877264583333334,1.6718374999999999,0.2114,37869080,2649073009,2922737103.2535,NM,0.11498,0.058440915091341555,0.005235602094240838,0.07412587412587412,-288.32939736798863,强力买入,买入,NM-,2.034140823307727,-
丽珠集团,SZSE:000513,5.1530692853,#RESTRICTED!,5.1976037564,5.2075162677,5.1068108991,1.51141895891353,6.8421181146,0.3278,最低,2.4354291666666668,3.2961050000000003,2.5175333333333336,3.8061083333333334,0.6314,5236310,887907171,4162246831.6001005,0.03197531858544541,0.644786,0.2532220564740434,-0.02287581699346405,0.0412071967498549,14.172704818450768,卖出,强力卖出,0.820568582427393,1.1257302197336219,0.1580255426
中兵红箭,SZSE:000519,2.7108563539,#RESTRICTED!,2.7122929497,2.7480641862,2.6476461368,0.5174151048194312,2.3126176205,-0.1469,中性,2.7037125,2.85263,1.2284854166666668,0.9526145833333334,0.6057,41187130,1392558982,3827041519.9016004,1.6501043121429788,0.10227399999999999,-0.06800217601210136,0.0094986807387863,0.050521691378363494,-77.61557286132891,买入,强力买入,NM-,0.5174151048194312,0
学大教育,SZSE:000526,5.7966642225,#RESTRICTED!,5.9325661891,5.8118921384,5.7010587692,3.2903974413196164,8.5653866568,0.4776,最低,2.4934041666666666,2.9071874999999996,3.7507312500000007,3.6822791666666665,1.2064,2106400,121861109,708663777.7172,0.5812923599957158,0.336347,0.09525565907065933,-0.03134721225173486,0.032126466088730196,21.642910864225968,中性,卖出,0.02527560555379305,3.2903974413196164,-
