名称,Full Ticker,现价,行业,5日移动均线,10日移动均线,20日移动均线,市盈增长比率,公允价值,公允价值上行边际,公允价值不确定性,价格动能评分,现金流评分,财务成长稳健度评分,盈利评分,atr_14d,交易量(仅交易日),流通股份,市值(经调整),预期净利润增长率,毛利率,税前利润率,1周价格总回报,年初至今的价格总回报,市盈率(经调整),technical_signal_1d,technical_signal_1w,EV/EBITDA增长率,PEGY比率,每股股息(不包括特别股息及未就拆股调整)
柳 工,SZSE:000528,1.690873306,#RESTRICTED!,1.6578316017,1.6904423273,1.723699521,1.7451123643815445,1.9361002163,0.145,最低,2.5403875000000005,2.3353375,3.290730434782608,2.6936125000000004,0.2936,28101800,2000055315,3324374719.6599,0.14842098373028603,0.21880500000000003,0.04917881059962113,-0.00856898029134533,-0.025273799494524008,16.902380442878165,中性,中性,0.5062976597933002,1.3844520416994242,0.0392190665
广弘控股,SZSE:000529,0.8777600595,#RESTRICTED!,0.8697151227,0.8685658461,0.8728756336,-1.317767284706938,0.6597997383,-0.2483,最低,2.4990750000000004,1.8489775,0.9084891304347826,1.5591791666666663,0.0836,7973646,583790330,510750493.15220004,-0.16240114660385152,0.050069,0.05767207774916808,0.0049504950495049506,0.013311148086522461,52.26540610244773,买入,中性,NM-,-1.4258972530366856,0.0172391501
神州信息,SZSE:000555,2.4608886773,#RESTRICTED!,2.6011004315,2.6118749003,2.4802108914,0.0015682114363012227,2.0908072225,-0.1504,中性,3.0622125000000007,1.4391750000000003,1.1286708333333333,1.4191145833333332,1.04,35439380,960914973,2457194689.3571997,1.2137159369664843,0.132544,-0.04307643859844682,-0.015486725663716814,0.07552870090634439,-131.3407587913753,强力卖出,买入,NM-,0.0015682114363012227,0
古井贡酒,SZSE:000596,19.0420778857,#RESTRICTED!,19.4911577459,19.6421439689,19.8784639849,-0.9292646310915479,28.3941300597,0.4911,最低,1.1064249999999998,3.0810500000000003,2.521408333333333,3.9341104166666656,3.2507,3222398,528600000,9064180311.5125,-0.21029513821230525,0.797398,0.31387822784501823,-0.04834075563855768,-0.0008295625942684766,13.67092681053567,强力卖出,强力卖出,0.2521243064657555,-2.0750743691742346,0.6464681289
高新发展,SZSE:000628,6.9775460046,#RESTRICTED!,7.2298122344,7.1490755481,6.8199514407,-5.668226962733864,4.3609590699,-0.375,最低,3.2828833333333334,2.497375,2.2264250000000003,2.458141666666667,2.0964,6720369,352280000,2489933197.4412,-0.04965898157927647,0.090419,0.017265438404434688,-0.026706231454005934,0.1033864095088585,-15.371816303438703,中性,买入,3.216990241448142,-5.675736596462628,0.0079012771
仁和药业,SZSE:000650,0.8791966553,#RESTRICTED!,0.8863796345,0.8822135066,0.8574322283,19.34212745475078,1.0811532988,0.2297,最低,2.796475,4.285265,1.9194437499999997,3.1340770833333345,0.1771,21917170,1384438234,1215204586.4910002,0.043490054071685255,0.36695900000000004,0.1882275734894124,-0.0032626427406199023,0.08141592920353981,19.60942884622141,强力买入,强力买入,NM-,5.526143139576563,0.0215489376
长春高新,SZSE:000661,14.1246103185,#RESTRICTED!,14.4757143423,14.2676952644,13.8945394944,-0.5657081967926205,17.1368357481,0.2133,最低,1.7644916666666666,2.5639700000000003,1.5483500000000001,2.82230625,2.775,6811668,402918212,5736211523.701699,-0.3720622076043432,0.833159,0.0791620976680561,-0.04251207729468599,0.0707725553754727,30.610168703709427,中性,强力卖出,NM-,-0.5866204755773801,0.3735149189
远兴能源,SZSE:000683,1.23690902,#RESTRICTED!,1.1067534367,1.1005760746,1.076944073,-0.7509156189484143,0.9738108575,-0.2127,中性,3.9350166666666664,2.7095525,2.46635,3.4659437500000005,0.3579,97417320,3716831560,4362440752.5762,-0.22316487407259125,0.311218,0.1824721577495488,0.11459754433833559,0.0981182795698925,23.603633621717044,强力买入,强力买入,1.8347330699837492,-0.8316085287359564,0.0430978753
东北证券,SZSE:000686,1.3360341331,#RESTRICTED!,1.3552845173,1.3775517529,1.3603126028,0.09113664797849388,1.6075363812,0.2032,中性,2.323754166666667,2.330705555555556,2.563908333333334,2.5041142857142864,0.2679,44716780,2340452915,3116838126.4743004,0.6271292910142438,0.574201,0.26365137287002416,-0.038381742738589214,-0.00536480686695279,15.040162768727924,强力卖出,买入,NM-,0.08982332659369616,0
模塑科技,SZSE:000700,2.0227269455,#RESTRICTED!,1.982502262,2.0317257819,1.8642785295,-1.4900265584044163,1.5575428459,-0.23,中性,4.369654166666667,2.97085,2.749627083333333,2.8668333333333336,1.0636,97068020,918015389,1929429403.7271,0.5094555998585775,0.175886,0.07205345778746945,0.11679389312977101,0.03999812402412641,35.9856860429117,买入,强力买入,2.121457670171921,-1.6828249524156385,0
美锦能源,SZSE:000723,0.6809464291,#RESTRICTED!,0.6887040467,0.6994785155,0.6883448977,,NM,NM,高,1.5574000000000001,-,-,-,0.1371,86675590,4403493617,2992217213.4167,NM,-,,-0.026748971193415638,0.006382978723404256,,强力卖出,强力卖出,NM-,,-
振华科技,SZSE:000733,8.0334439485,#RESTRICTED!,8.0417762043,8.070220802,7.7393009498,-1.267421115709427,8.6223189501,0.0733,最低,2.6806124999999996,3.4335175,2.078116666666667,3.3148312500000006,2.1929,19541430,554169431,4549811514.338901,0.25685714051386954,0.44571399999999994,0.19811272361873508,0.0315884476534296,0.090440755580996,36.13908326244331,强力买入,强力买入,NM-,-1.2827620036033405,0.0258587252
罗 牛 山,SZSE:000735,1.136347311,#RESTRICTED!,1.160194802,1.1991265493,1.2945165132,0.09113139904865522,0.8456521424,-0.2558,中性,2.3294333333333332,1.80007,2.36161875,1.4675520833333335,0.31,68864740,1151513578,1348221588.7008998,-0.4736860033200958,0.200983,-0.013056147799148458,-0.009720534629404616,-0.09845132743362832,70.38015125704305,强力卖出,中性,0.08555572902696493,0.09114922816071326,0.0028731917
航发控制,SZSE:000738,3.5225330046,#RESTRICTED!,3.207631196,3.2649513701,3.1283311055,-1.9146932840997515,3.3588329084,-0.0465,最低,3.247825,3.2651225,2.532075,2.5629458333333326,1.4021,58459740,1315184001,4447619039.5501995,0.5434438436770699,0.244292,0.11554160826798338,0.0360915492957746,0.1046457062412013,59.680499512294624,强力买入,强力买入,11.416764313866842,-1.9609782080768927,0.0247094485
普洛药业,SZSE:000739,2.6505193285,#RESTRICTED!,2.5666221313,2.455142294,2.4105359931,-1.275618888440881,3.1319369611,0.1816,最低,3.5313833333333333,2.6315050000000006,1.6696166666666667,3.1623374999999996,0.5643,16049480,1148413576,3005946838.3168,0.021217957022074373,0.237063,0.09743062861404057,0.0241708825182687,0.11985248924400739,26.920921470688643,强力买入,强力买入,1.9929029014238433,-1.6007350890352556,0.0511571779
中核科技,SZSE:000777,3.7854300437,#RESTRICTED!,3.9776465673,4.0259161876,3.7239437416,4.975595778963079,3.092574235,-0.183,中性,3.8490166666666665,2.8482900000000013,3.22084375,2.679183333333333,1.7707,30755140,383417593,1523006571.3301,-0.14098010402652456,0.187396,0.12258940993188162,-0.0125,0.0696324951644101,52.33733257621223,中性,强力买入,1.9211613306555182,4.630459331856472,0
美达股份,SZSE:000782,0.7872545214,#RESTRICTED!,0.7651309454,0.7499030295,0.7374764755,1.1653281877731543,0.5646108978,-0.2828,最低,3.2471416666666664,1.5869875,1.6505,1.2007583333333334,0.2086,25132200,686581509,547418778.1316,0.6213028709744248,0.016852,-0.046718215042838046,0.07766990291262137,0.1189516129032258,-48.14793133086666,强力买入,中性,NM-,1.1653281877731543,0
甘肃电投,SZSE:000791,1.0056170894,#RESTRICTED!,0.9659670442,0.9534686603,0.9500926601,0.5687752554343583,0.9809220069,-0.0246,最低,3.0270375,3.0631375,3.4114312500000006,3.9240541666666666,0.1214,26163180,3243839742,3210799726.2353,0.19814484968511098,0.398435,0.34719220728910566,0.0392156862745098,0.06821705426356589,12.062915710274833,强力买入,强力买入,0.11504963944986257,0.5067701441821766,0.0258587252
酒鬼酒,SZSE:000799,7.8567426599,#RESTRICTED!,7.9547184963,8.0519760348,8.0220230115,2.3214949216257548,6.1874613894,-0.2125,中性,1.5416083333333332,1.7755275000000001,0.9210913043478262,1.2073249999999998,1.4343,5582986,324928980,2562686002.6569996,2.9272284504104564,0.6466289999999999,-0.07674535365658981,-0.021739130434782608,0.005862953462806889,-314.61943921125004,强力卖出,卖出,NM-,2.339395657601643,0.0861957505
创维数字,SZSE:000810,1.7440273522,#RESTRICTED!,1.8020658242,1.7999109304,1.7407231818,-1.8993179385571644,1.8407677162,0.0555,中性,1.9638958333333334,2.06298,1.2022333333333333,2.0712375,0.3629,14777140,1150195579,2032410409.0216,1.8469114402047702,0.13312,0.008580264332215844,-0.0199203187250996,0.044142614601018704,90.87111369141677,强力卖出,卖出,NM-,-1.9593050820282545,0.0215489376
*ST慧业,SZSE:000816,0.554525995,#RESTRICTED!,0.5355629299,0.5326897382,0.5353474405,2.1195077671018967,0.3895185966,-0.2976,中性,3.005,2.9790575,2.609227083333333,1.4827833333333333,0.1671,103167400,1447013318,802406499.8906,1.1947928783909363,0.183822,-0.0021705168440657417,0.0546448087431694,0.04891304347826087,-67.52102145694141,强力买入,强力买入,0.20837932853092225,2.1195077671018967,-
京山轻机,SZSE:000821,1.9034894907,#RESTRICTED!,2.0029019229,1.9904035391,1.9335861735,-0.763981628530633,2.3768190887,0.2487,最低,2.8607916666666666,2.1435174999999997,2.155375,2.24759375,0.5429,35065930,622874778,1248272946.0309,0.6884726062810715,0.182843,0.043834607811754675,-0.0007163323782234957,0.0356347438752784,43.62674733591403,卖出,买入,1.063276580414212,-0.7735578550368133,0.0100561709
五矿稀土,SZSE:000831,7.764800526,#RESTRICTED!,7.6165438351,7.4937148906,7.0700627768,2.5062339213052804,4.9387579175,-0.364,最低,3.7482208333333333,2.912255,1.6028666666666667,1.6304645833333333,2.2607,48047100,1061220806.9999999,8197480609.184501,2.1722230426967264,0.05532600000000001,0.06016309762973553,0.0191432903714936,0.1578380706287683,-326.6449308364846,强力买入,强力买入,NM-,2.5062339213052804,0
中信国安,SZSE:000839,0.390754069,#RESTRICTED!,0.3947765374,0.3916160265,0.3849358559,0.056597844153779324,0.371417489,-0.0495,中性,2.6719916666666665,1.761025,2.867285416666667,1.8004229166666665,0.0721,33426850,3919826352,1526056890.5407,2.826108132207687,0.13674,-0.05135213566523836,-0.018115942028985508,0.026515151515151512,-44.96911661199218,中性,中性,NM-,0.056597844153779324,-
安凯客车,SZSE:000868,0.7154247293,#RESTRICTED!,0.718297921,0.7226077085,0.717938772,8.992604282455503,0.6352052175,-0.1121,最低,1.774825,2.6574000000000004,3.6855125000000006,1.6648958333333335,0.0943,12078190,939514735,672152074.9326999,2.1726298007408094,0.087254,0.0010139991748586222,-0.009940357852882704,0,602.4958871722597,卖出,强力卖出,1.452036557433098,8.992604282455503,-
厦门港务,SZSE:000905,1.854645232,#RESTRICTED!,1.9184300874,1.9557815793,1.9646884735,22.181528984496616,1.3420247377,-0.2764,中性,3.413029166666666,2.4729075,2.0670979166666665,1.9916750000000003,0.7229,51073170,741809597,1449325592.3153,0.10865811328343633,0.032271999999999995,0.01698952254668897,-0.023689877961234743,0.04055087987758225,88.01428524530412,卖出,买入,NM-,16.242559844232613,0
华菱钢铁,SZSE:000932,0.8475915468,#RESTRICTED!,0.8062175865,0.807797842,0.8054274588,11.574302301364538,1.0007039316,0.1806,中性,2.5618333333333334,2.0064824999999997,1.4175375000000001,2.455639583333333,0.18,102651400,6866571020,5583299854.860701,1.0632354720175663,0.09314299999999999,0.03933488996718489,-0.007017543859649122,0.007117437722419929,14.045450226193823,强力买入,强力买入,NM-,4.7092564802617085,0.0143659584
*ST众泰,SZSE:000980,0.4798230112,#RESTRICTED!,0.4936143313,0.5045324597,0.5185392692,-2.4337873465284834,0.2755821804,-0.4256,高,2.3703166666666666,1.8510349999999995,2.7684395833333335,0.5648125,0.1043,66785160.00000001,5042547739,2477483265.2528,NM,0.024027,-1.5253281097329312,-0.02005730659025788,-0.031161473087818695,-97.214039525092,强力卖出,卖出,NM-,-2.4337873465284834,-
利仁科技,SZSE:001259,4.5856139277,#RESTRICTED!,4.4698243028,4.34297289,4.3278886336,-7.105342527222626,2.9114051334,-0.3651,中性,3.396875000000001,3.139547368421053,0.6602029411764707,1.3415916666666665,1.1457,1452200,72688988,331548415.89599997,-3.307904001373099,0.23860099999999998,-0.004934415926151187,0.024854744996772097,0.057980673108963696,581.6072356874887,强力买入,强力买入,NM-,-7.1597484329858645,0.0229855335
美能能源,SZSE:001299,1.8517720403,#RESTRICTED!,1.8641267646,1.8560818279,1.8335991029,-1.4865408542802543,1.7298481512,-0.0658,中性,2.3802624999999997,3.1313875,3.0750666666666664,2.591852083333333,0.6193,5695670,238588606,444210997.4201,0.49363164821097116,0.198873,0.15997291040574846,-0.03139013452914798,-0.11896668932698845,34.756223740497845,强力买入,买入,3.7219537965455105,-2.2827111288974566,0.1149276674
四川黄金,SZSE:001337,5.7147782595,#RESTRICTED!,4.8479363284,4.5291557111,4.330187187,0.5474819580043169,4.1708543421,-0.2702,中性,4.603845833333334,3.574361764705882,4.098617647058823,4.324122916666667,1.6686,38323200,420000000,2271689004.9546,0.012513926708278996,0.650344,0.5451725380860719,0.2255859375,0.3513998564249821,37.61846785540765,强力买入,强力买入,1.6036672584246296,0.5350738948496412,0.0359148961
招商积余,SZSE:001914,1.7210418187,#RESTRICTED!,1.596919938,1.5974945763,1.5837032562,0.6691122293057216,2.4110244357,0.4009,最低,2.141008333333333,3.4577999999999998,3.8116729166666663,3.320785416666667,0.3471,6883800,1052294058,1684057492.8513,0.05889505150870646,0.12075100000000001,0.06464822017023739,0.0008984725965858041,0.0430711610486891,13.589158708158616,强力买入,强力买入,0.5968735604866704,0.6019551520213653,0.0344926662
精功科技,SZSE:002006,3.2969874574,#RESTRICTED!,3.2257323036,3.3046014154,3.2411757089,0.7398362588571028,2.9796578019,-0.0962,最低,3.169325,2.3292,2.3761979166666665,2.9795104166666664,0.8986,27666050,519683458,1717869293.3253,1.7853300411706345,0.317132,0.13020899165531957,0.0176912870411322,-0.006476683937823834,58.9399936996738,中性,强力买入,0.8498126604460298,0.733368814092464,0.0215489376
华兰生物,SZSE:002007,2.2008648299,#RESTRICTED!,2.2264362359,2.2288784489,2.2111364902,-1.0248882858147175,2.4331192797,0.1055,最低,1.9697041666666668,3.3372674999999994,2.3919604166666666,3.2445583333333334,0.2029,11204000,1827456666,4048238270.8208003,0.25476744293726283,0.563273,0.26064047087046066,-0.017834394904458598,0.019167217448777262,30.634371664280263,强力卖出,强力卖出,NM-,-1.2152166056322162,0.0287319168
大族激光,SZSE:002008,6.6945366237,#RESTRICTED!,6.4563490331,6.3566492817,6.1030182858,-1.5170573137023067,5.0779209568,-0.2415,中性,4.128145833333334,2.2655099999999995,2.2363187499999997,2.4851875000000003,2.145,53757360,1029603408,7117544566.801,-0.3919358628588911,0.308944,0.08027161695992527,0.1520229830021547,0.16824471959213402,64.80110236919133,强力买入,强力买入,NM-,-1.5562645968265594,0.0502808545
永新股份,SZSE:002014,1.736844373,#RESTRICTED!,1.6819664118,1.6902986677,1.7046646261,1.5582224244646008,1.9908919817,0.1463,最低,3.1874124999999998,3.0627075,2.649314583333333,4.021627083333334,0.1979,6132052,612491866,1055883921.5452999,0.003735104629838963,0.22706700000000002,0.14510768286271433,0.0256410256410256,0.0067114093959732,15.871188830511306,强力买入,强力买入,0.8310951270418282,0.8900731040913427,0.0890689422
海特高新,SZSE:002023,2.0270367331,#RESTRICTED!,2.0419773298,2.0666867783,1.985590943,1.1966909957044563,1.6974672809,-0.1626,最低,3.5428125000000006,2.9283825,3.5860375000000007,2.487289583333333,0.6407,57212840,740860235,1544323579.612,0.4107849174169539,0.316499,0.10765616361739344,0.014685314685314685,0.0716395864106352,95.99357126591772,中性,强力买入,0.7968677689829805,1.1966909957044563,0
华帝股份,SZSE:002035,0.9050553805,#RESTRICTED!,0.8981597204,0.8988780183,0.8939935925,-1.1352080930547022,1.3173009233,0.4555,最低,2.533241666666667,3.3207474999999995,2.5006416666666667,3.5057104166666675,0.095,9533128,831063736,749770900.3453,-0.06538483515963321,0.41552,0.08249339124236699,0.003194888178913738,0.012903225806451613,13.916473835654083,买入,中性,0.08833604264482857,-2.078064345698337,0.0430978753
保利联合,SZSE:002037,1.4308494586,#RESTRICTED!,1.4064273293,1.3945035838,1.3932106476,-24.954155052677653,1.0170667583,-0.2892,中性,2.4573375,1.9501375000000003,3.3072217391304353,1.8972187499999995,0.1979,8529881,483883566,687498522.5132,-1.3833631156430424,0.180852,0.003697570181736221,0.009183673469387756,0.04105263157894737,-5439.2386142795085,强力买入,中性,0.13663600380880686,-24.954155052677653,-
兔 宝 宝,SZSE:002043,2.0227269455,#RESTRICTED!,1.9077992782,1.9333706842,1.9930612414,3.9378043623287082,2.5174043578,0.2446,最低,2.727920833333333,3.797110000000001,3.0624458333333338,4.1835354166666665,0.4707,11025200,819121119,1587430345.389,0.5719678948180151,0.18276199999999998,0.10754181370798732,0.018113207547169812,-0.06384455239417071,17.65237868394873,强力买入,强力买入,5.844017490433247,1.4574143335266045,0
紫光国微,SZSE:002049,11.7858322878,#RESTRICTED!,11.9599477038,11.5339970367,11.2389920805,-9.542780859880414,12.9944834675,0.1026,最低,2.7669750000000004,3.083405,2.121089583333333,3.6994729166666662,3.1607,47255780,840138741,10198641496.0286,0.6123047711213516,0.547979,0.25076822717813996,0.0721989595229032,0.0721989595229032,56.66247468630875,强力买入,强力买入,NM-,-10.022282737124998,0.0301685127
横店东磁,SZSE:002056,2.9723167971,#RESTRICTED!,2.9441595186,2.9230415597,2.8845407912,0.12119012200168879,4.1213348834,0.3866,最低,3.1590750000000005,3.1807475,3.7600083333333334,3.9767625,0.5207,35839850,1601336496,4867801612.3496,0.0855203915180719,0.207288,0.1459837101372471,0.0506454816285998,0.0851282051282051,14.108977593841132,强力买入,强力买入,0.24520268794580513,0.11730758929247327,0.064962864
景兴纸业,SZSE:002067,0.8289158008,#RESTRICTED!,0.7993219265,0.8000402244,0.795012139,-7.189023571381999,0.5926532487,-0.285,中性,3.2393833333333326,2.1162850000000004,1.8989875,1.8169791666666666,0.2393,263654700,1474853853,1241598582.8042998,-0.22899523965647856,0.069612,0.011629759838383989,0.04642857142857143,0.03716814159292035,219.29961622565477,强力买入,中性,10.300480559217633,-7.189023571381999,0
国轩高科,SZSE:002074,5.7420735805,#RESTRICTED!,5.8389001402,5.8475197153,5.7473889851,0.10795508860632547,5.3994742041,-0.0597,中性,3.1581541666666664,1.7043624999999998,3.5374645833333322,2.3750541666666667,1.36,44874530,1799936265,10684446902.490799,0.220429175947813,0.172986,0.09249207147594399,0.0434343434343434,0.0565072871388392,258.43697134257616,中性,买入,0.22115100930489884,0.10782903881137938,0.0143659584
金 螳 螂,SZSE:002081,0.5415966324,#RESTRICTED!,0.54590642,0.5332643766,0.5118590985,-0.7630022184086479,0.6649283855,0.2212,中性,2.5281708333333337,2.7984975000000007,2.0330020833333338,2.2702125,0.1429,49699460,2655323689,1438114367.9085,-0.0431271355845299,0.135847,0.031168248115730636,-0.028350515463917526,0.1023391812865497,16.162546318904596,强力买入,强力买入,0.015718920121766216,-0.8407446001764578,0.0143659584
东方海洋,SZSE:002086,0.336163427,#RESTRICTED!,0.3401858954,0.3419098104,0.3406887039,0.17431378070168166,0.2231320662,-0.3362,中性,1.5919999999999999,1.7945225000000002,2.5772,1.1277750000000002,0.0493,24598700,1958946500,658526168.8045,NM,-0.12410399999999999,-0.6424207618663335,-0.037037037037037035,0.012987012987012986,-22.76269733616606,强力卖出,强力卖出,NM-,0.17431378070168166,-
生 意 宝,SZSE:002095,2.7137295455,#RESTRICTED!,2.844172448,2.7670272513,2.6736485215,-20.964985970163767,2.2174718779,-0.1829,中性,2.4138541666666664,3.7527125000000003,2.445066666666666,1.3067333333333337,0.8079,8102482.999999999,252720000,690896521.765,NM,0.10056599999999999,-0.05099818495062053,-0.03253685815963396,0.0548780487804878,-248.89204946475033,强力卖出,中性,NM-,-20.71029108245207,0.0071829792
恒宝股份,SZSE:002104,2.6706316703,#RESTRICTED!,2.7671709109,2.816877127,2.8940223237,-5.219572865057586,1.7030125409,-0.3623,中性,2.425383333333333,3.8889175000000002,1.6907217391304346,2.233420833333333,1.0029,26144740,708339154,1941575235.0091,0.35563985165311857,0.281719,0.06348124447636495,0.0021008403361344537,-0.11707542804257288,473.0680568546633,强力卖出,卖出,11.04298148845587,-5.254604033347935,0.0115645965
三变科技,SZSE:002112,3.2898044782,#RESTRICTED!,2.8674453006,2.533580427,2.2413768327,-1.9995152671458858,2.6605611334,-0.1913,最低,4.6393125,2.17256,3.020585416666667,2.8631916666666664,1.6421,127441600,294131282,928337465.3836,1.0816308688093217,0.167819,0.036692712282486974,0.2568649885583524,0.6568627450980392,78.75318316329289,强力买入,强力买入,1.348420093893174,-2.015899022413684,0.0100561709
韵达股份,SZSE:002120,1.0013073019,#RESTRICTED!,0.9952735993,0.9936933439,0.9901018543,-0.502455545038042,1.3897915495,0.388,最低,1.6483625,2.9865125,2.2209354166666664,2.6367354166666663,0.1036,23095260,2891797271,2866497315.3143,-0.39243948522118327,0.07187700000000001,0.03183310087516987,0.001451378809869376,0.023738872403560828,15.719838889012294,中性,强力卖出,NM-,-0.5522804849168828,0.0287319168
