period,days,t3_return,t0_return,t3_maxdd,t0_maxdd,t3_calmar,t0_calmar,t3_cvar95,t0_cvar95,t3_ulcer,t0_ulcer
2023 (恢复上涨),241,-0.038541,-0.049898,-0.078459,-0.124882,-0.5132,-0.4173,0.009025,0.014114,0.016215,0.028378
2024 (动量轮动),242,0.030604,-0.184109,-0.211078,-0.318985,0.1511,-0.5986,0.044167,0.046257,0.081434,0.141732
2025-2026 (当前),359,0.831294,0.390028,-0.400774,-0.231476,1.3203,1.1235,0.057057,0.052714,0.158233,0.117738
2023-2024 (发现前样本),483,-0.027764,-0.243514,-0.211078,-0.318985,-0.0691,-0.4248,0.033781,0.038434,0.062951,0.10601
