strategy,trade_date,last_signal_date,cash,market_value,total_equity,nav,position_count,gross_exposure,locked_count,locked_value,candidate_count,executed,equity_before,max_total_positions,position_ratio,position_cap_skipped,hard_stop_loss_count
tiered_liquidity_then_bs_v2,2023-01-04,2023-01-03,1530.187819999992,510656.83999999997,512187.02781999996,1.0243740556399998,5,0.9970124432348221,0,0.0,5,5,500000.0,5,1.0,0,
tiered_liquidity_then_bs_v2,2023-01-05,2023-01-04,1530.187819999992,499356.27,500886.45782,1.00177291564,5,0.9969450405453967,5,498839.39,5,0,500369.57782,5,1.0,4,
tiered_liquidity_then_bs_v2,2023-01-06,2023-01-05,127.92089499997383,480167.79000000004,480295.710895,0.96059142179,5,0.999733662216634,4,398931.02999999997,5,1,486538.5113949999,5,1.0,4,1.0
tiered_liquidity_then_bs_v2,2023-01-09,2023-01-06,127.92089499997383,480347.24,480475.160895,0.96095032179,5,0.9997337616896538,5,478352.52999999997,5,0,478480.45089499996,5,1.0,5,
tiered_liquidity_then_bs_v2,2023-01-10,2023-01-09,127.92089499997383,488310.38,488438.300895,0.97687660179,5,0.9997381022438953,5,478983.68000000005,5,0,479111.60089500004,5,1.0,5,
tiered_liquidity_then_bs_v2,2023-01-11,2023-01-10,127.92089499997383,484988.19999999995,485116.12089499994,0.9702322417899999,5,0.9997363087114813,5,484903.12,5,0,485031.040895,5,1.0,5,
tiered_liquidity_then_bs_v2,2023-01-12,2023-01-11,127.92089499997383,478962.52,479090.440895,0.95818088179,5,0.9997329921783432,5,486962.20000000007,5,0,487090.12089500006,5,1.0,5,
tiered_liquidity_then_bs_v2,2023-01-13,2023-01-12,127.92089499997383,488163.6,488291.52089499997,0.9765830417899999,5,0.9997380235176611,5,484169.25,5,0,484297.170895,5,1.0,5,
tiered_liquidity_then_bs_v2,2023-01-16,2023-01-13,127.92089499997383,487159.72,487287.64089499996,0.97457528179,5,0.9997374838098396,5,484411.24,5,0,484539.160895,5,1.0,5,
tiered_liquidity_then_bs_v2,2023-01-17,2023-01-16,127.92089499997383,473950.57999999996,474078.50089499995,0.9481570017899998,5,0.9997301693817406,5,484649.64,5,0,484777.560895,5,1.0,5,
tiered_liquidity_then_bs_v2,2023-01-18,2023-01-17,11744.324379999991,449396.5,461140.82438,0.92228164876,5,0.9745320219787738,1,89352.0,5,8,469899.880895,5,1.0,1,
tiered_liquidity_then_bs_v2,2023-01-19,2023-01-18,11744.324379999991,445215.38,456959.70438,0.91391940876,5,0.9742989933960706,5,446438.9,5,0,458183.22438,5,1.0,4,
tiered_liquidity_then_bs_v2,2023-01-20,2023-01-19,249.60350499999186,455760.65,456010.25350500003,0.91202050701,5,0.999452636200433,4,366336.51,5,1,452484.98938,5,1.0,4,1.0
tiered_liquidity_then_bs_v2,2023-01-30,2023-01-20,249.60350499999186,452466.58999999997,452716.193505,0.90543238701,5,0.9994486534641769,5,461025.95999999996,5,0,461275.56350499997,5,1.0,5,
tiered_liquidity_then_bs_v2,2023-01-31,2023-01-30,249.60350499999186,453932.37,454181.973505,0.90836394701,5,0.9994504328230516,5,449258.49,5,0,449508.093505,5,1.0,5,
tiered_liquidity_then_bs_v2,2023-02-01,2023-01-31,249.60350499999186,455599.29000000004,455848.89350500004,0.91169778701,5,0.9994524424462659,5,453213.12,5,0,453462.723505,5,1.0,4,
tiered_liquidity_then_bs_v2,2023-02-02,2023-02-01,249.60350499999186,455308.44,455558.043505,0.91111608701,5,0.9994520928593872,5,454641.58,5,0,454891.183505,5,1.0,5,
tiered_liquidity_then_bs_v2,2023-02-03,2023-02-02,249.60350499999186,450354.94,450604.543505,0.90120908701,5,0.9994460697110187,5,451084.77999999997,5,0,451334.383505,5,1.0,5,
tiered_liquidity_then_bs_v2,2023-02-06,2023-02-03,249.60350499999186,441428.91,441678.513505,0.88335702701,5,0.9994348751470402,5,446603.86,5,0,446853.463505,5,1.0,5,
tiered_liquidity_then_bs_v2,2023-02-07,2023-02-06,249.60350499999186,444687.59,444937.19350500003,0.8898743870100001,5,0.9994390140706517,5,441175.21,5,0,441424.813505,5,1.0,5,
tiered_liquidity_then_bs_v2,2023-02-08,2023-02-07,1034.492462499984,430767.97000000003,431802.4624625,0.8636049249250001,5,0.9976042460327798,1,92118.75,5,8,444505.103505,5,1.0,1,
tiered_liquidity_then_bs_v2,2023-02-09,2023-02-08,1034.492462499984,437815.38,438849.8724625,0.877699744925,5,0.99764271900845,5,429941.16,5,0,430975.6524625,5,1.0,5,
tiered_liquidity_then_bs_v2,2023-02-10,2023-02-09,2008.9234899999865,433023.46,435032.38349000004,0.8700647669800001,5,0.9953821288569746,4,351222.94,5,2,441770.6824625,5,1.0,4,
tiered_liquidity_then_bs_v2,2023-02-13,2023-02-10,2008.9234899999865,450379.08,452388.00349000003,0.90477600698,5,0.9955592909747785,5,431429.4199999999,5,0,433438.3434899999,5,1.0,4,
tiered_liquidity_then_bs_v2,2023-02-14,2023-02-13,2008.9234899999865,449103.02,451111.94349,0.90222388698,5,0.9955467295446491,5,446505.0,5,0,448513.92348999996,5,1.0,5,
