strategy,window,window_start,window_end,trading_days,initial_cash,window_start_equity,window_end_equity,total_return,max_drawdown,annualized_volatility,daily_win_rate,avg_gross_exposure,avg_position_count
production_governed_vol_position_v1_2b_dynamic_score,3m,2026-04-08,2026-07-08,62,500000.0,561206.9587775001,697321.1179650002,0.2425382598319934,-0.11604408702139235,0.4016380110913222,0.5645161290322581,0.652564785993072,4.82258064516129
production_governed_vol_position_v1_2b_dynamic_score,6m,2026-01-08,2026-07-08,119,500000.0,521170.5307825,697321.1179650002,0.3379903060098637,-0.11604408702139235,0.3731348235602619,0.5042016806722689,0.6466437256477379,4.882352941176471
production_governed_vol_position_v1_2b_dynamic_score,1y,2025-09-02,2026-07-08,203,500000.0,492830.0016975,697321.1179650002,0.4149323611857081,-0.13123225966172847,0.3328018232032525,0.5172413793103449,0.6098392469351327,4.886699507389163
production_governed_vol_position_v1_2b_dynamic_score,3y,2025-09-02,2026-07-08,203,500000.0,492830.0016975,697321.1179650002,0.4149323611857081,-0.13123225966172847,0.3328018232032525,0.5172413793103449,0.6098392469351327,4.886699507389163
production_governed_vol_position_v1_2b_execution_safe_uplift,3m,2026-04-08,2026-07-08,62,500000.0,561206.9587775001,697321.1179650002,0.2425382598319934,-0.11604408702139235,0.4016380110913222,0.5645161290322581,0.652564785993072,4.82258064516129
production_governed_vol_position_v1_2b_execution_safe_uplift,6m,2026-01-08,2026-07-08,119,500000.0,521170.5307825,697321.1179650002,0.3379903060098637,-0.11604408702139235,0.3731348235602619,0.5042016806722689,0.6466437256477379,4.882352941176471
production_governed_vol_position_v1_2b_execution_safe_uplift,1y,2025-09-02,2026-07-08,203,500000.0,492830.0016975,697321.1179650002,0.4149323611857081,-0.13123225966172847,0.3328018232032525,0.5172413793103449,0.6098392469351327,4.886699507389163
production_governed_vol_position_v1_2b_execution_safe_uplift,3y,2025-09-02,2026-07-08,203,500000.0,492830.0016975,697321.1179650002,0.4149323611857081,-0.13123225966172847,0.3328018232032525,0.5172413793103449,0.6098392469351327,4.886699507389163
adaptive_market_style,3m,2026-04-08,2026-07-08,62,500000.0,586173.4669350001,595460.767795,0.0158439461761406,-0.1064492000906253,0.27312948515133606,0.5645161290322581,0.4342475027036264,4.67741935483871
adaptive_market_style,6m,2026-01-08,2026-07-08,119,500000.0,550787.9918050002,595460.767795,0.08110702603301423,-0.14502457957036408,0.2996376083186794,0.5462184873949579,0.42195616341430164,4.6722689075630255
adaptive_market_style,1y,2025-09-02,2026-07-08,203,500000.0,494109.972835,595460.767795,0.20511788980596912,-0.1450245795703642,0.27875804107938096,0.541871921182266,0.39051622884577253,4.605911330049261
adaptive_market_style,3y,2025-09-02,2026-07-08,203,500000.0,494109.972835,595460.767795,0.20511788980596912,-0.1450245795703642,0.27875804107938096,0.541871921182266,0.39051622884577253,4.605911330049261
