symbol,name,trade_date,score,base_score,penalty,trigger_today,is_breakout,breakout_dist,vol_ratio,rs20,contraction,avg_amount20,bull_align,bias_ma20,chip_healthy,s_trend,s_bull_align,s_breakout,s_volume,s_vol_mild,s_rs,s_contraction,s_bias,s_chip,s_liquidity
600185,珠免集团,2026-02-06,77.85733838612111,77.85733838612111,0.0,1,1,0.010738255033557076,1.5634529576964133,0.1016849134636213,0.9555496310850505,330703.93899999995,1,0.11423498076353944,1,100.0,100.0,100.0,93.65079365079364,92.06838028794833,88.88888888888889,55.55555555555556,0.0,100.0,17.142857142857142
301388,欣灵电气,2026-02-06,63.079019937881505,63.079019937881505,0.0,0,0,-0.03375411635565306,1.034852820657022,0.08370537566159375,0.9786187021464603,151519.6674,1,0.0357710184150144,1,100.0,100.0,49.2063492063492,77.77777777777779,41.856602582127756,87.3015873015873,49.20634920634921,28.4579631699712,100.0,8.571428571428571
600579,中化装备,2026-02-06,60.07436527930435,60.07436527930435,0.0,0,0,-0.03785488958990535,0.7945050163952395,0.05006803731886045,0.7677760515188534,110434.62265,1,0.02699365845445878,1,100.0,100.0,49.2063492063492,36.507936507936506,11.813127049404947,80.95238095238095,79.36507936507937,46.01268309108244,100.0,5.238095238095237
600754,锦江酒店,2026-02-06,59.702305706685976,59.702305706685976,0.0,0,0,-0.034375000000000044,1.0285089149204398,0.059490171996815056,1.6108465338502875,359432.91905,1,0.03143254520166905,1,100.0,100.0,49.2063492063492,76.19047619047619,41.06361436505498,84.12698412698413,6.349206349206355,37.1349095966619,100.0,17.61904761904762
000858,五粮液,2026-02-06,59.5776219483186,59.5776219483186,0.0,0,0,-0.03412168261419035,0.7308027057716237,-0.025182326165010926,0.5240699536870075,3387039.7494,1,0.01330075618752713,1,100.0,100.0,49.2063492063492,36.507936507936506,3.8503382214529647,31.746031746031743,93.65079365079364,73.39848762494574,100.0,29.047619047619044
001299,美能能源,2026-02-06,59.34165778386883,59.34165778386883,0.0,0,0,-0.032727272727272716,0.6841690091124122,0.010338994320590933,0.7269351120236165,109011.71925000001,1,0.012638952337444831,1,100.0,100.0,49.2063492063492,36.507936507936506,0.0,57.14285714285714,85.71428571428572,74.72209532511033,100.0,4.761904761904761
000568,泸州老窖,2026-02-06,59.331080697334556,59.331080697334556,0.0,0,0,-0.03971542490813851,0.667831601384861,0.01570512376391786,0.703756226416755,1847594.8329,1,0.03618389071064887,1,100.0,100.0,49.2063492063492,36.507936507936506,0.0,61.904761904761905,90.47619047619048,27.63221857870226,100.0,27.142857142857142
300444,双杰电气,2026-02-06,58.60857253877171,58.60857253877171,0.0,0,0,-0.06606060606060604,0.9613970474368827,0.44514248783511334,1.036663263569168,2314822.3025,1,0.09566639411283728,1,100.0,100.0,49.2063492063492,36.507936507936506,32.67463092961034,100.0,42.85714285714286,0.0,100.0,28.09523809523809
600702,舍得酒业,2026-02-06,58.01301641451963,58.01301641451963,0.0,0,0,-0.06255117078762074,0.8313021245761761,-0.029261309156097814,0.7555649578267892,736663.0092499999,1,0.013893439356775339,1,100.0,100.0,49.2063492063492,36.507936507936506,16.412765572022025,30.158730158730158,80.95238095238095,72.21312128644932,100.0,23.80952380952381
002548,金新农,2026-02-06,57.659285279637324,57.659285279637324,0.0,0,0,-0.04034582132564846,1.1446196947016705,0.02825707676883038,0.9277578157885505,315467.15845,0,0.026589595375722697,1,100.0,0.0,49.2063492063492,82.53968253968253,55.57746183770881,71.42857142857143,61.904761904761905,46.82080924855461,100.0,16.666666666666668
603976,正川股份,2026-02-06,57.62097457764156,57.62097457764156,0.0,0,0,-0.02764761012183692,0.9541910916378233,0.011037093551518273,0.9543103466288327,30049.1452,1,0.01189895640300409,1,100.0,100.0,49.2063492063492,36.507936507936506,31.77388645472792,58.730158730158735,57.142857142857146,76.20208719399182,100.0,0.47619047619047616
301251,威尔高,2026-02-06,57.30946675683742,57.30946675683742,0.0,0,0,-0.023328149300155476,1.0190362085103435,0.10501166637704906,1.7202919897903424,445836.0838,1,0.09345753710878002,1,100.0,100.0,49.2063492063492,73.01587301587301,39.87952606379294,90.47619047619048,3.1746031746031775,0.0,100.0,19.523809523809522
000738,航发控制,2026-02-06,57.0732708343789,57.0732708343789,0.0,0,0,-0.07317073170731703,0.9622732144948295,0.11628725575851684,1.1083347491506486,1804574.9882999999,1,0.07738107292573781,1,100.0,100.0,49.2063492063492,36.507936507936506,32.78415181185369,93.65079365079364,36.50793650793651,0.0,100.0,26.666666666666664
301503,智迪科技,2026-02-06,56.11358570989481,56.11358570989481,0.0,0,0,-0.02578725514505331,0.898708610644734,0.027783904254952363,1.274028950340515,40914.163,1,0.006738924334435126,1,100.0,100.0,49.2063492063492,36.507936507936506,24.838576330591742,69.84126984126983,23.80952380952381,86.52215133112975,100.0,0.9523809523809523
600305,恒顺醋业,2026-02-06,55.60766745384173,55.60766745384173,0.0,0,0,-0.012062726176115812,0.8397979952940425,0.0037278885214333535,1.032613406589699,112137.7614,1,0.011423278789749913,1,100.0,100.0,49.2063492063492,36.507936507936506,17.47474941175532,52.38095238095239,44.44444444444444,77.15344242050017,100.0,5.714285714285714
000739,普洛药业,2026-02-06,55.22849813437976,55.22849813437976,0.0,0,0,-0.04083716181725372,0.9760150211501968,0.12395577424745685,0.8539722914836936,276641.932,0,0.025459109886211584,1,100.0,0.0,49.2063492063492,36.507936507936506,34.501877643774606,95.23809523809523,73.01587301587301,49.08178022757683,100.0,14.76190476190476
300833,浩洋股份,2026-02-06,54.69742789679855,54.69742789679855,0.0,0,0,-0.046624472573839726,0.7166614627029912,0.024616254697377382,1.0984187233776999,70949.9945,1,0.02089687111713534,1,100.0,100.0,49.2063492063492,36.507936507936506,2.082682837873906,68.25396825396825,38.095238095238095,58.20625776572932,100.0,3.333333333333333
688316,青云科技-U,2026-02-06,54.17515968468024,54.17515968468024,0.0,0,0,-0.233428222854819,0.9470648135155382,0.13044158294041597,0.9521333278793073,455446.17409999995,0,0.0282075233699024,1,100.0,0.0,49.2063492063492,36.507936507936506,30.88310168944227,98.4126984126984,58.730158730158735,43.584953260195206,100.0,19.999999999999996
603810,丰山集团,2026-02-06,52.96392213387952,52.96392213387952,0.0,0,0,-0.025175644028103017,1.2111482746725428,0.01870421254176935,1.281985222347529,48323.48725,0,0.019533402731002347,1,100.0,0.0,49.2063492063492,85.71428571428571,63.89353433406786,63.49206349206349,22.222222222222214,60.933194537995305,100.0,1.9047619047619047
000799,酒鬼酒,2026-02-06,52.360786432564474,52.360786432564474,0.0,0,0,-0.0832520325203252,0.7271790135898606,-0.03423195254484335,1.0668670375489742,912902.4236999999,1,0.017781388211932425,1,100.0,100.0,49.2063492063492,36.507936507936506,3.3973766987325793,23.809523809523807,41.269841269841265,64.43722357613515,100.0,25.238095238095237
000029,深深房Ａ,2026-02-06,52.073485202017956,52.073485202017956,0.0,0,0,-0.061969439728353004,0.7129569702674373,-0.05585109552463052,0.8603266905608082,201769.1929,1,0.022840348969060287,1,100.0,100.0,49.2063492063492,36.507936507936506,1.619621283429673,14.285714285714285,71.42857142857143,54.319302061879426,100.0,11.428571428571429
300570,太辰光,2026-02-06,51.88723518461884,51.88723518461884,0.0,0,0,-0.08708799516177801,0.8901454496221822,0.021303534079935682,1.3843945561045767,2994558.78975,1,0.07718999344373434,1,100.0,100.0,49.2063492063492,36.507936507936506,23.768181202772787,65.07936507936508,20.634920634920633,0.0,100.0,28.571428571428566
600872,中炬高新,2026-02-06,51.806999008056664,51.806999008056664,0.0,0,0,-0.03757828810020869,0.9338566942708056,0.0,1.4191953245605686,202653.65759999998,1,0.023449424170944866,1,100.0,100.0,49.2063492063492,36.507936507936506,29.232086783850708,50.79365079365079,14.285714285714292,53.10115165811027,100.0,11.904761904761905
300741,华宝股份,2026-02-06,51.6315106811821,51.6315106811821,0.0,0,0,-0.02886075949367095,1.4428679742053374,-0.011738421486743533,1.406403909838685,72240.4968,0,0.021680072444468124,1,100.0,0.0,49.2063492063492,92.06349206349206,92.85849677566718,41.269841269841265,17.46031746031747,56.63985511106375,100.0,3.8095238095238093
000039,中集集团,2026-02-06,51.58730158730159,51.58730158730159,0.0,0,0,-0.06553191489361698,0.6691353854790151,0.10808313823362758,1.8416771420223423,736103.4479500001,1,0.1046277665995976,1,100.0,100.0,49.2063492063492,36.507936507936506,0.0,92.06349206349206,0.0,0.0,100.0,23.333333333333336
600153,建发股份,2026-02-06,50.64348014518661,50.64348014518661,0.0,0,0,-0.02358974358974364,0.6981851715324476,-0.014331616169407368,1.4169585506052593,273895.6838,1,0.015358361774744145,1,100.0,100.0,49.2063492063492,36.507936507936506,0.0,38.095238095238095,15.873015873015873,69.2832764505117,100.0,14.285714285714283
600675,中华企业,2026-02-06,48.97074008425704,48.97074008425704,0.0,0,0,-0.03947368421052633,0.7709562358032299,0.02271935742588238,1.0829478508468424,216675.06845,0,0.012833853624696578,1,100.0,0.0,49.2063492063492,36.507936507936506,8.869529475403748,66.66666666666666,39.682539682539684,74.33229275060684,100.0,12.38095238095238
001914,招商积余,2026-02-06,46.798635781922485,46.798635781922485,0.0,0,0,-0.048979591836734615,0.8432869773367204,0.005276318809926961,1.2317969660603287,150921.2655,0,0.00791625210883784,1,100.0,0.0,49.2063492063492,36.507936507936506,17.91087216709005,53.96825396825397,26.984126984126988,84.16749578232432,100.0,8.095238095238095
301257,普蕊斯,2026-02-06,46.71404212917201,46.71404212917201,0.0,0,0,-0.1841176470588236,0.8001932981798977,0.12926704245710585,0.36717630588900346,245248.78115,0,0.01310388149533237,1,0.0,0.0,49.2063492063492,36.507936507936506,12.524162272487215,96.82539682539682,98.41269841269842,73.79223700933525,100.0,13.809523809523808
600518,康美药业,2026-02-06,45.49266326747593,45.49266326747593,0.0,0,0,-0.054187192118226535,1.9043323929383227,-0.03418490300348598,0.9203106849200423,409972.31605,0,-0.004149377593361092,1,0.0,0.0,49.2063492063492,98.4126984126984,49.45845088270967,26.190476190476193,65.07936507936509,91.70124481327781,100.0,18.095238095238095
000821,ST京机,2026-02-06,45.463874280512144,70.46387428051214,25.0,0,0,-0.01401273885350307,1.6580187946912206,0.06549805585371482,0.509679560118861,645664.72775,1,0.13643871820284104,1,100.0,100.0,49.2063492063492,95.23809523809523,80.24765066359743,85.71428571428571,95.23809523809524,0.0,100.0,21.9047619047619
002343,慈文传媒,2026-02-06,44.72847357847311,44.72847357847311,0.0,0,0,-0.0902527075812275,1.0277414286935527,-0.01721783503912233,0.646764015481744,169295.3442,0,-0.00910937807195733,1,0.0,0.0,49.2063492063492,74.60317460317461,40.96767858669409,36.507936507936506,92.06349206349206,81.78124385608534,100.0,9.999999999999998
300648,星云股份,2026-02-06,44.376839358245135,44.376839358245135,0.0,0,0,-0.0753962148022771,1.255226264612688,0.040417680341716,0.9694071370977195,421277.32534999994,0,0.0440085480480219,1,0.0,0.0,49.2063492063492,88.88888888888889,69.40328307658599,77.77777777777779,50.7936507936508,11.982903903956199,100.0,18.57142857142857
000012,南玻Ａ,2026-02-06,42.9226075443128,42.9226075443128,0.0,0,0,-0.0251572327044024,0.7291653395711666,0.007166503950133851,1.8361910588493866,125527.39405,0,0.014066077854105519,1,100.0,0.0,49.2063492063492,36.507936507936506,3.6456674463958283,55.55555555555556,1.5873015873015959,71.86784429178897,100.0,7.1428571428571415
