date,cash,positions_value,total_equity,daily_return
2026-01-22,58364.37607100009,979864.0,1038228.3760710001,
2026-01-23,34248.44430700017,1030695.0,1064943.4443070001,2.573139865151708
2026-01-26,29358.565899000198,1068167.0,1097525.5658990003,3.0595166124716133
