trade_date,symbol,direction,price,shares,amount,commission,reason
2026-01-22,300008,BUY,8.5085,11100,94444.34999999999,141.66652499999998,Enter TOP N
2026-01-22,002023,BUY,14.104089999999998,6700,94497.40299999998,141.74610449999997,Enter TOP N
2026-01-22,300145,BUY,4.66466,20300,94692.598,142.038897,Enter TOP N
2026-01-22,600336,BUY,8.06806,11700,94396.302,141.594453,Enter TOP N
2026-01-22,000011,BUY,8.96896,10500,94174.07999999999,141.26111999999998,Enter TOP N
2026-01-22,300084,BUY,10.270259999999999,9200,94486.39199999999,141.72958799999998,Enter TOP N
2026-01-22,002669,BUY,15.595579999999998,6000,93573.48,140.36022,Enter TOP N
2026-01-22,000012,BUY,4.504499999999999,21000,94594.49999999999,141.89174999999997,Enter TOP N
2026-01-22,688316,BUY,64.89482999999998,1400,90852.76199999997,136.27914299999998,Enter TOP N
2026-01-22,002673,BUY,8.078069999999999,11700,94513.41899999998,141.77012849999997,Enter TOP N
2026-01-23,300145,SELL,4.76523,20300,96734.169,145.10125349999998,Exit TOP N
2026-01-23,600336,SELL,8.641350000000001,11700,101103.79500000001,151.65569250000001,Exit TOP N
2026-01-23,000011,SELL,9.030959999999999,10500,94825.07999999999,142.23762,Exit TOP N
2026-01-23,000012,SELL,4.5954,21000,96503.4,144.7551,Exit TOP N
2026-01-23,002669,SELL,15.534450000000001,6000,93206.70000000001,139.81005000000002,Exit TOP N
2026-01-23,002673,SELL,8.07192,11700,94441.464,141.66219600000002,Exit TOP N
2026-01-23,002006,BUY,23.04302,4300,99084.98599999999,148.627479,Enter TOP N
2026-01-23,600748,BUY,5.92592,16900,100148.048,150.222072,Enter TOP N
2026-01-23,002195,BUY,10.130119999999998,9900,100288.18799999998,150.432282,Enter TOP N
2026-01-23,002074,BUY,39.86982999999999,2500,99674.57499999998,149.51186249999998,Enter TOP N
2026-01-23,300149,BUY,10.790779999999998,9300,100354.25399999999,150.53138099999998,Enter TOP N
2026-01-23,002677,BUY,9.13913,10900,99616.51699999999,149.42477549999998,Enter TOP N
2026-01-26,002006,SELL,23.55642,4300,101292.606,151.938909,Exit TOP N
2026-01-26,600748,SELL,6.21378,16900,105012.882,157.51932299999999,Exit TOP N
2026-01-26,002195,SELL,10.65933,9900,105527.36700000001,158.2910505,Exit TOP N
2026-01-26,002074,SELL,41.958,2500,104895.0,157.3425,Exit TOP N
2026-01-26,002677,SELL,9.65034,10900,105188.706,157.783059,Exit TOP N
2026-01-26,300024,BUY,18.72871,5600,104880.776,157.321164,Enter TOP N
2026-01-26,002007,BUY,15.72571,6700,105362.257,158.0433855,Enter TOP N
2026-01-26,000078,BUY,3.8638599999999994,27300,105483.37799999998,158.22506699999997,Enter TOP N
2026-01-26,300601,BUY,16.3163,6400,104424.31999999999,156.63648,Enter TOP N
2026-01-26,601108,BUY,9.05905,11600,105084.98,157.62747,Enter TOP N
